STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30_TYPE
ATH2,ATH2,38.018,23.789,seismic,GHEAD,C,0.16460001,0,0.280540553,0,0.085391002,0,0.059913947,0,C
ATH3,ATH3,37.972,23.706,seismic,GHEAD,C,0.30273999,0,0.669727699,0,0.41879527,0,0.131621811,0,C
ATH4,ATH4,37.996,23.743,seismic,GHEAD,C,0.11862,0,0.260546528,0,0.182209641,0,0.0825958,0,C
ATHA,ATHA,38,23.77,seismic,GHEAD,C,0.11777,0,0.223636605,0,0.104101187,0,0.073551543,0,C
ATLA,ATLA,38.65,23,seismic,GHEAD,B,0.013459,0,0.03720569,0,0.017410837,0,0.01000015,0,B
DMKA,DMKA,37.99,23.82,seismic,GHEAD,B,0.069699997,0,0.062244154,0,0.051231861,0,0.032221858,0,B
ISTA,ISTA,38.95,23.15,seismic,GHEAD,D,0.015382,0,0.02714291,0,0.024732091,0,0.030697993,0,D
KOR1,KOR1,37.939,22.933,seismic,GHEAD,D,0.033867001,0,0.071742693,0,0.028650647,0,0.027583859,0,D
KORA,KORA,37.93,22.93,seismic,GHEAD,D,0.026608999,0,0.07655761,0,0.042328397,0,0.031407943,0,D
RFNA,RFNA,38.06,23.98,seismic,GHEAD,C,0.10469,0,0.231107288,0,0.109112922,0,0.039371007,0,C
SGMA,SGMA,37.98,23.74,seismic,GHEAD,C,0.23362,0,0.409612558,0,0.205473784,0,0.123994724,0,C
SPLB,ATHENS-SEPOLIA_B,38.0039,23.7103,seismic,GHEAD,B,0.34514001,0,0.993807684,0,0.355879314,0,0.151522405,0,B
THV1,THV1,38.317,23.317,seismic,GHEAD,C,0.040748001,0,0.073686157,0,0.043949706,0,0.033110828,0,C
THVC,THVC,38.32,23.318,seismic,GHEAD,C,0.056969002,0,0.169789489,0,0.051971572,0,0.043228365,0,C
