STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA
MSOBS_156,Anandpur Sahib (Intensity V),76.5,31.25,macroseismic,0.04904,0.8059
MSOBS_208,Vaishno Devi (Intensity V),74.95,32.98,macroseismic,0.05862,0.8059
MSOBS_186,Makhu (Intensity V),74.98,31.1,macroseismic,0.04904,0.8059
MSOBS_286,Hill (Intensity VIII),73.15,34.72,macroseismic,0.66785,0.8059
MSOBS_52,Abohar (Intensity IV),74.2,30.14,macroseismic,0.01578,0.8059
MSOBS_256,Sarkaghat (Intensity VI),76.75,31.69,macroseismic,0.09138,0.8059
MSOBS_247,Nurpur (Intensity VI),75.88,32.29,macroseismic,0.09386,0.8059
MSOBS_135,Saharanpur (Intensity IV),77.54,29.97,macroseismic,0.01578,0.8059
MSOBS_79,Giddarbaha (Intensity IV),74.69,30.21,macroseismic,0.01578,0.8059
MSOBS_75,Faridkot (Intensity IV),74.75,30.67,macroseismic,0.01578,0.8059
MSOBS_228,Gurdaspur (Intensity VI),74.4,32.03,macroseismic,0.09859,0.8059
MSOBS_128,Rian (Intensity IV),74.24,26.54,macroseismic,0.01578,0.8059
MSOBS_195,Rampur (Intensity V),77.45,29.8,macroseismic,0.04904,0.8059
MSOBS_151,Vehari (Intensity IV),72.35,30.05,macroseismic,0.01578,0.8059
MSOBS_221,Dhariwal (Intensity VI),75.32,31.95,macroseismic,0.09408,0.8059
MSOBS_249,Rajauri (Intensity VI),74.29,33.38,macroseismic,0.12969,0.8059
MSOBS_262,Udhampur (Intensity VI),75.13,32.92,macroseismic,0.1063,0.8059
MSOBS_71,Dhampur (Intensity IV),78.5,29.3,macroseismic,0.01578,0.8059
MSOBS_73,Faisalabad (Intensity IV),73.08,31.41,macroseismic,0.01587,0.8059
MSOBS_281,Chiniari (Intensity VIII),73.81,34.17,macroseismic,0.81022,0.8059
MSOBS_226,Gujjar Khan (Intensity VI),73.31,33.26,macroseismic,0.12507,0.8059
MSOBS_159,Barnala (Intensity V),75.54,30.38,macroseismic,0.04904,0.8059
MSOBS_59,Bareilly (Intensity IV),79.41,28.36,macroseismic,0.01578,0.8059
MSOBS_199,Sirsa (Intensity V),75.04,29.52,macroseismic,0.04904,0.8059
MSOBS_147,Titron (Intensity IV),77.33,29.68,macroseismic,0.01578,0.8059
MSOBS_241,Ludhiana (Intensity VI),75.85,30.9,macroseismic,0.09138,0.8059
MSOBS_185,Mahalpur (Intensity V),76.03,31.35,macroseismic,0.04904,0.8059
MSOBS_178,Gurgaon (Intensity V),77.01,28.46,macroseismic,0.04904,0.8059
OBS_48,Mansehra  Pakistan,73.2,34.34,macroseismic,0.50642,0.8059
MSOBS_103,Mandawar (Intensity IV),78.12,29.48,macroseismic,0.01578,0.8059
MSOBS_289,Salamabad (Intensity VIII),73.97,34.07,macroseismic,0.81022,0.8059
MSOBS_282,Chitterkote Gundi (Intensity VIII),74.19,34.2,macroseismic,0.66443,0.8059
MSOBS_119,Parwan-AFG (Intensity IV),69.16,35.01,macroseismic,0.01578,0.8059
MSOBS_206,Topi (Intensity V),72.62,34.07,macroseismic,0.06982,0.8059
MSOBS_272,Mansehra (Intensity VII),73.19,34.34,macroseismic,0.3456,0.8059
MSOBS_139,Sriganganagar (Intensity IV),73.86,29.92,macroseismic,0.01578,0.8059
MSOBS_110,Muzaffarnagar (Intensity IV),77.69,29.46,macroseismic,0.01578,0.8059
OBS_54,Taxila  Pakistan,72.81,33.75,macroseismic,0.19568,0.8059
OBS_45,Muzaffarabad  Pakistan,73.48,34.35,macroseismic,1.10595,0.8059
MSOBS_76,Fazilka (Intensity IV),74.02,30.4,macroseismic,0.01578,0.8059
