FIELD,DESCRIPTION
Year,1980
Country,Italy
Region,Europe
Event Name,Irpinia 1980
Local Date,23/11/1980
Local Time,18:34:53
Latitude (decimal degrees),40.914
Longitude (decimal degrees),15.366
Depth (km),10
Mw,6.9
Max Intensity (MMI),X
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,~4689
Injured,~7700
Displaced population,
Affected population,~407700
Affected units,
Damaged units,
Collapsed units,
Economic losses,20000 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0001ay4
Wikipedia page,https://en.wikipedia.org/wiki/1980 Irpinia earthquake
