ID,NAME,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,D0,D1,D2,D3,D4,D5,D6,D7,D8,TOTAL,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
,"Acquacanina		 ",43.029,13.175,M1,,,,0,0,0,0,0,0,0,0,1,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquacanina		 ",43.029,13.175,M2,,,,24,1,3,9,7,2,3,1,2,52,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquacanina		 ",43.029,13.175,M3,,,,4,1,0,5,4,2,3,7,3,29,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquacanina		 ",43.029,13.175,RC,,,,0,0,0,0,0,0,1,0,0,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquacanina		 ",43.029,13.175,ST,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquacanina		 ",43.029,13.175,MX,,,,1,0,0,1,0,0,0,0,0,2,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,M1,,,,0,0,0,0,1,0,0,0,0,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,M2,,,,45,13,11,15,5,3,2,0,3,97,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,M3,,,,10,5,3,4,8,4,2,4,3,43,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,RC,,,,6,0,0,0,1,0,1,0,0,8,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,ST,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acqualagna		 ",43.619,12.673,MX,,,,4,1,1,0,0,1,0,0,0,7,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,M1,,,,1,0,0,0,0,0,0,0,0,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,M2,,,,50,10,5,25,16,6,2,4,1,119,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,M3,,,,10,1,1,12,16,12,7,3,16,78,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,RC,,,,1,1,0,1,0,0,0,0,0,3,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,ST,,,,0,0,0,0,0,0,0,1,0,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Acquasanta Terme		 ",43.619,12.673,MX,,,,1,0,0,1,1,1,0,0,0,4,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,M1,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,M2,,,,4,0,2,1,1,1,0,0,0,9,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,M3,,,,0,2,0,0,0,2,0,0,2,6,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,RC,,,,1,0,0,0,0,0,0,0,0,1,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,ST,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Agugliano		 ",43.544,13.389,MX,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,M1,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,M2,,,,34,10,5,23,13,6,3,1,1,96,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,M3,,,,20,5,3,17,13,9,4,15,17,103,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,RC,,,,7,1,0,1,1,0,0,0,0,10,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,ST,,,,0,0,0,0,0,0,0,0,0,0,,,,,Buildings,Shaking,Colombi et al. (Marche),
,"Amandola		 ",42.98,3.357,MX,,,,3,2,0,0,0,0,0,0,0,5,,,,,Buildings,Shaking,Colombi et al. (Marche),
