FIELD,DESCRIPTION
Year,2016
Country,Italy
Region,Europe
Event Name,CentralItaly 2016
Local Date,24/08/2016
Local Time,01:36:32
Latitude (decimal degrees),42.723
Longitude (decimal degrees),13.1877
Depth (km),4.44
Mw,6.2
Max Intensity (MMI),IX
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,296-299
Injured,368-400
Displaced population,
Affected population,~4854
Affected units,
Damaged units,
Collapsed units,
Economic losses,5000 M USD
Insured losses,75 M USD
Earthquake-triggered effects,
USGS event ID,us10006g7d
Wikipedia page,https://en.wikipedia.org/wiki/August 2016 Central Italy earthquake
