# 20091219_M6.0_Karonga median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,PezeshkEtAl2011NEHRPBC
t_0,33.36884,-14.05999,0.001276927,0.0045352704,0.00027631683,0.0022631343
t_1,33.36884,-13.62388,0.0014863302,0.0054205186,0.00045029185,0.0028124137
t_10,33.818,-13.62388,0.0012687984,0.00448587,0.00037577457,0.0028512126
t_100,33.72817,-9.84258,0.05849805,0.12218897,0.064604335,0.115103535
t_101,33.99766,-9.84258,0.04187419,0.078837685,0.044695698,0.08213193
t_102,33.90783,-9.75406,0.034442667,0.063836135,0.037293643,0.06565803
t_103,33.72817,-9.75406,0.03764458,0.07371897,0.04246864,0.06660504
t_104,33.818,-9.75406,0.04101091,0.07776555,0.045876954,0.06910278
t_105,33.18918,-9.48835,0.00995573,0.022888785,0.01201083,0.018057408
t_106,33.45867,-9.66551,0.0148046855,0.025653278,0.016279785,0.028805008
t_107,33.63834,-9.66551,0.02131348,0.03856378,0.023585618,0.039985757
t_108,33.36884,-9.66551,0.018660823,0.03252464,0.02291011,0.023684815
t_109,33.54851,-9.66551,0.017149819,0.03045996,0.018681707,0.034543347
t_11,33.818,-13.18696,0.0018473979,0.007137828,0.0007946176,0.0036382808
t_110,33.54851,-9.48835,0.01412112,0.023487352,0.016686361,0.020342948
t_111,33.36884,-9.48835,0.009008894,0.016914401,0.01006064,0.01889777
t_112,33.90783,-9.66551,0.03328846,0.07366867,0.042067613,0.043696582
t_113,33.818,-9.66551,0.027476205,0.049712732,0.03116138,0.04500289
t_114,33.72817,-9.66551,0.02174566,0.03938262,0.023732482,0.04355783
t_115,33.72817,-9.48835,0.015130596,0.025297647,0.017663844,0.023064187
t_116,33.00952,-9.3111,0.0066300207,0.02136917,0.007718934,0.016578972
t_118,35.16547,-14.05999,0.0008584076,0.002829409,0.000146885,0.0020676665
t_12,33.818,-12.74926,0.0019039498,0.0072343294,0.0010587849,0.004790406
t_120,34.71632,-14.49527,0.0011113206,0.0038801292,0.00016089654,0.0017978647
t_121,34.71632,-14.05999,0.0008938969,0.0029806884,0.00016758982,0.0021812862
t_122,34.71632,-13.62388,0.001049121,0.00364867,0.00027562052,0.002689496
t_123,34.26716,-14.05999,0.0011021473,0.0037316175,0.00022922718,0.0022595301
t_124,34.26716,-13.62388,0.0015414825,0.005858233,0.00047039427,0.0028068835
t_125,34.26716,-13.18696,0.0018937853,0.007634286,0.0008036026,0.0035662658
t_126,34.26716,-12.74926,0.002475042,0.010969253,0.0014463464,0.0046648034
t_127,34.26716,-12.3108,0.00210288,0.008137598,0.0014521382,0.006343596
t_128,34.08749,-12.3108,0.002144332,0.008311171,0.001507483,0.0064921314
t_129,34.08749,-12.13521,0.0024167926,0.009445545,0.0018788415,0.0074743996
t_13,33.72817,-12.3108,0.0022591513,0.00877998,0.001620268,0.0065786615
t_130,34.26716,-12.13521,0.0023615528,0.009217339,0.0018035846,0.007275223
t_131,34.08749,-11.9595,0.0037373127,0.01527879,0.003444838,0.00870063
t_132,34.44682,-11.78368,0.0029495056,0.011622983,0.002633515,0.009412074
t_133,34.44682,-11.60775,0.0034019065,0.013442988,0.003277798,0.011079498
t_134,34.44682,-11.43171,0.0039757295,0.015712539,0.0040897033,0.013213665
t_135,34.26716,-11.9595,0.002679252,0.010527203,0.0022493224,0.008428744
t_136,34.26716,-11.78368,0.0030772365,0.012141605,0.0028145644,0.009882991
t_137,34.08749,-11.78368,0.0033231457,0.013158233,0.0031198494,0.010261762
t_138,34.26716,-11.60775,0.0041403384,0.016489364,0.004230751,0.01175526
t_139,34.08749,-11.60775,0.0042020665,0.01673597,0.004328458,0.012296547
t_14,33.90783,-12.3108,0.0019105675,0.0074080094,0.0013152207,0.0065723336
t_140,34.08749,-11.43171,0.004530492,0.01792444,0.0048438944,0.0150252795
t_141,34.26716,-11.43171,0.0035822724,0.01422691,0.0036185193,0.014222393
t_142,34.08749,-11.25555,0.0067448984,0.023357939,0.0079550585,0.01628975
t_143,34.26716,-11.25555,0.0051318193,0.018466845,0.0056798463,0.016047865
t_144,34.08749,-11.07929,0.007300063,0.02030217,0.008550192,0.017196892
t_145,34.44682,-11.25555,0.0047158375,0.018255215,0.0051158904,0.015720718
t_146,34.44682,-11.07929,0.00568441,0.018709563,0.006414528,0.01644283
t_147,34.26716,-11.07929,0.006358452,0.018959502,0.007288742,0.016874844
t_148,34.08749,-10.90292,0.007712592,0.016686348,0.0086603975,0.018270623
t_149,34.26716,-10.90292,0.008114263,0.019449223,0.009468091,0.017813176
t_15,33.90783,-12.13521,0.002164281,0.008457154,0.0016491018,0.0075827404
t_150,34.26716,-10.72645,0.010700518,0.019923603,0.012488062,0.018877491
t_151,34.08749,-10.72645,0.014698327,0.024239477,0.017592715,0.020145234
t_152,34.17733,-10.54988,0.016478313,0.027987741,0.018637374,0.028303396
t_153,34.26716,-10.54988,0.014496697,0.024100129,0.016680945,0.023368733
t_154,33.72817,-11.07929,0.008637485,0.023037227,0.010408829,0.017424187
t_155,33.90783,-10.90292,0.010100867,0.020402532,0.011844093,0.018574232
t_156,33.72817,-10.90292,0.008965386,0.017874561,0.010198278,0.018600907
t_157,33.90783,-10.72645,0.015723972,0.02668279,0.018444804,0.023430288
t_158,33.72817,-10.72645,0.015214186,0.025774403,0.017641956,0.023775348
t_159,33.90783,-10.54988,0.027193325,0.050662275,0.03133272,0.044017684
t_16,33.72817,-12.13521,0.0029086943,0.011473433,0.0023826193,0.0075913104
t_160,33.818,-10.54988,0.029245589,0.05525667,0.03370981,0.04674781
t_161,33.72817,-10.54988,0.027370898,0.051129106,0.031230599,0.045351837
t_162,33.99766,-10.54988,0.022183668,0.039283168,0.024820413,0.03905745
t_163,33.818,-10.46155,0.0468615,0.10513131,0.056823734,0.07312946
t_164,34.08749,-10.54988,0.01659534,0.028943677,0.017978368,0.033781495
t_165,34.08749,-10.46155,0.021295497,0.038343795,0.022668345,0.04548803
t_166,34.17733,-10.46155,0.025747802,0.046521887,0.030718321,0.035841428
t_167,34.26716,-10.46155,0.016879627,0.028703555,0.019231455,0.028133685
t_168,34.26716,-10.3732,0.019400302,0.033643212,0.021888975,0.03329468
t_169,34.17733,-10.3732,0.032633845,0.063714065,0.03943151,0.045031454
t_17,33.90783,-11.9595,0.0027714844,0.01090514,0.0023831127,0.008850957
t_170,34.08749,-10.3732,0.039171945,0.07418969,0.044682246,0.06217204
t_171,34.08749,-10.28483,0.051632605,0.10073616,0.058712494,0.083019845
t_172,34.26716,-10.28483,0.021634862,0.03806873,0.02422023,0.037954837
t_173,33.99766,-10.46155,0.030927852,0.056769744,0.034074355,0.055910088
t_174,33.90783,-10.46155,0.038086124,0.07432842,0.043076824,0.066360265
t_175,33.72817,-10.46155,0.029211504,0.05747712,0.030535657,0.069579154
t_176,33.99766,-10.3732,0.041960217,0.07913203,0.044385884,0.08469606
t_177,33.72817,-10.3732,0.045455553,0.09744109,0.046469964,0.1197489
t_178,33.818,-10.3732,0.054219246,0.11651773,0.05643085,0.13166371
t_179,33.90783,-10.3732,0.044090856,0.090092614,0.045061108,0.11060039
t_18,33.54851,-12.13521,0.002990401,0.011814668,0.0024534056,0.0074993945
t_180,33.90783,-10.28483,0.09493915,0.19537504,0.09473265,0.20902452
t_181,33.72817,-10.28483,0.09807431,0.23224483,0.101827934,0.2410418
t_182,33.818,-10.28483,0.09795904,0.2620907,0.09565616,0.30289105
t_183,34.17733,-10.28483,0.02933295,0.053518105,0.032132827,0.054461453
t_184,34.08749,-10.19643,0.049699884,0.09452567,0.05233047,0.09955435
t_185,34.26716,-10.19643,0.022944497,0.040676855,0.025577813,0.04071661
t_186,34.17733,-10.19643,0.032171924,0.059250537,0.035011146,0.060666945
t_187,34.17733,-10.108,0.031894743,0.05868545,0.034729704,0.060053505
t_188,34.08749,-10.108,0.048925355,0.09296889,0.05157979,0.09781806
t_189,34.17733,-10.01955,0.029422391,0.053685617,0.032220475,0.054642227
t_19,33.36884,-11.9595,0.0039756703,0.017941196,0.0037051553,0.008480451
t_190,34.08749,-10.01955,0.043852974,0.08280536,0.046638962,0.08652159
t_191,34.08749,-9.93108,0.038584165,0.07220474,0.04143867,0.07482245
t_2,33.36884,-13.18696,0.0019360842,0.007987209,0.00082887855,0.0035752135
t_20,33.54851,-11.9595,0.0032440436,0.012865885,0.0028854404,0.00873523
t_21,33.18918,-11.78368,0.0041290936,0.017509403,0.0040120734,0.009448381
t_22,33.36884,-11.78368,0.0044161147,0.019275727,0.0044336594,0.009949433
t_23,33.54851,-11.78368,0.004041399,0.016182747,0.0039877524,0.010311183
t_24,33.54851,-11.60775,0.0051580644,0.02169267,0.005613282,0.01236987
t_25,33.18918,-11.60775,0.0043101716,0.017280282,0.0043936986,0.011116154
t_26,33.36884,-11.60775,0.0049214107,0.020478733,0.0052558575,0.011837481
t_27,33.72817,-11.9595,0.0029772194,0.011753487,0.0026060028,0.008862888
t_28,33.90783,-11.78368,0.0035793036,0.014217688,0.0034388946,0.01047716
t_29,33.72817,-11.78368,0.0040274803,0.016110728,0.003986423,0.010494331
t_3,33.36884,-12.74926,0.0021325909,0.008141145,0.0011977898,0.004680312
t_30,33.72817,-11.60775,0.003943746,0.015635567,0.00401579,0.0126432665
t_31,33.90783,-11.60775,0.0043066954,0.01715524,0.0044789105,0.012617522
t_32,33.72817,-11.43171,0.0056836326,0.022745214,0.006433256,0.015568155
t_33,33.90783,-11.43171,0.006428417,0.027725639,0.0075407033,0.015527517
t_34,33.90783,-11.25555,0.006995563,0.02341618,0.008283704,0.016442155
t_35,33.72817,-11.25555,0.006731825,0.022393176,0.0078909695,0.016454393
t_36,33.90783,-11.07929,0.0084470995,0.022585738,0.010130957,0.017406814
t_37,33.18918,-11.43171,0.0045769685,0.018249875,0.0048592975,0.013245135
t_38,33.54851,-11.43171,0.0056141675,0.022499127,0.0063310433,0.015139296
t_39,33.36884,-11.43171,0.0057780053,0.023863045,0.0065599377,0.014320804
t_4,33.54851,-12.3108,0.0026679826,0.010454722,0.0019823227,0.006510668
t_40,33.36884,-11.25555,0.006899982,0.025606787,0.008209918,0.016070532
t_41,33.54851,-11.25555,0.00655091,0.022448061,0.007647033,0.016324384
t_42,33.36884,-11.07929,0.0088489195,0.028758312,0.011040449,0.016893815
t_43,33.54851,-11.07929,0.009611676,0.028670335,0.012076299,0.01724127
t_44,33.36884,-10.90292,0.0115796635,0.032137476,0.014932556,0.017823378
t_45,33.54851,-10.90292,0.009493946,0.020337507,0.01114262,0.018324504
t_46,33.36884,-10.72645,0.013780908,0.02665754,0.01716917,0.018867953
t_47,33.54851,-10.72645,0.012186242,0.02008506,0.013871765,0.020519871
t_48,33.63834,-10.54988,0.02574611,0.047567118,0.029773995,0.040531795
