STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
NILT,NILTEPEC,16.565153,-94.616947,seismic,Stations_UNAM,ROCA,0.4980918451,0.9882422518,0.4496056852,0.3768705874,0.0,0.0,0.0,0.0,0.498066157,0.9882422518,0.4496056852,0.3768705874,0.4980918451,0.8563573581,0.3471133299,0.2658244664,0.449249949,0.1542171204,0.1356520284,0.1596273941,,,,,,,,
OXJM,JALAPA DEL MARQUES,16.445191,-95.444705,seismic,Stations_UNAM,ROCA,0.2811262997,0.8899319052,0.4345087276,0.3241425286,0.0,0.0,0.0,0.0,0.2619542304,0.8899319052,0.4345087276,0.3241425286,0.2811262997,0.8440434151,0.4031935219,0.2515000846,0.1695244648,0.3341738852,0.3157250646,0.2102241739,,,,,,,,
OAXM,OAXACA FACULTAD DE MEDICINA,17.082872,-96.718744,seismic,Stations_UNAM,ALUVIAL,0.2740240571,0.8308565905,0.2074476797,0.1187108256,0.0,0.0,0.0,0.0,0.2740240571,0.8308565905,0.2074476797,0.0906696531,0.1498646279,0.5092651825,0.1269147047,0.1187108256,0.0841704383,0.1905220504,0.1399642201,0.0621658309,,,,,,,,
HUAM,HUAMELULA,16.031121,-95.670297,seismic,Stations_UNAM,ROCA,0.2566034659,0.818356093,0.2957434764,0.1947149559,0.0,0.0,0.0,0.0,0.2566034659,0.818356093,0.2957434764,0.1947149559,0.1541753313,0.4358281448,0.2263196682,0.0655807316,0.1432953109,0.3279922046,0.1589633379,0.0740667629,,,,,,,,
SCRU,SALINA CRUZ,16.187519,-95.209239,seismic,Stations_UNAM,ROCA,0.2530413863,0.5884789154,0.3025598266,0.2600387101,0.0,0.0,0.0,0.0,0.2530413863,0.5884789154,0.3025108898,0.2600387101,0.2509686035,0.4087397561,0.3025598266,0.2002941037,0.298966055,0.2363899585,0.1236926212,0.0554658429,,,,,,,,
PANG,PUERTO ANGEL,15.666837,-96.490506,seismic,Stations_UNAM,ROCA SEDIMENTARIA,0.23319684,0.2934493862,0.1220460634,0.0618592029,0.0,0.0,0.0,0.0,0.1173815494,0.1779386935,0.062961912,0.0481326366,0.23319684,0.2934493862,0.1220460634,0.0618592029,0.1247818552,0.1791512606,0.0559062905,0.026256136,,,,,,,,
OXXO,XOXOCOTLAN,17.026234,-96.726179,seismic,Stations_UNAM,?,0.221914475,0.5792864792,0.3725055568,0.1520453664,0.0,0.0,0.0,0.0,0.2147719674,0.5792864792,0.3725055568,0.1520453664,0.221914475,0.5517782629,0.3448905069,0.1044403952,0.0773942915,0.1817837122,0.0777821248,0.040600536,,,,,,,,
OXTO,INSTITUTO TECNOLOGICO DE OAXACA,17.078389,-96.744158,seismic,Stations_UNAM,SUELO ALUVIAL,0.2173752294,0.5209645903,0.6024847118,0.142462856,0.0,0.0,0.0,0.0,0.1545918451,0.2504837753,0.4359629126,0.142462856,0.2173752294,0.5209645903,0.6024847118,0.1156472574,0.0688569827,0.1425729559,0.1002368498,0.0329837687,,,,,,,,
OXPM,ESCUELA PRIMARIA MUGICA,17.061391,-96.716899,seismic,Stations_UNAM,SUELO,0.2148237513,0.4936037591,0.1976976755,0.1606639426,0.0,0.0,0.0,0.0,0.143587156,0.4506876199,0.1976976755,0.1161746482,0.2148237513,0.4936037591,0.1763540575,0.1606639426,0.0772911315,0.1186483081,0.1034221167,0.078031036,,,,,,,,
OXCU,OAXACA CIUDAD UNIVERSITARIA,17.048881,-96.713269,seismic,Stations_UNAM,ARCILLA,0.1995794088,0.5935413372,0.3601239295,0.1781919608,0.0,0.0,0.0,0.0,0.1498183486,0.3639903535,0.2351486695,0.1471216434,0.1995794088,0.5935413372,0.3601239295,0.1781919608,0.0604561672,0.1565915368,0.0569343188,0.0322590064,,,,,,,,
