STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES
OSK0021806180758,0.8098973655631652,0.0,34.8572,135.5958,OSK002,seismic,Stations_NIED
KYT0111806180758,0.39615057129600895,0.0,35.0171,135.5637,KYT011,seismic,Stations_NIED
OSK0041806180758,0.35850978672635464,0.0,34.7407,135.6396,OSK004,seismic,Stations_NIED
KYTH071806180758,0.3328863577266452,0.0,34.8983,135.7461,KYTH07,seismic,Stations_NIED
OSK0031806180758,0.32367628089102857,0.0,34.7668,135.4684,OSK003,seismic,Stations_NIED
OSK0051806180758,0.2884991306919289,0.0,34.7256,135.5101,OSK005,seismic,Stations_NIED
OSKH051806180758,0.2675939286096684,0.0,34.7159,135.5199,OSKH05,seismic,Stations_NIED
NAR0011806180758,0.25268873672457,0.0,34.7153,135.7276,NAR001,seismic,Stations_NIED
HYG0151806180758,0.21024100992693767,0.0,34.9499,135.2714,HYG015,seismic,Stations_NIED
KYT0131806180758,0.19895785003033686,0.0,34.8784,135.8046,KYT013,seismic,Stations_NIED
KYTH081806180758,0.19548469660893408,0.0,35.0094,135.7304,KYTH08,seismic,Stations_NIED
HYG0221806180758,0.18638780827295795,0.0,34.7463,135.3501,HYG022,seismic,Stations_NIED
OSK0011806180758,0.1863256055839663,0.0,34.9707,135.39,OSK001,seismic,Stations_NIED
OSKH021806180758,0.1816359307204808,0.0,34.6628,135.3896,OSKH02,seismic,Stations_NIED
KYT0091806180758,0.16548974420418824,0.0,35.1639,135.5017,KYT009,seismic,Stations_NIED
NAR0021806180758,0.15332045091850963,0.0,34.6682,135.8353,NAR002,seismic,Stations_NIED
OSK0061806180758,0.14831568374521395,0.0,34.5894,135.471,OSK006,seismic,Stations_NIED
NARH061806180758,0.1452330816333817,0.0,34.6413,136.0512,NARH06,seismic,Stations_NIED
KYT0121806180758,0.1449587779720906,0.0,34.9977,135.8177,KYT012,seismic,Stations_NIED
OSKH041806180758,0.13392238939903048,0.0,34.763,135.7052,OSKH04,seismic,Stations_NIED
NAR0041806180758,0.13051551753147123,0.0,34.5277,135.9511,NAR004,seismic,Stations_NIED
HYGH091806180758,0.12225173734149807,0.0,34.9082,135.0844,HYGH09,seismic,Stations_NIED
HYG0241806180758,0.10890467182982995,0.0,34.533,134.9904,HYG024,seismic,Stations_NIED
NARH071806180758,0.10442709793864385,0.0,34.5843,135.8541,NARH07,seismic,Stations_NIED
NAR0031806180758,0.09994850433124479,0.0,34.5171,135.7171,NAR003,seismic,Stations_NIED
OSK0091806180758,0.09913477079328839,0.0,34.4364,135.5805,OSK009,seismic,Stations_NIED
KYTH041806180758,0.09909194271234333,0.0,35.2685,135.5508,KYTH04,seismic,Stations_NIED
SIG0101806180758,0.09756848669015429,0.0,34.9719,135.8965,SIG010,seismic,Stations_NIED
SIG0111806180758,0.09633259064002504,0.0,34.8781,136.0591,SIG011,seismic,Stations_NIED
MIE0081806180758,0.09302972982618953,0.0,34.6291,136.1074,MIE008,seismic,Stations_NIED
SIGH031806180758,0.09275440644868549,0.0,34.853,136.0316,SIGH03,seismic,Stations_NIED
HYGH041806180758,0.08923842494633759,0.0,35.0708,135.2811,HYGH04,seismic,Stations_NIED
OSK0081806180758,0.088849913069193,0.0,34.4404,135.3918,OSK008,seismic,Stations_NIED
SIG0121806180758,0.085060647621767,0.0,34.9018,136.2324,SIG012,seismic,Stations_NIED
MIEH031806180758,0.08229517725217085,0.0,34.547,136.3692,MIEH03,seismic,Stations_NIED
SIG0071806180758,0.08080231271637116,0.0,35.1339,136.0957,SIG007,seismic,Stations_NIED
OSK0071806180758,0.07756573345637922,0.0,34.5575,135.606,OSK007,seismic,Stations_NIED
MIE0071806180758,0.07276287009325316,0.0,34.6398,136.3399,MIE007,seismic,Stations_NIED
NAR0051806180758,0.07124043378727712,0.0,34.3414,135.6844,NAR005,seismic,Stations_NIED
NAR0061806180758,0.07086007963983634,0.0,34.3384,135.9545,NAR006,seismic,Stations_NIED
KYT0141806180758,0.07069896447818583,0.0,34.7731,135.9921,KYT014,seismic,Stations_NIED
HYG0101806180758,0.07053784931653533,0.0,35.0592,135.1776,HYG010,seismic,Stations_NIED
SIGH041806180758,0.06596748124996824,0.0,34.9638,136.261,SIGH04,seismic,Stations_NIED
SIG0091806180758,0.06566768468335273,0.0,35.0052,136.0841,SIG009,seismic,Stations_NIED
NARH041806180758,0.06255551080134408,0.0,34.3061,135.8369,NARH04,seismic,Stations_NIED
HYG0231806180758,0.062464756058389054,0.0,34.6444,134.998,HYG023,seismic,Stations_NIED
KYT0081806180758,0.06235054784253553,0.0,35.261,135.3967,KYT008,seismic,Stations_NIED
OSK0101806180758,0.05946475095980798,0.0,34.3744,135.2553,OSK010,seismic,Stations_NIED
MIE0041806180758,0.059406627135668244,0.0,34.8568,136.4489,MIE004,seismic,Stations_NIED
HYG0141806180758,0.05929649778466663,0.0,35.0019,134.9994,HYG014,seismic,Stations_NIED
HYG0081806180758,0.05900587866396792,0.0,35.1487,134.788,HYG008,seismic,Stations_NIED
MIEH011806180758,0.058702003232500494,0.0,34.9849,136.4563,MIEH01,seismic,Stations_NIED
OKYH121806180758,0.058156455058557294,0.0,35.0999,134.319,OKYH12,seismic,Stations_NIED
HYG0211806180758,0.05402558467978371,0.0,34.6904,135.1591,HYG021,seismic,Stations_NIED
GIFH031806180758,0.053018105061361516,0.0,35.6325,136.6134,GIFH03,seismic,Stations_NIED
HYG0201806180758,0.05295794180479581,0.0,34.7974,134.9889,HYG020,seismic,Stations_NIED
HYGH081806180758,0.05202694090234696,0.0,35.101,134.9036,HYGH08,seismic,Stations_NIED
KGW0021806180758,0.04972952027450769,0.0,34.4724,134.3142,KGW002,seismic,Stations_NIED
GIFH121806180758,0.04920028755997214,0.0,35.6033,136.4134,GIFH12,seismic,Stations_NIED
GIFH251806180758,0.0485323734404716,0.0,35.5214,136.6127,GIFH25,seismic,Stations_NIED
HYGH111806180758,0.04795623378013907,0.0,35.2925,134.9071,HYGH11,seismic,Stations_NIED
MIEH051806180758,0.046607149230369266,0.0,34.0637,136.1689,MIEH05,seismic,Stations_NIED
GIF0261806180758,0.04655106483865548,0.0,35.5909,136.7418,GIF026,seismic,Stations_NIED
NAR0071806180758,0.045399805234203394,0.0,34.2214,135.7368,NAR007,seismic,Stations_NIED
KYT0151806180758,0.04462278147991421,0.0,35.2496,135.7667,KYT015,seismic,Stations_NIED
OSKH011806180758,0.044610544885358476,0.0,34.3977,135.2836,OSKH01,seismic,Stations_NIED
MIE0051806180758,0.04415167258951841,0.0,34.7679,136.1149,MIE005,seismic,Stations_NIED
HYG0091806180758,0.043539842861731654,0.0,35.1699,135.1025,HYG009,seismic,Stations_NIED
MIE0111806180758,0.042820942931582215,0.0,34.4284,136.3328,MIE011,seismic,Stations_NIED
MIE0091806180758,0.04266696578342254,0.0,34.5752,136.5296,MIE009,seismic,Stations_NIED
SIG0031806180758,0.042259079298231375,0.0,35.3773,136.2642,SIG003,seismic,Stations_NIED
SIGH011806180758,0.04166560446227822,0.0,35.2383,136.3599,SIGH01,seismic,Stations_NIED
HYGH071806180758,0.04098851289686087,0.0,35.0322,134.6701,HYGH07,seismic,Stations_NIED
MIE0021806180758,0.040865127235090545,0.0,35.0283,136.5069,MIE002,seismic,Stations_NIED
FKI0101806180758,0.04001264448104099,0.0,35.4904,135.5518,FKI010,seismic,Stations_NIED
SIG0081806180758,0.03935288809124427,0.0,35.0704,136.2946,SIG008,seismic,Stations_NIED
HYG0191806180758,0.03827096918927469,0.0,34.8321,134.8234,HYG019,seismic,Stations_NIED
NAR0081806180758,0.037612232515690944,0.0,34.1369,136.0063,NAR008,seismic,Stations_NIED
MIE0181806180758,0.03667511331596423,0.0,34.8701,136.4546,MIE018,seismic,Stations_NIED
MIE0141806180758,0.03649870241111904,0.0,34.0636,136.1689,MIE014,seismic,Stations_NIED
HYG0031806180758,0.036163215777049305,0.0,35.4613,134.8758,HYG003,seismic,Stations_NIED
MIE0171806180758,0.03561664788689314,0.0,34.3628,136.3358,MIE017,seismic,Stations_NIED
SIG0021806180758,0.03557993810322593,0.0,35.4214,136.0243,SIG002,seismic,Stations_NIED
SIG0051806180758,0.03366593077146636,0.0,35.2499,136.2414,SIG005,seismic,Stations_NIED
HYGH031806180758,0.03348034242070437,0.0,35.2193,134.5237,HYGH03,seismic,Stations_NIED
HYGH131806180758,0.032464705072578356,0.0,35.6208,134.6566,HYGH13,seismic,Stations_NIED
NARH031806180758,0.032272998424538506,0.0,34.2925,136.0022,NARH03,seismic,Stations_NIED
SIG0041806180758,0.0312012766846987,0.0,35.3474,135.9187,SIG004,seismic,Stations_NIED
MIEH021806180758,0.03113805427949407,0.0,34.7662,136.2835,MIEH02,seismic,Stations_NIED
MIE0011806180758,0.03094022933417635,0.0,35.1719,136.4948,MIE001,seismic,Stations_NIED
GIF0121806180758,0.03067408340258911,0.0,35.6364,136.4879,GIF012,seismic,Stations_NIED
KYTH011806180758,0.0306006638352547,0.0,35.5243,135.1243,KYTH01,seismic,Stations_NIED
MIE0031806180758,0.030326360173963635,0.0,34.9708,136.6356,MIE003,seismic,Stations_NIED
HYG0171806180758,0.030121397215155075,0.0,34.8591,134.5446,HYG017,seismic,Stations_NIED
HYGH101806180758,0.029941927161670955,0.0,34.8164,134.8078,HYGH10,seismic,Stations_NIED
GIF0171806180758,0.029676800946296697,0.0,35.483,136.5713,GIF017,seismic,Stations_NIED
NARH011806180758,0.02956667159529508,0.0,33.9666,135.6489,NARH01,seismic,Stations_NIED
SIG0061806180758,0.029005827678157216,0.0,35.2002,135.921,SIG006,seismic,Stations_NIED
MIE0161806180758,0.028993591083601482,0.0,33.8764,135.9191,MIE016,seismic,Stations_NIED
KYT0021806180758,0.028868165989405194,0.0,35.6038,134.8945,KYT002,seismic,Stations_NIED
KYT0071806180758,0.02884267308408075,0.0,35.3063,135.712,KYT007,seismic,Stations_NIED
MIEH101806180758,0.028749878908699757,0.0,34.8224,136.4245,MIEH10,seismic,Stations_NIED
GIF0071806180758,0.027412011237272715,0.0,36.0378,137.4854,GIF007,seismic,Stations_NIED
MIE0061806180758,0.02722030458923286,0.0,34.7178,136.5039,MIE006,seismic,Stations_NIED
HYG0051806180758,0.026754294279901947,0.0,35.3408,134.8616,HYG005,seismic,Stations_NIED
HYG0131806180758,0.02661663259114993,0.0,34.9895,134.7636,HYG013,seismic,Stations_NIED
HYG0181806180758,0.026519759550917024,0.0,34.8145,134.6871,HYG018,seismic,Stations_NIED
HYGH121806180758,0.026517720118491066,0.0,34.9313,134.5423,HYGH12,seismic,Stations_NIED
MIE0131806180758,0.026485089199675772,0.0,34.2778,136.4993,MIE013,seismic,Stations_NIED
KYT0041806180758,0.026402492186424563,0.0,35.5356,135.1959,KYT004,seismic,Stations_NIED
HYGH011806180758,0.0255459305675231,0.0,34.2937,134.7941,HYGH01,seismic,Stations_NIED
HYG0121806180758,0.02508297940683112,0.0,34.9958,134.5523,HYG012,seismic,Stations_NIED
KYTH021806180758,0.02502587529890436,0.0,35.7101,135.2496,KYTH02,seismic,Stations_NIED
AIC0111806180758,0.025016697852987557,0.0,34.9966,136.8641,AIC011,seismic,Stations_NIED
FKI0091806180758,0.02456394385442535,0.0,35.4956,135.7509,FKI009,seismic,Stations_NIED
FKIH021806180758,0.024485425706026055,0.0,35.9483,136.0556,FKIH02,seismic,Stations_NIED
GIFH091806180758,0.024480327124961166,0.0,35.2768,136.7002,GIFH09,seismic,Stations_NIED
GIFH061806180758,0.024217240342012857,0.0,35.5038,136.7939,GIFH06,seismic,Stations_NIED
MIEH061806180758,0.02399902107243558,0.0,34.358,136.3293,MIEH06,seismic,Stations_NIED
OKYH111806180758,0.02383280732972018,0.0,35.0732,134.1162,OKYH11,seismic,Stations_NIED
TKS0011806180758,0.02382159045137742,0.0,34.2034,134.6096,TKS001,seismic,Stations_NIED
KYT0061806180758,0.023730835708422385,0.0,35.2766,135.182,KYT006,seismic,Stations_NIED
MIEH081806180758,0.02322097760193342,0.0,34.5424,136.5033,MIEH08,seismic,Stations_NIED
HYGH061806180758,0.023153676331876878,0.0,34.7935,134.4792,HYGH06,seismic,Stations_NIED
WKYH091806180758,0.023065980737560776,0.0,34.2868,135.0714,WKYH09,seismic,Stations_NIED
NAR0091806180758,0.02281309111674225,0.0,33.9396,135.753,NAR009,seismic,Stations_NIED
GIFH071806180758,0.02263566049568409,0.0,35.4179,136.4347,GIFH07,seismic,Stations_NIED
GIFH261806180758,0.022361356834393022,0.0,35.4121,136.8764,GIFH26,seismic,Stations_NIED
AICH121806180758,0.022119684091917256,0.0,34.7884,137.1057,AICH12,seismic,Stations_NIED
FKI0051806180758,0.0220992897676577,0.0,35.9068,136.1748,FKI005,seismic,Stations_NIED
FKIH041806180758,0.021984061835591193,0.0,35.5587,135.8694,FKIH04,seismic,Stations_NIED
FKI0021806180758,0.02186169589003384,0.0,36.0391,136.0135,FKI002,seismic,Stations_NIED
HYG0261806180758,0.02178827632269943,0.0,34.4147,134.7914,HYG026,seismic,Stations_NIED
OKY0031806180758,0.021572096485548108,0.0,35.1732,134.3346,OKY003,seismic,Stations_NIED
WKY0031806180758,0.021306970270173847,0.0,34.0996,135.1161,WKY003,seismic,Stations_NIED
HYGH141806180758,0.020817506487944438,0.0,35.4574,134.8621,HYGH14,seismic,Stations_NIED
FKI0081806180758,0.02065639132629393,0.0,35.5483,135.9091,FKI008,seismic,Stations_NIED
HYG0021806180758,0.02053606481316253,0.0,35.6394,134.628,HYG002,seismic,Stations_NIED
FKI0071806180758,0.02046162552961514,0.0,35.6448,136.0575,FKI007,seismic,Stations_NIED
HYG0061806180758,0.020311727246307386,0.0,35.3329,134.6649,HYG006,seismic,Stations_NIED
TTRH061806180758,0.020206696476370658,0.0,35.3946,134.1988,TTRH06,seismic,Stations_NIED
HYG0161806180758,0.01994870827448724,0.0,34.7553,134.39,HYG016,seismic,Stations_NIED
AIC0011806180758,0.0197243707076321,0.0,35.2974,136.7505,AIC001,seismic,Stations_NIED
OKY0011806180758,0.019359312303386,0.0,35.1702,133.7311,OKY001,seismic,Stations_NIED
OKY0111806180758,0.019313425073801994,0.0,34.6554,133.9075,OKY011,seismic,Stations_NIED
HYG0251806180758,0.01894428780470398,0.0,34.3389,134.9011,HYG025,seismic,Stations_NIED
MIEH091806180758,0.018843335899619167,0.0,33.7644,135.9969,MIEH09,seismic,Stations_NIED
FKIH051806180758,0.018697516481163322,0.0,35.639,136.0303,FKIH05,seismic,Stations_NIED
AIC0091806180758,0.018368148144371453,0.0,35.0813,137.1466,AIC009,seismic,Stations_NIED
WKY0021806180758,0.01819683582059116,0.0,34.2755,135.4306,WKY002,seismic,Stations_NIED
KYTH031806180758,0.01802450378059789,0.0,35.313,135.1334,KYTH03,seismic,Stations_NIED
KGW0011806180758,0.017796087348890835,0.0,34.5452,134.2804,KGW001,seismic,Stations_NIED
OKY0061806180758,0.017436127525709624,0.0,35.0685,134.0054,OKY006,seismic,Stations_NIED
ISK0141806180758,0.017355569944884366,0.0,36.3031,136.3154,ISK014,seismic,Stations_NIED
FKI0011806180758,0.017229125134475106,0.0,36.2193,136.1565,FKI001,seismic,Stations_NIED
AIC0161806180758,0.016961959486674887,0.0,34.7784,136.9082,AIC016,seismic,Stations_NIED
OKY0101806180758,0.016885480770701542,0.0,34.7454,134.1884,OKY010,seismic,Stations_NIED
GIFH271806180758,0.016809002054728198,0.0,35.4527,137.004,GIFH27,seismic,Stations_NIED
MIEH041806180758,0.016579565906808164,0.0,34.3532,136.5866,MIEH04,seismic,Stations_NIED
KYT0031806180758,0.01643374648835232,0.0,35.6762,135.2927,KYT003,seismic,Stations_NIED
GIF0221806180758,0.016342991745397283,0.0,35.2836,136.473,GIF022,seismic,Stations_NIED
TTR0021806180758,0.016225724380904822,0.0,35.4859,134.2201,TTR002,seismic,Stations_NIED
HYGH021806180758,0.016065628935467285,0.0,35.0671,134.4234,HYGH02,seismic,Stations_NIED
SIG0011806180758,0.016030958584226037,0.0,35.5399,136.2066,SIG001,seismic,Stations_NIED
HYG0111806180758,0.01564856500435931,0.0,34.985,134.3226,HYG011,seismic,Stations_NIED
HYGH151806180758,0.015342650140465933,0.0,35.4697,134.5953,HYGH15,seismic,Stations_NIED
FKI0031806180758,0.015290644613604059,0.0,36.0444,136.2279,FKI003,seismic,Stations_NIED
WKY0131806180758,0.014934763655274763,0.0,34.2159,135.5864,WKY013,seismic,Stations_NIED
GIF0201806180758,0.014400432359674326,0.0,35.4248,136.7568,GIF020,seismic,Stations_NIED
HYG0071806180758,0.014328032508552893,0.0,35.1638,134.5458,HYG007,seismic,Stations_NIED
TTR0031806180758,0.014212804576486389,0.0,35.3432,134.2075,TTR003,seismic,Stations_NIED
SZO0251806180758,0.014140404725364956,0.0,34.7189,137.5318,SZO025,seismic,Stations_NIED
GIF0231806180758,0.014115931536253484,0.0,35.3879,137.2166,GIF023,seismic,Stations_NIED
OKY0091806180758,0.01409757664441988,0.0,34.9185,134.0931,OKY009,seismic,Stations_NIED
OKY0151806180758,0.013925244604426611,0.0,35.2793,133.926,OKY015,seismic,Stations_NIED
TKS0021806180758,0.013691729591654664,0.0,34.0439,134.582,TKS002,seismic,Stations_NIED
WKY0011806180758,0.01366011838905235,0.0,34.2293,135.1694,WKY001,seismic,Stations_NIED
WKY0041806180758,0.013415386497937647,0.0,34.0841,135.431,WKY004,seismic,Stations_NIED
TTR0041806180758,0.013223679849897795,0.0,35.4606,134.0548,TTR004,seismic,Stations_NIED
GIF0211806180758,0.012952435337245665,0.0,35.4426,136.9996,GIF021,seismic,Stations_NIED
GIF0151806180758,0.012886153783402101,0.0,35.5456,136.9076,GIF015,seismic,Stations_NIED
AIC0041806180758,0.01276888641890964,0.0,35.0631,136.9738,AIC004,seismic,Stations_NIED
NGNH181806180758,0.012224357961179424,0.0,35.9324,137.595,NGNH18,seismic,Stations_NIED
TKS0061806180758,0.012210081934197732,0.0,33.6689,134.4191,TKS006,seismic,Stations_NIED
AIC0121806180758,0.011926600826989868,0.0,34.9119,137.0446,AIC012,seismic,Stations_NIED
AICH171806180758,0.011914364232434133,0.0,35.184,137.7268,AICH17,seismic,Stations_NIED
ISK0131806180758,0.0116849280845141,0.0,36.1804,136.6246,ISK013,seismic,Stations_NIED
NGNH231806180758,0.011464669382510867,0.0,35.6056,137.6105,NGNH23,seismic,Stations_NIED
AICH161806180758,0.01132496826133289,0.0,35.1543,137.535,AICH16,seismic,Stations_NIED
FKI0061806180758,0.011238292383229766,0.0,35.7731,136.2001,FKI006,seismic,Stations_NIED
FKI0041806180758,0.011135301045718995,0.0,35.9793,136.4867,FKI004,seismic,Stations_NIED
GIFH231806180758,0.010973166167855503,0.0,35.7235,136.7847,GIFH23,seismic,Stations_NIED
MIE0101806180758,0.010929318370697452,0.0,34.4909,136.7331,MIE010,seismic,Stations_NIED
HYG0011806180758,0.010845701641233262,0.0,35.6197,134.4506,HYG001,seismic,Stations_NIED
AIC0031806180758,0.010844681925020284,0.0,35.1734,136.7402,AIC003,seismic,Stations_NIED
AIC0021806180758,0.010802873560288188,0.0,35.2979,136.9154,AIC002,seismic,Stations_NIED
FKIH011806180758,0.01077330179011183,0.0,36.0955,136.3617,FKIH01,seismic,Stations_NIED
GIF0111806180758,0.01076718349283396,0.0,35.7596,136.9809,GIF011,seismic,Stations_NIED
OKY0051806180758,0.01062034435816514,0.0,35.0096,133.7318,OKY005,seismic,Stations_NIED
TTR0051806180758,0.010596890885266648,0.0,35.4298,133.8258,TTR005,seismic,Stations_NIED
KGWH051806180758,0.01044291373710698,0.0,34.4572,134.3241,KGWH05,seismic,Stations_NIED
WKY0061806180758,0.010277719710604557,0.0,33.8909,135.1525,WKY006,seismic,Stations_NIED
MIE0151806180758,0.010195122697353343,0.0,33.8788,136.0816,MIE015,seismic,Stations_NIED
AIC0101806180758,0.01018288610279761,0.0,34.9803,137.4297,AIC010,seismic,Stations_NIED
OKY0121806180758,0.010028908954637941,0.0,34.5897,133.754,OKY012,seismic,Stations_NIED
GIF0091806180758,0.009857596630857649,0.0,35.925,136.8318,GIF009,seismic,Stations_NIED
WKYH031806180758,0.009840261455237025,0.0,34.1314,135.3244,WKYH03,seismic,Stations_NIED
GIFH211806180758,0.009720954658318605,0.0,35.6665,136.9618,GIFH21,seismic,Stations_NIED
KYT0051806180758,0.009702599766485003,0.0,35.4756,135.3893,KYT005,seismic,Stations_NIED
GIFH151806180758,0.009675067428734599,0.0,36.1338,137.2208,GIFH15,seismic,Stations_NIED
AICH151806180758,0.00965467310447504,0.0,35.1392,137.3359,AICH15,seismic,Stations_NIED
OKY0141806180758,0.009628160482937615,0.0,34.4483,133.787,OKY014,seismic,Stations_NIED
HYG0271806180758,0.009607766158678057,0.0,34.2496,134.7292,HYG027,seismic,Stations_NIED
TKS0041806180758,0.009522109996787908,0.0,33.775,134.5907,TKS004,seismic,Stations_NIED
GIF0181806180758,0.009391586321526736,0.0,35.4955,137.4998,GIF018,seismic,Stations_NIED
TTRH031806180758,0.009376290578332065,0.0,35.3553,133.4918,TTRH03,seismic,Stations_NIED
NGN0191806180758,0.00934467937572975,0.0,35.8561,137.708,NGN019,seismic,Stations_NIED
KYT0011806180758,0.009339580794664862,0.0,35.7404,135.1019,KYT001,seismic,Stations_NIED
AICH181806180758,0.009338561078451883,0.0,34.9635,137.2377,AICH18,seismic,Stations_NIED
NGN0241806180758,0.009293693565080854,0.0,35.5232,137.8382,NGN024,seismic,Stations_NIED
AIC0141806180758,0.009007153309234055,0.0,34.8285,137.2199,AIC014,seismic,Stations_NIED
TKSH051806180758,0.008907221120362217,0.0,33.6628,134.3156,TKSH05,seismic,Stations_NIED
WKY0051806180758,0.00875324397220255,0.0,33.8943,135.4885,WKY005,seismic,Stations_NIED
KGW0061806180758,0.008644134337413912,0.0,34.2499,134.1856,KGW006,seismic,Stations_NIED
