# 20230817_M6.1_ElCalvario median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014
m_22,-74.1119,4.6632,0.03838993,0.031605087,0.040868096,0.036282323,0.032680847,0.037085995
m_23,-74.1029,4.6542,0.03681131,0.031480554,0.039396048,0.034893468,0.032745544,0.03614065
m_24,-74.0939,4.6361,0.031717252,0.029786866,0.029956114,0.03152024,0.029858153,0.03100387
m_25,-74.0759,4.636,0.028275648,0.028194426,0.02408551,0.029184882,0.028007934,0.027611662
m_26,-74.0578,4.6541,0.026149327,0.024248747,0.021229398,0.02887344,0.025412483,0.02403526
m_27,-74.0578,4.6812,0.041789163,0.034089908,0.042072155,0.03942993,0.034984674,0.039590653
m_28,-74.0578,4.6903,0.044974703,0.035132222,0.047685854,0.041554265,0.036606573,0.042557135
m_29,-74.0577,4.7355,0.05436136,0.037015926,0.058418542,0.048240114,0.0395969,0.05022897
t_0,-71.89413,2.17577,0.005037078,0.0068429112,0.0053575924,0.0041929707,0.006099133,0.0054196054
t_1,-71.8043,2.17577,0.0053735594,0.0072540296,0.0059139403,0.0046737273,0.006444281,0.0058604665
t_10,-71.8043,2.26554,0.0040563224,0.005696986,0.0040544816,0.003619734,0.0052656336,0.0042689736
t_100,-71.89413,6.11723,0.0068028057,0.0071636527,0.006909241,0.0059673563,0.0068654628,0.0071086367
t_1000,-72.52295,3.25253,0.021999879,0.014726731,0.024083627,0.017468456,0.014670015,0.022119105
t_1001,-72.16363,3.25253,0.016776685,0.0125463335,0.018785471,0.0134386895,0.012198627,0.017549865
t_1002,-72.34329,3.25253,0.015956951,0.011751406,0.016739573,0.013352619,0.011708347,0.016090862
t_1003,-72.52295,3.34221,0.025753675,0.016294166,0.02886908,0.020518197,0.01646918,0.025877822
t_1004,-72.25346,3.34221,0.019880468,0.013851796,0.022368029,0.015931021,0.013684027,0.020552592
t_1005,-72.34329,3.34221,0.020712685,0.014199781,0.022924878,0.01629385,0.014055655,0.021098556
t_1006,-72.70262,3.34221,0.030528652,0.018255018,0.034190234,0.024365077,0.01875196,0.030077396
t_1007,-72.61278,3.34221,0.023440067,0.015144997,0.024834583,0.019463137,0.015393011,0.022892589
