# 20230817_M6.1_ElCalvario median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:GFZ
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014
m_22,-74.1119,4.6632,0.038293626,0.031473253,0.040735763,0.036375947,0.032607287,0.037100263
m_23,-74.1029,4.6542,0.03676694,0.031479277,0.039410785,0.034969613,0.032705404,0.03616693
m_24,-74.0939,4.6361,0.031741854,0.02972411,0.029926706,0.031599943,0.029888429,0.03105779
m_25,-74.0759,4.636,0.02822564,0.028022885,0.02396325,0.02915184,0.027965015,0.027573332
m_26,-74.0578,4.6541,0.025884015,0.023823874,0.020833796,0.0286919,0.025172478,0.023830423
m_27,-74.0578,4.6812,0.041321024,0.033632513,0.041636333,0.03921221,0.03457466,0.039253455
m_28,-74.0578,4.6903,0.044463813,0.034708194,0.04724802,0.0413396,0.0361628,0.04220485
m_29,-74.0577,4.7355,0.053669788,0.036490448,0.057806216,0.04808014,0.039066948,0.04984468
t_0,-71.89413,2.17577,0.0050935703,0.006636404,0.0052732313,0.004302646,0.006077488,0.005388848
t_1,-71.8043,2.17577,0.0054196725,0.0070496793,0.0058081136,0.004783722,0.006409095,0.005806467
t_10,-71.8043,2.26554,0.004089031,0.0055042626,0.0039748535,0.003704545,0.0052394103,0.004231559
t_100,-71.89413,6.11723,0.006001664,0.0065117045,0.005905981,0.005374003,0.0063737743,0.006223828
t_1000,-72.52295,3.25253,0.02251862,0.014539289,0.023952857,0.018077105,0.014943301,0.022693368
t_1001,-72.16363,3.25253,0.016882427,0.012261873,0.018376693,0.013689549,0.0122463945,0.017654482
t_1002,-72.34329,3.25253,0.016185392,0.0114898905,0.016465096,0.013710791,0.01183196,0.01633842
t_1003,-72.52295,3.34221,0.026288478,0.016111763,0.028673615,0.02115706,0.016756013,0.026509227
t_1004,-72.25346,3.34221,0.020029351,0.013566445,0.021914473,0.016234692,0.01376399,0.020739915
t_1005,-72.34329,3.34221,0.020951845,0.013920227,0.022538163,0.016668083,0.014186291,0.021391965
t_1006,-72.70262,3.34221,0.03150774,0.01821262,0.03435832,0.025382195,0.019269673,0.031168055
t_1007,-72.61278,3.34221,0.024065753,0.014963435,0.024732545,0.020197986,0.015735019,0.023589619
t_1008,-72.43312,3.34221,0.02710803,0.016008446,0.031178784,0.022931227,0.01723543,0.02823587
t_1009,-72.16363,3.34221,0.013657823,0.010231361,0.013691081,0.011784202,0.010540013,0.013843518
t_101,-71.53481,6.11723,0.00691574,0.007916895,0.007634335,0.0061607687,0.007348911,0.007508253
t_1010,-72.34329,3.43188,0.024547447,0.015341077,0.027290123,0.020139849,0.015941381,0.025222244
t_1011,-72.70262,3.43188,0.031995304,0.018451672,0.033887178,0.02599052,0.019544559,0.030999115
t_1012,-72.25346,3.43188,0.020975534,0.013948125,0.022795614,0.016862506,0.014206349,0.02154503
t_1013,-72.61278,3.43188,0.032289483,0.018450692,0.035623405,0.026296198,0.019646993,0.03209719
t_1014,-72.52295,3.43188,0.023808304,0.014854133,0.024479957,0.019968228,0.01560538,0.02336659
t_1015,-72.43312,3.43188,0.026350273,0.016108947,0.028980747,0.02137684,0.016789068,0.026703076
t_1016,-72.16363,3.43188,0.019134164,0.01319177,0.020813875,0.015433325,0.013324824,0.019813666
t_1017,-72.61278,3.52155,0.034871046,0.019491185,0.038384337,0.028377833,0.020901514,0.034304615
t_1018,-72.70262,3.52155,0.037862778,0.020760765,0.041291982,0.030631268,0.02237163,0.036661614
t_1019,-72.25346,3.52155,0.023892183,0.015073382,0.026616002,0.019646805,0.015633233,0.02463411
t_102,-71.26531,6.11723,0.005380672,0.007098285,0.0058804983,0.004892609,0.006477096,0.005805218
t_1020,-72.6577,3.52155,0.037798293,0.020497056,0.04217328,0.031179035,0.022340877,0.037177384
t_1021,-72.74753,3.52155,0.03953328,0.02146305,0.042958327,0.031931598,0.023200978,0.037989367
t_1022,-72.34329,3.52155,0.02584319,0.01588662,0.02855983,0.021065118,0.01655199,0.026313767
t_1023,-72.79245,3.52155,0.034506887,0.019356485,0.035093304,0.029586375,0.020965062,0.032288324
t_1024,-72.52295,3.52155,0.03278462,0.018486233,0.036781013,0.027108504,0.01990252,0.032898862
t_1025,-72.43312,3.52155,0.026969217,0.016394325,0.029140828,0.021511247,0.017081475,0.026951354
t_1026,-72.16363,3.52155,0.020374881,0.013703877,0.022178419,0.01641384,0.013920097,0.020992998
t_1027,-72.70262,3.56638,0.040907256,0.021812057,0.045312114,0.03361311,0.023875944,0.039653294
t_1028,-72.6577,3.56638,0.031226808,0.017982796,0.031945422,0.02650346,0.019295365,0.029668393
t_1029,-72.61278,3.56638,0.036138862,0.020010298,0.039713163,0.029389981,0.021522556,0.035360757
t_103,-71.8043,6.11723,0.005889802,0.0065783504,0.005863607,0.005205163,0.006345108,0.0061343843
t_1030,-72.74753,3.56638,0.043925688,0.022850938,0.04913617,0.03647503,0.025395116,0.042494837
t_1031,-72.79245,3.56638,0.04799034,0.023961162,0.054962646,0.04072667,0.027527237,0.046684965
t_1032,-72.52295,3.61121,0.032222442,0.018535206,0.03480339,0.025746092,0.019626454,0.031574316
t_1033,-72.43312,3.61121,0.03200702,0.018136147,0.036088046,0.026576957,0.019539734,0.032297682
t_1034,-72.16363,3.61121,0.021557612,0.014190463,0.023483511,0.017354134,0.014488696,0.022101521
t_1035,-72.70262,3.61121,0.04437751,0.022814652,0.05024568,0.037222978,0.025648477,0.043238007
t_1036,-72.6577,3.61121,0.03701367,0.020527553,0.039510466,0.029929083,0.021992719,0.035424754
t_1037,-72.61278,3.61121,0.03946894,0.02101772,0.044446673,0.03284713,0.023181668,0.038860317
t_1038,-72.74753,3.61121,0.044044517,0.023206811,0.04823877,0.03595627,0.025449153,0.04197981
t_1039,-72.34329,3.61121,0.021954251,0.014027985,0.022479486,0.01851409,0.014701627,0.021650042
t_104,-72.0738,6.20654,0.0054206867,0.0058288216,0.0051113283,0.005098937,0.005921151,0.0055317194
t_1040,-72.25346,3.61121,0.024789738,0.015476196,0.027373532,0.020192139,0.016050808,0.025310853
t_1041,-73.15177,5.49163,0.02832708,0.016623642,0.028403929,0.024997618,0.017996928,0.02677931
t_1042,-73.24161,5.49163,0.02414106,0.014263858,0.022776172,0.022946509,0.016136887,0.02221678
t_1043,-72.88228,5.49163,0.018179873,0.011351546,0.016608663,0.01761246,0.013006167,0.016906025
t_1044,-72.88228,5.58105,0.017970504,0.011569772,0.017044384,0.016731314,0.012826956,0.017185688
t_1045,-73.06194,5.58105,0.016797958,0.010622845,0.015109664,0.01670157,0.0123228505,0.015515628
t_1046,-72.79245,5.58105,0.016201926,0.010665423,0.015143152,0.015279455,0.011902844,0.015497919
t_1047,-73.15177,5.58105,0.024488257,0.014910283,0.024471395,0.02163826,0.01606547,0.023463598
t_1048,-72.97211,5.58105,0.018821707,0.011926662,0.017817086,0.017620457,0.013285902,0.017873246
t_1049,-73.24161,5.58105,0.025066437,0.015137399,0.024970634,0.022277642,0.016376507,0.023897905
t_105,-71.71447,6.20654,0.0073074005,0.0081077805,0.007858097,0.0062233666,0.007432966,0.007846889
t_1050,-73.06194,5.67045,0.015597947,0.010200667,0.014241963,0.015171734,0.011609668,0.014668004
t_1051,-72.79245,5.67045,0.016878959,0.011403798,0.016550703,0.015070078,0.012204095,0.016608685
t_1052,-73.15177,5.67045,0.022943702,0.014398509,0.023338683,0.01975355,0.015223244,0.022391025
t_1053,-73.24161,5.67045,0.0237263,0.014742978,0.024144929,0.020436917,0.015614901,0.02307872
t_1054,-72.97211,5.67045,0.025860943,0.016007194,0.027969673,0.020574868,0.016544744,0.0259326
t_1055,-72.88228,5.67045,0.013474572,0.009132123,0.0121061085,0.013302102,0.0104625765,0.0127185285
t_1056,-73.06194,5.75983,0.016607022,0.011164295,0.016102597,0.015121638,0.01208163,0.016205272
t_1057,-73.15177,5.75983,0.018263774,0.0120607,0.018019294,0.016302165,0.012917539,0.01787029
t_1058,-73.24161,5.75983,0.020339735,0.013189341,0.020523679,0.0176586,0.013933311,0.019985521
t_1059,-72.97211,5.75983,0.025624169,0.01580097,0.028831938,0.021112783,0.016459282,0.026377164
t_106,-71.98396,6.20654,0.0064325095,0.0069061383,0.006445539,0.0056342892,0.0066660848,0.006710819
t_1060,-72.88228,5.75983,0.011469731,0.008141933,0.010189328,0.011507847,0.009356296,0.010888164
t_1061,-73.06194,5.8492,0.011615784,0.00829201,0.010435284,0.01148615,0.009421621,0.011086416
t_1062,-73.15177,5.8492,0.012909953,0.009044054,0.011850359,0.012450692,0.010127536,0.012396374
t_1063,-72.97211,5.8492,0.010272646,0.007520317,0.009037812,0.010474426,0.00868546,0.009770639
t_1064,-73.24161,5.8492,0.013630524,0.009440317,0.01262767,0.013030843,0.010521071,0.013112488
t_1065,-72.88228,5.8492,0.012864397,0.0093456665,0.01225714,0.011902765,0.010105051,0.012683522
t_1066,-72.97211,5.93856,0.00897149,0.006877746,0.007843438,0.009218624,0.007926542,0.00858682
t_1067,-73.06194,5.93856,0.014065001,0.010221957,0.013886049,0.012487968,0.010742479,0.014079162
t_1068,-72.88228,5.93856,0.010659202,0.00813199,0.00989992,0.010134533,0.008889035,0.010476148
t_1069,-73.24161,5.93856,0.0096615,0.007162387,0.008413425,0.010011256,0.008344211,0.0091733
t_107,-71.62464,6.20654,0.0071883025,0.008111099,0.00791202,0.0063437806,0.0074780816,0.0077931825
t_1070,-73.15177,5.93856,0.015280587,0.010909139,0.015310482,0.013321384,0.011369102,0.015332428
t_1071,-72.88228,6.0279,0.0072496375,0.006022392,0.0062349383,0.00762361,0.006894769,0.0069709364
t_1072,-73.06194,6.0279,0.007396187,0.0063116346,0.0062807994,0.0079344865,0.006990121,0.007140128
t_1073,-73.24161,6.0279,0.009833364,0.007496699,0.008842468,0.009681254,0.008405349,0.009512241
t_1074,-73.15177,6.0279,0.009376112,0.0072358386,0.008376278,0.00931372,0.00814523,0.009063499
t_1075,-72.97211,6.0279,0.012559398,0.009641871,0.012501734,0.011018989,0.009961161,0.01273572
t_1076,-73.06194,6.11723,0.0075623756,0.006242774,0.0066207033,0.007728702,0.007081495,0.00732554
