# 20060527_M6.4_Yogyakarta median gmf, Stations:All, gmlt:USGS, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter
m_0,110.70600000000002,-7.72,0.12952566,0.112482086,0.11280582,0.130159,0.12522456,0.12498914,0.113269635
m_1,110.62900000000002,-7.89,0.19790392,0.15407595,0.16076742,0.23190519,0.20139591,0.18853688,0.23747884
m_10,110.606,-7.71,0.18553573,0.17329516,0.16269474,0.1746216,0.17463285,0.17677361,0.20981207
m_11,110.42000000000002,-7.6,0.11068634,0.09543418,0.09583338,0.09374703,0.11026571,0.099638805,0.12813176
m_12,110.36000000000001,-7.72,0.16258006,0.14685443,0.12818001,0.14797814,0.15478522,0.15188737,0.1793504
m_13,110.82999999999998,-7.97,0.13121507,0.09265062,0.09919338,0.1108701,0.1297844,0.11610867,0.1527017
m_14,110.19999999999999,-7.6,0.073774256,0.058860168,0.058253907,0.06627456,0.071645565,0.06841242,0.07275695
m_15,110.52999999999997,-7.42,0.0777831,0.059598908,0.05463902,0.06619216,0.07461781,0.06995647,0.07513904
m_16,110.84100000000001,-7.68,0.1180079,0.0953904,0.08688145,0.11318513,0.10850002,0.10871801,0.096902065
m_17,110.35000000000002,-8.02,0.27649835,0.21951674,0.21553206,0.25590026,0.27369115,0.24456981,0.31112853
m_18,110.60000000000002,-7.63,0.13245465,0.114582755,0.107258625,0.1184209,0.12879238,0.12260859,0.14728096
m_19,110.45999999999998,-7.49,0.071876384,0.060624346,0.04774924,0.056600034,0.076808184,0.06294454,0.073188536
m_2,110.64600000000002,-7.99,0.19430672,0.14345925,0.16195658,0.275948,0.19278938,0.18889801,0.22172688
m_20,110.20999999999998,-7.75,0.12624604,0.10342099,0.09397274,0.11260997,0.11648607,0.114514776,0.10156058
m_21,110.26600000000002,-7.98,0.25040722,0.22682188,0.19094372,0.2407291,0.22035757,0.233923,0.24023281
m_22,110.81700000000001,-7.57,0.10787511,0.08565681,0.07499279,0.10044781,0.098332986,0.0979789,0.08343265
m_23,106.7536,-6.4057,0.0059557073,0.014715566,0.0047512674,0.005783915,0.0058546755,0.0056397505,0.0049690995
m_24,106.7552,-6.2253,0.004821566,0.011890467,0.0039883866,0.0045313262,0.004824627,0.004558737,0.0039783106
m_25,110.18430000000001,-7.5081,0.07058496,0.05622839,0.049040765,0.059001293,0.06955806,0.06387094,0.07028838
m_26,110.36490000000003,-7.8702,0.29687592,0.30032116,0.24180189,0.2800069,0.26289654,0.2806222,0.2941193
m_27,110.36529999999999,-7.6893,0.16560431,0.1543258,0.13045108,0.14783677,0.15698421,0.15353872,0.18475544
m_28,110.54660000000001,-7.6895,0.23216587,0.23056903,0.18041709,0.21023528,0.21430527,0.21682693,0.26878336
m_29,110.72800000000001,-7.6897,0.11230769,0.09224855,0.09632022,0.10735193,0.10957966,0.10624946,0.09652321
m_3,110.69799999999998,-7.76,0.15435833,0.14036474,0.13513613,0.15832369,0.14724237,0.15060489,0.1402687
m_30,112.5426,-8.0487,0.017951187,0.017951733,0.011300077,0.014162757,0.016439777,0.017814929,0.014473737
m_4,110.32900000000001,-7.89,0.28098238,0.2753884,0.22545886,0.2634393,0.24943309,0.2640033,0.27565408
m_5,110.68,-7.62,0.114703946,0.095810965,0.09551195,0.10496935,0.10973058,0.10674173,0.094703525
m_6,110.49400000000003,-7.75,0.25364882,0.24962819,0.21326192,0.23936903,0.22977275,0.23985235,0.29227644
m_7,110.22000000000003,-7.59,0.077443846,0.06270615,0.0594717,0.07240976,0.073831365,0.07248188,0.05463862
m_8,110.36099999999999,-7.78,0.20339447,0.1889008,0.16940556,0.18920732,0.18736061,0.19081192,0.17694464
m_9,110.73000000000002,-7.87,0.16352804,0.13079399,0.1408209,0.15973198,0.16014887,0.15704057,0.14562091
t_0,108.20438000000001,-6.60444,0.0063806754,0.007830827,0.0037829967,0.0043243202,0.005670355,0.0066942913,0.00242615
t_1,108.02472,-6.60444,0.0058406047,0.007617325,0.0032935839,0.004005658,0.0051113106,0.006171866,0.002043482
