# 20060527_M6.4_Yogyakarta median gmf, Stations:All, gmlt:GEM, Rupture:SCARDEC
custom_site_id,lon,lat,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014,ZhaoEtAl2006Asc
m_0,110.70600000000002,-7.72,0.12417416,0.116268724,0.11256705,0.1178691,0.1079689
m_1,110.62900000000002,-7.89,0.1826132,0.21435046,0.18019618,0.2047748,0.18688223
m_10,110.606,-7.71,0.18258493,0.18297717,0.18938963,0.18680084,0.18507916
m_11,110.42000000000002,-7.6,0.103386045,0.111468285,0.10464593,0.10197412,0.11791477
m_12,110.36000000000001,-7.72,0.16841953,0.16631523,0.16210103,0.16523525,0.16425917
m_13,110.82999999999998,-7.97,0.076413415,0.081986554,0.07137015,0.07469687,0.07767465
m_14,110.19999999999999,-7.6,0.07061198,0.06858102,0.06197232,0.066887766,0.06209947
m_15,110.52999999999997,-7.42,0.06807709,0.067049526,0.061267633,0.064050436,0.06444985
m_16,110.84100000000001,-7.68,0.09989518,0.08849112,0.086899966,0.08981629,0.083069935
m_17,110.35000000000002,-8.02,0.38195804,0.43314734,0.33001572,0.38628325,0.31906772
m_18,110.60000000000002,-7.63,0.12184712,0.12564024,0.11915295,0.12118422,0.12489431
m_19,110.45999999999998,-7.49,0.060075197,0.072299294,0.066787116,0.060126305,0.070451975
m_2,110.64600000000002,-7.99,0.13662569,0.14456458,0.12728816,0.14362076,0.12207176
m_20,110.20999999999998,-7.75,0.11749426,0.109867916,0.10660645,0.109429814,0.10614032
m_21,110.26600000000002,-7.98,0.26785505,0.23254624,0.25981572,0.25049037,0.24454647
m_22,110.81700000000001,-7.57,0.09199863,0.08216471,0.08041888,0.08286981,0.07766679
m_23,106.7536,-6.4057,0.0056797476,0.004802006,0.01818226,0.0045728395,0.009149852
m_24,106.7552,-6.2253,0.004453034,0.0039591556,0.014817672,0.0037164076,0.0072321966
m_25,110.18430000000001,-7.5081,0.06406738,0.0651508,0.060801405,0.06102918,0.065357804
m_26,110.36490000000003,-7.8702,0.34294316,0.30534968,0.3613053,0.33048066,0.3478769
m_27,110.36529999999999,-7.6893,0.16733672,0.1665358,0.16957466,0.16406757,0.1762184
m_28,110.54660000000001,-7.6895,0.23348518,0.23230618,0.25554836,0.23568106,0.26268923
m_29,110.72800000000001,-7.6897,0.10149356,0.09844826,0.09031864,0.09731728,0.08941986
m_3,110.69799999999998,-7.76,0.14947662,0.13834105,0.14278695,0.14296985,0.13432662
m_30,112.5426,-8.0487,0.011808792,0.01128506,0.017167633,0.012344987,0.015095757
m_4,110.32900000000001,-7.89,0.3009594,0.27116963,0.31065443,0.28946808,0.30106914
m_5,110.68,-7.62,0.102418356,0.10094457,0.095725805,0.099676885,0.09590073
m_6,110.49400000000003,-7.75,0.30953756,0.28961644,0.32043153,0.30840164,0.30790636
m_7,110.22000000000003,-7.59,0.077774376,0.071460225,0.065924816,0.0715797,0.06396963
m_8,110.36099999999999,-7.78,0.2190406,0.20642957,0.21297018,0.2129907,0.20852478
m_9,110.73000000000002,-7.87,0.12547128,0.1271984,0.11824527,0.12654552,0.115712926
t_0,108.20438000000001,-6.60444,0.004214905,0.0042998367,0.0088115055,0.005221867,0.0048136613
t_1,108.02472,-6.60444,0.0039008374,0.0038690667,0.008559648,0.004819341,0.004147208
t_10,107.75522000000001,-6.5152,0.002646526,0.0028283522,0.0071922857,0.0033591422,0.003180428
t_100,108.92302999999998,-7.05041,0.010968453,0.010744504,0.01468291,0.012594324,0.01179882
t_1000,113.77393999999998,-8.29676,0.0010874297,0.0016373795,0.0046699196,0.00151715,0.002000832
t_1001,113.59427,-8.29676,0.0021412275,0.0024796082,0.006483029,0.0027789879,0.0029805587
t_1002,113.50443999999999,-8.29676,0.003137564,0.0031253677,0.00782855,0.0038995142,0.0032773882
t_1003,113.41460999999998,-8.20786,0.0034178586,0.003402463,0.008099281,0.004239483,0.0036059998
t_1004,113.6841,-8.20786,0.002260507,0.0024713066,0.0067347344,0.0028889694,0.0027994264
t_1005,113.32478000000003,-8.20786,0.0040174397,0.0038365386,0.008738928,0.004914464,0.0039313613
t_1006,113.23495000000003,-8.20786,0.003762174,0.0038558329,0.008380892,0.0046826494,0.004291937
t_1007,113.50443999999999,-8.20786,0.0028463732,0.0029867168,0.0074317264,0.0035891791,0.003311178
t_1008,113.77393999999998,-8.20786,0.0014710367,0.0019145918,0.0054528797,0.0019737438,0.0025488555
t_1009,113.14510999999999,-8.20786,0.0036351345,0.003941034,0.008180921,0.0045813886,0.0046430207
t_101,109.01285999999999,-7.05041,0.013713316,0.012562846,0.016681874,0.01529037,0.013005961
t_1010,113.59427,-8.20786,0.0026129435,0.002757517,0.0071816277,0.003304013,0.003043299
t_1011,113.32478000000003,-8.11894,0.0033203538,0.0034937558,0.007903894,0.004173598,0.0039650043
t_1012,113.6841,-8.11894,0.0016672281,0.0021201763,0.005744208,0.0022218216,0.0027885684
t_1013,113.77393999999998,-8.11894,0.001826831,0.0021460345,0.0060951062,0.002382769,0.0025663406
t_1014,113.14510999999999,-8.11894,0.0031942718,0.0037043106,0.0076443693,0.0041004084,0.004688552
t_1015,113.50443999999999,-8.11894,0.0019691708,0.0024811614,0.006130744,0.0026122401,0.0033003981
t_1016,113.23495000000003,-8.11894,0.004018286,0.004003719,0.0086692115,0.0049601644,0.0043309117
t_1017,113.41460999999998,-8.11894,0.0026341279,0.0029882456,0.007064707,0.003388906,0.0035955647
t_1018,113.59427,-8.11894,0.0016747996,0.0022036792,0.0056947563,0.002250567,0.003032402
t_1019,113.41460999999998,-8.03,0.0019965512,0.0026014626,0.0061148535,0.0026675425,0.0036151384
t_102,108.74337000000003,-7.05041,0.008917938,0.008878971,0.012997003,0.010463886,0.009925266
t_1020,113.14510999999999,-8.03,0.0026037612,0.0033510847,0.00687255,0.0034370837,0.0037377893
t_1021,113.6841,-8.03,0.0012712567,0.0018527035,0.0049887155,0.0017571381,0.0022195166
t_1022,113.50443999999999,-8.03,0.0015712016,0.0022194395,0.0054511838,0.0021489048,0.002628021
t_1023,113.59427,-8.03,0.0012623374,0.0019142146,0.0049169515,0.0017619722,0.0024140875
t_1024,113.32478000000003,-8.03,0.0024971154,0.0030266435,0.006811046,0.003264673,0.003944029
t_1025,113.77393999999998,-8.03,0.001598231,0.0020074684,0.0056827697,0.0021234876,0.002578095
t_1026,113.23495000000003,-8.03,0.0030506956,0.003486344,0.0075043538,0.0039130147,0.004309314
t_1027,113.6841,-7.94104,0.0011437497,0.0017577504,0.004721998,0.0016035772,0.002224831
t_1028,113.14510999999999,-7.94104,0.0023201033,0.0031660087,0.006472557,0.0031109261,0.0037486665
t_1029,113.59427,-7.94104,0.0012661521,0.0019192275,0.004923095,0.0017670519,0.002420133
t_103,108.47387000000003,-7.05041,0.0047609075,0.005704673,0.009271906,0.0060078376,0.006076162
t_1030,113.77393999999998,-7.94104,0.0013440528,0.0018403396,0.0051933364,0.0018279392,0.0025839994
t_1031,113.50443999999999,-7.94104,0.0015710711,0.0022218965,0.0054493262,0.0021493174,0.0026349034
t_1032,113.32478000000003,-7.94104,0.002194204,0.0028397525,0.0063676224,0.0029195107,0.00313316
t_1033,113.05527999999998,-7.94104,0.0030180635,0.0037712492,0.0073872525,0.0039340174,0.0041174083
t_1034,113.41460999999998,-7.94104,0.0023155778,0.0028069948,0.006601457,0.0030338918,0.0036250255
t_1035,113.23495000000003,-7.94104,0.0031923496,0.0035730482,0.007681707,0.0040707127,0.004321901
t_1036,113.59427,-7.85206,0.0012661929,0.0019192842,0.0049231425,0.0017671112,0.002420197
t_1037,111.52814999999998,-8.29676,0.016346755,0.021412756,0.02140891,0.018119955,0.022685977
t_1038,111.07898999999998,-8.20786,0.041826822,0.051478498,0.045447644,0.04122374,0.04691613
t_1039,111.25864999999999,-8.20786,0.0361934,0.04161424,0.03772659,0.036058374,0.044887096
t_104,108.83320000000003,-7.05041,0.0093825795,0.009507594,0.013423918,0.010976042,0.010821164
t_1040,111.43831999999998,-8.20786,0.022043897,0.027602492,0.026397256,0.02346639,0.027084483
t_1041,111.16881999999998,-8.20786,0.030266289,0.0420319,0.036213282,0.031035839,0.04086573
t_1042,111.52814999999998,-8.20786,0.016951691,0.02241236,0.022116065,0.018700976,0.02376619
t_1043,111.34848,-8.20786,0.022377962,0.030276496,0.027853888,0.023801096,0.030985408
t_1044,110.80948999999998,-8.11894,0.08887418,0.09125598,0.085126,0.08396182,0.0932036
t_1045,110.98915999999997,-8.11894,0.076106034,0.07338765,0.069658175,0.06964831,0.07215995
t_1046,111.25864999999999,-8.11894,0.052676044,0.051293597,0.047681402,0.049497228,0.04788653
t_1047,111.52814999999998,-8.11894,0.023223715,0.02669961,0.02635699,0.024535138,0.031121535
t_1048,110.89933000000002,-8.11894,0.07633396,0.07870912,0.0731542,0.071474135,0.08155707
t_1049,111.16881999999998,-8.11894,0.042013455,0.050004736,0.04411045,0.04122894,0.0547804
t_105,108.56371000000001,-7.05041,0.0054441877,0.0063607106,0.009960912,0.0067796004,0.008355666
t_1050,111.07898999999998,-8.11894,0.075227104,0.06831654,0.065758966,0.06749891,0.063866675
t_1051,111.43831999999998,-8.11894,0.025663929,0.030473873,0.028982678,0.026761597,0.028233282
t_1052,111.34848,-8.11894,0.03042544,0.036152598,0.033266444,0.031023877,0.041009136
t_1053,111.34848,-8.03,0.032537207,0.038140584,0.034890644,0.032881346,0.04240173
t_1054,111.25864999999999,-8.03,0.03682888,0.044695567,0.03938764,0.036690626,0.049196456
t_1055,111.16881999999998,-8.03,0.038102496,0.048629273,0.04257697,0.037980195,0.04526427
t_1056,110.98915999999997,-8.03,0.07120527,0.07283878,0.067547776,0.06642933,0.07463904
t_1057,111.43831999999998,-8.03,0.020937897,0.028148223,0.026316795,0.02246291,0.029070426
t_1058,110.89933000000002,-8.03,0.0651459,0.074623056,0.0663702,0.06313433,0.08118245
t_1059,111.52814999999998,-8.03,0.02475963,0.027968196,0.027479643,0.02592709,0.0319302
t_106,108.65354000000002,-7.05041,0.008356285,0.008236934,0.012506615,0.009850491,0.009105367
t_1060,111.07898999999998,-8.03,0.049402375,0.058201864,0.051999953,0.0479292,0.06596787
t_1061,110.80948999999998,-8.03,0.08188961,0.08948923,0.079349935,0.079944134,0.08981183
t_1062,110.89933000000002,-7.94104,0.10889999,0.090539575,0.09247161,0.09453689,0.08261784
t_1063,110.98915999999997,-7.94104,0.07021211,0.07346249,0.067573115,0.066060014,0.07639128
t_1064,112.24680000000001,-8.29676,0.0081743235,0.009316591,0.012672375,0.009774536,0.011987119
t_1065,112.06714,-8.29676,0.0117996,0.012410157,0.015665077,0.013533738,0.01452072
t_1066,111.70781,-8.29676,0.01591014,0.018348014,0.019832302,0.017674379,0.022528352
t_1067,111.88747000000001,-8.29676,0.0124451155,0.014306438,0.016643614,0.014254213,0.017956119
t_1068,111.97730000000001,-8.29676,0.011053221,0.012711315,0.015359836,0.012836488,0.016114548
t_1069,111.61797999999999,-8.29676,0.016196953,0.019829333,0.020604651,0.0179636,0.020088239
t_107,109.10270000000003,-7.05041,0.0122172255,0.012395517,0.015830679,0.013904587,0.0140359085
t_1070,111.79764,-8.29676,0.014053155,0.01616868,0.018123547,0.015858816,0.020079264
t_1071,112.15697,-8.29676,0.011208573,0.011473286,0.015077215,0.012892287,0.013150942
t_1072,111.88747000000001,-8.20786,0.01728799,0.01713124,0.01992895,0.018904684,0.018521687
t_1073,111.61797999999999,-8.20786,0.024941396,0.025087677,0.026215445,0.026018467,0.026433839
t_1074,111.70781,-8.20786,0.017990666,0.019903764,0.02134502,0.019653587,0.02338483
t_1075,112.15697,-8.20786,0.011489747,0.011779646,0.0153387245,0.013175134,0.013537606
t_1076,111.79764,-8.20786,0.025467886,0.022091316,0.025184216,0.026301427,0.020999813
t_1077,111.97730000000001,-8.20786,0.013861462,0.014444876,0.01738767,0.015605248,0.016587915
t_1078,112.06714,-8.20786,0.013916728,0.01367861,0.017172182,0.015595577,0.014932784
t_1079,112.06714,-8.11894,0.017775059,0.015635852,0.01967762,0.019220361,0.015426005
t_108,109.01285999999999,-6.96125,0.014293464,0.012420532,0.01696073,0.015790936,0.012215126
t_1080,112.15697,-8.11894,0.014018737,0.01316225,0.017112568,0.015617246,0.0139978975
t_1081,111.61797999999999,-8.11894,0.0184826,0.022094663,0.02251533,0.020140091,0.02163182
t_1082,111.79764,-8.11894,0.026570197,0.022881184,0.025921613,0.027273016,0.021558529
t_1083,111.70781,-8.11894,0.023904555,0.023284687,0.025055708,0.02504887,0.024075137
t_1084,111.88747000000001,-8.11894,0.023026098,0.019999512,0.023424258,0.02409906,0.019180892
t_1085,111.97730000000001,-8.11894,0.021982817,0.018379321,0.022430314,0.023083495,0.018301172
t_1086,112.33663000000001,-8.29676,0.008147317,0.00887193,0.012593014,0.009684581,0.011006296
t_1087,112.42646000000002,-8.29676,0.0077820797,0.008296181,0.012272014,0.009238918,0.010154606
t_1088,112.60613000000001,-8.29676,0.0067811958,0.0070577273,0.011355655,0.008096656,0.008444148
t_1089,112.69596000000001,-8.29676,0.005769768,0.006185303,0.010379301,0.007015507,0.0075575947
t_109,108.65354000000002,-6.96125,0.007032314,0.0073604453,0.0113988025,0.008470557,0.00864959
t_1090,112.78579000000002,-8.29676,0.004652911,0.0052788565,0.00923861,0.0058039445,0.0067630894
t_1091,112.87562000000003,-8.29676,0.0034588804,0.004339397,0.007906294,0.004469786,0.0048226565
