# 20060527_M6.4_Yogyakarta median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter
t_0,108.20438000000001,-6.60444,0.0019310726,0.0032615506,0.0013188119,0.0030030173,0.0029996245,0.002589485,0.0013499331
t_1,108.02472,-6.60444,0.0017567289,0.003152815,0.0011388045,0.0027673303,0.002684945,0.0023730765,0.0011288363
t_10,107.75522000000001,-6.5152,0.0012193682,0.0025139851,0.0008792463,0.001865944,0.0019461437,0.0016317294,0.00082371954
t_100,108.92302999999998,-7.05041,0.005075979,0.006069321,0.0032743192,0.007984644,0.0077510844,0.0065064547,0.0056356178
t_1000,113.77393999999998,-8.29676,0.00053943327,0.0013564401,0.0003853021,0.0007051708,0.0010459888,0.00067471876,0.0005936952
t_1001,113.59427,-8.29676,0.0009441035,0.0020995655,0.00078360975,0.001390934,0.0015879871,0.0012446636,0.0009831617
t_1002,113.50443999999999,-8.29676,0.0012996211,0.0026951635,0.0008488354,0.002039835,0.0020049165,0.0017551243,0.0007891521
t_1003,113.41460999999998,-8.20786,0.0014170347,0.0028088484,0.0009295296,0.0022230383,0.0021842483,0.0019138186,0.00088144897
t_1004,113.6841,-8.20786,0.0009707155,0.002214443,0.00073037244,0.0014667608,0.001581104,0.0012908039,0.0006571411
t_1005,113.32478000000003,-8.20786,0.0016388701,0.0030957714,0.0010093629,0.0026143875,0.0024655943,0.0022265455,0.00097451004
t_1006,113.23495000000003,-8.20786,0.0015817491,0.0029125796,0.0010972619,0.0024481707,0.0024778782,0.0021238604,0.001078862
t_1007,113.50443999999999,-8.20786,0.0012048574,0.0025125183,0.0008569108,0.0018499834,0.0019149979,0.0016141537,0.0007983052
t_1008,113.77393999999998,-8.20786,0.0006812576,0.0016710615,0.00060176646,0.0009536996,0.0012231105,0.0008780617,0.0008200918
t_1009,113.14510999999999,-8.20786,0.0015646844,0.0028008227,0.0011942253,0.0023630348,0.0025310693,0.002079454,0.0016426083
t_101,109.01285999999999,-7.05041,0.00620514,0.007134487,0.0035826282,0.010012542,0.009116938,0.007964054,0.004583274
t_1010,113.59427,-8.20786,0.0011070913,0.0024072756,0.0007907492,0.0016968838,0.0017662565,0.001481351,0.0007238828
t_1011,113.32478000000003,-8.11894,0.0014101712,0.0027051673,0.0010172516,0.002159754,0.0022432106,0.0018873272,0.0009837962
t_1012,113.6841,-8.11894,0.0007652624,0.0017874726,0.0006551963,0.0010815589,0.001355586,0.0009914432,0.00090961054
t_1013,113.77393999999998,-8.11894,0.00080758095,0.0019405016,0.0006794219,0.0011840765,0.0013710462,0.0010606344,0.0008263517
t_1014,113.14510999999999,-8.11894,0.0014157066,0.0025536478,0.0010735361,0.002074619,0.0023766947,0.0018586721,0.0016598944
t_1015,113.50443999999999,-8.11894,0.00090356445,0.0019392885,0.00076916296,0.0012795208,0.0015894723,0.0011726276,0.0011058021
t_1016,113.23495000000003,-8.11894,0.001668886,0.0030444558,0.001106264,0.0026135999,0.0025723064,0.0022503687,0.0010896561
t_1017,113.41460999999998,-8.11894,0.0011541042,0.0023376148,0.00083462195,0.001712721,0.0019166177,0.001526865,0.0012214653
t_1018,113.59427,-8.11894,0.0007829298,0.001761748,0.0007095599,0.0010873862,0.0014102516,0.0010071252,0.0010023402
t_1019,113.41460999999998,-8.03,0.00093266467,0.0019241453,0.00083874393,0.0012978268,0.0016674955,0.0012005502,0.0012288173
t_102,108.74337000000003,-7.05041,0.0041239206,0.0052305446,0.0027394164,0.006449212,0.0063443705,0.0053502885,0.0045284657
t_1020,113.14510999999999,-8.03,0.0012125822,0.0022113882,0.0010796946,0.0016903552,0.002148582,0.0015565804,0.0012224365
t_1021,113.6841,-8.03,0.00062260864,0.0014776101,0.000658018,0.00082449144,0.0011840747,0.00078370795,0.0006687232
t_1022,113.50443999999999,-8.03,0.0007614167,0.0016547061,0.0007727867,0.0010206664,0.0014211959,0.0009641856,0.00081335765
t_1023,113.59427,-8.03,0.0006288541,0.0014446597,0.00046019262,0.0008193859,0.0012245185,0.0007881958,0.00073707005
t_1024,113.32478000000003,-8.03,0.0011286474,0.0022142583,0.00091132574,0.0016238205,0.0019416978,0.0014737374,0.001359547
t_1025,113.77393999999998,-8.03,0.00072781235,0.0017655521,0.00060803315,0.001035674,0.0012820617,0.0009446872,0.0008305049
t_1026,113.23495000000003,-8.03,0.0013432086,0.0025079264,0.0009913306,0.0019833623,0.002237635,0.0017712329,0.0015063249
t_1027,113.6841,-7.94104,0.0005721192,0.0013716667,0.00042573217,0.0007416197,0.0011231138,0.0007150678,0.0006704107
t_1028,113.14510999999999,-7.94104,0.0011094579,0.0020396598,0.0006990785,0.0015062874,0.0020296483,0.001408722,0.0012266462
t_1029,113.59427,-7.94104,0.00063051225,0.0014467618,0.00046119335,0.0008216631,0.0012274751,0.00079033145,0.00073902257
t_103,108.47387000000003,-7.05041,0.00236945,0.0033903723,0.0018785025,0.003414038,0.00402255,0.0030210984,0.0024029466
t_1030,113.77393999999998,-7.94104,0.00063748297,0.00156353,0.0006092342,0.0008707681,0.0011749133,0.00081279495,0.00083250337
t_1031,113.50443999999999,-7.94104,0.0007615698,0.0016535341,0.0007745527,0.0010203322,0.0014224706,0.00096420065,0.00081562204
t_1032,113.32478000000003,-7.94104,0.0010232355,0.0020219274,0.0009136349,0.0014265501,0.001821147,0.0013172836,0.0009973582
t_1033,113.05527999999998,-7.94104,0.0013825945,0.0024121173,0.0011810105,0.0019523774,0.0024128053,0.0017815508,0.0013636692
t_1034,113.41460999999998,-7.94104,0.0010449041,0.0021325,0.00084076123,0.0015048342,0.0017991896,0.0013657,0.0012324181
t_1035,113.23495000000003,-7.94104,0.0013924188,0.0025872907,0.0009939807,0.0020751553,0.0022931665,0.001842873,0.0015112328
t_1036,113.59427,-7.85206,0.0006303928,0.0014466104,0.0004611213,0.00082149915,0.0012272622,0.00079017767,0.00073888194
t_1037,111.52814999999998,-8.29676,0.007857358,0.008130304,0.0042718225,0.0109785,0.014225387,0.008768301,0.01130343
t_1038,111.07898999999998,-8.20786,0.020612665,0.019390272,0.01499468,0.029278118,0.036253743,0.020968894,0.031096322
t_1039,111.25864999999999,-8.20786,0.016583437,0.015762702,0.010752645,0.024641937,0.02815211,0.0178623,0.028192239
t_104,108.83320000000003,-7.05041,0.0043868436,0.0054249284,0.0026684331,0.0068083517,0.00682363,0.00563622,0.005049661
t_1040,111.43831999999998,-8.20786,0.0104094995,0.010359661,0.007968604,0.014837383,0.01839116,0.011414001,0.014229003
t_1041,111.16881999999998,-8.20786,0.015121058,0.014618839,0.0081623215,0.020838214,0.028716162,0.015488593,0.025190173
t_1042,111.52814999999998,-8.20786,0.008161409,0.008396215,0.004476313,0.011370031,0.014868445,0.009045296,0.011976643
t_1043,111.34848,-8.20786,0.010915679,0.010834568,0.0059540523,0.01513485,0.020255487,0.011642407,0.01704967
t_1044,110.80948999999998,-8.11894,0.05125263,0.047024045,0.031478103,0.07337097,0.07637428,0.051347375,0.104775056
t_1045,110.98915999999997,-8.11894,0.037212063,0.03368475,0.02244341,0.055823904,0.054964073,0.038160987,0.06054385
t_1046,111.25864999999999,-8.11894,0.022871615,0.021024676,0.012789837,0.035802603,0.035024744,0.025030179,0.022066638
t_1047,111.52814999999998,-8.11894,0.010520988,0.010507247,0.0071918988,0.015555079,0.017723875,0.011885582,0.017135866
t_1048,110.89933000000002,-8.11894,0.040772744,0.037372217,0.024871795,0.059315976,0.062023666,0.0409629,0.07891545
t_1049,111.16881999999998,-8.11894,0.019943114,0.018744154,0.013563334,0.029021988,0.034836132,0.020731691,0.037563894
t_105,108.56371000000001,-7.05041,0.002685982,0.0037112406,0.0020483967,0.003915151,0.004502834,0.0034248817,0.0036526613
t_1050,111.07898999999998,-8.11894,0.034244385,0.03073735,0.018344402,0.05275813,0.049496923,0.03601422,0.03443255
t_1051,111.43831999999998,-8.11894,0.011814709,0.011603713,0.008312343,0.017252121,0.0202981,0.013025956,0.014992842
t_1052,111.34848,-8.11894,0.014046982,0.01354829,0.009687566,0.020559086,0.024219899,0.015210603,0.024777846
t_1053,111.34848,-8.03,0.014910835,0.014305102,0.010029007,0.021969102,0.025536807,0.016129738,0.025863348
t_1054,111.25864999999999,-8.03,0.017246546,0.016356187,0.011881651,0.025104057,0.030197458,0.018183293,0.031897664
t_1055,111.16881999999998,-8.03,0.01879495,0.017802034,0.014269061,0.026420385,0.033922866,0.019121671,0.029251652
t_1056,110.98915999999997,-8.03,0.036581174,0.033459175,0.021721378,0.05387661,0.05590965,0.03705669,0.06694791
t_1057,111.43831999999998,-8.03,0.010125358,0.010131263,0.0055272733,0.014060886,0.018687695,0.010908758,0.0155495545
t_1058,110.89933000000002,-8.03,0.03908657,0.03639322,0.027787708,0.054551452,0.06292646,0.03845039,0.09021658
t_1059,111.52814999999998,-8.03,0.011111417,0.011030087,0.007376888,0.016563255,0.018549852,0.012560338,0.01768302
t_106,108.65354000000002,-7.05041,0.0038347743,0.00500022,0.0025082317,0.0060237893,0.0058606826,0.0050145197,0.004064958
t_1060,111.07898999999998,-8.03,0.024749864,0.02310883,0.01742403,0.035335287,0.04192961,0.024946103,0.05112953
t_1061,110.80948999999998,-8.03,0.05481712,0.050823666,0.036694396,0.07651136,0.08421874,0.054686774,0.1257482
t_1062,110.89933000000002,-7.94104,0.06230858,0.05559981,0.03323935,0.09098685,0.08102261,0.06350959,0.07095208
t_1063,110.98915999999997,-7.94104,0.037006244,0.033963874,0.022743028,0.05403846,0.05709425,0.037283845,0.070798345
t_1064,112.24680000000001,-8.29676,0.0035872369,0.0045308312,0.0026490518,0.0052671083,0.0059674405,0.004504278,0.0050047245
t_1065,112.06714,-8.29676,0.0050868075,0.005961078,0.0032651273,0.007766318,0.008098371,0.0063796374,0.0064691235
t_1066,111.70781,-8.29676,0.0072291763,0.007669363,0.005147772,0.010625856,0.012133934,0.008488702,0.0113339
