# 20060527_M6.4_Yogyakarta median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,BooreEtAl2014,CampbellBozorgnia2014,CauzziEtAl2014,ChiouYoungs2014,ZhaoEtAl2006Asc
m_0,110.70600000000002,-7.72,0.12312753,0.11559866,0.10882676,0.11112427,0.1036611
m_1,110.62900000000002,-7.89,0.1717363,0.20002902,0.16257663,0.17536014,0.16625467
m_10,110.606,-7.71,0.18192036,0.18143053,0.18334222,0.1784943,0.17760038
m_11,110.42000000000002,-7.6,0.10322022,0.11507033,0.10293378,0.0981445,0.11454514
m_12,110.36000000000001,-7.72,0.16836336,0.17370452,0.16226183,0.16308373,0.16226089
m_13,110.82999999999998,-7.97,0.07615192,0.08274848,0.066698015,0.066955574,0.07136465
m_14,110.19999999999999,-7.6,0.071109764,0.07118337,0.060530804,0.063302934,0.06002857
m_15,110.52999999999997,-7.42,0.06800241,0.068887785,0.058504187,0.059386093,0.06078767
m_16,110.84100000000001,-7.68,0.09893411,0.08881966,0.08210793,0.083283626,0.077602886
m_17,110.35000000000002,-8.02,0.40333182,0.51913816,0.38784772,0.44061428,0.378502
m_18,110.60000000000002,-7.63,0.12170228,0.12711948,0.11639163,0.11541399,0.12082516
m_19,110.45999999999998,-7.49,0.060103133,0.07455195,0.064707436,0.057005048,0.0674396
m_2,110.64600000000002,-7.99,0.13640586,0.14515112,0.12021515,0.12945586,0.112914585
m_20,110.20999999999998,-7.75,0.12864739,0.12612893,0.11410575,0.11535887,0.110671625
m_21,110.26600000000002,-7.98,0.32477415,0.30534086,0.32842663,0.31098223,0.2969872
m_22,110.81700000000001,-7.57,0.0917549,0.08306253,0.07596659,0.07704204,0.0725259
m_23,106.7536,-6.4057,0.0057676,0.004867311,0.016256455,0.0044333804,0.008714867
m_24,106.7552,-6.2253,0.004524098,0.0040134233,0.013238344,0.0035715504,0.006893314
m_25,110.18430000000001,-7.5081,0.06468325,0.0677282,0.05859824,0.057464764,0.062296104
m_26,110.36490000000003,-7.8702,0.33277163,0.31715494,0.3611074,0.33055922,0.3411472
m_27,110.36529999999999,-7.6893,0.16716589,0.1727105,0.16879898,0.16216561,0.17324689
m_28,110.54660000000001,-7.6895,0.2304573,0.2329778,0.25069675,0.23041975,0.25494355
m_29,110.72800000000001,-7.6897,0.10111344,0.09860019,0.087368935,0.09118492,0.08585979
m_3,110.69799999999998,-7.76,0.14694567,0.13604501,0.13647866,0.1342764,0.12736635
m_30,112.5426,-8.0487,0.011612112,0.011137668,0.015304433,0.010979263,0.013746643
m_4,110.32900000000001,-7.89,0.3452444,0.33147818,0.36879066,0.34407464,0.34722105
m_5,110.68,-7.62,0.10291883,0.10196363,0.09277608,0.09426499,0.0921086
m_6,110.49400000000003,-7.75,0.29760525,0.29274076,0.3196651,0.3024152,0.3026832
