ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,COMMENTS,REFERENCE
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Owrang,4,4,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Barmas,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Daman Abad,8,8,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Daqaliyan-e-Olya,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Daqaliyan-e-Sofla,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Gomsh Abad,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Goouradaraq,4,4,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Govanjik,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Khorram abad,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Khouniyaq,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Malalar,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Mazrae-Ye-Hajiabedin,5,5,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Qezelje,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Ravasejan,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B39761897616082,Ahar,,Yayjlou,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Alibeyk Kandi,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Chaykandi,5,5,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Cheraqlou,10,10,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Golanbar,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Hasanlou,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Mehtarlu,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Mirzaali Kandi,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Qarabolaq,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Sheykhmlou,10,10,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Zaqan Abad,18,18,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B19527428919687,Varzaqan,,Zong Abad,14,14,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Bajebaj,28,28,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Chakhmaqbolaq-e-Olya,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Chakhmaqbolaq-e-Sofla,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Chubanlar,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Daqdaqan,10,10,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Debaklu,9,9,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Goouydaraq,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Hiq,3,3,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Jigheh,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Kivich,9,9,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Kovij,4,4,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Moshir Abad,8,8,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Qezqapan,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Sarand,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Shamlou,1,1,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Shasavar,2,2,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Sorkhegav,5,5,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Tazekand-e-Sarand,6,6,,,,,,Bastami_And_Soghrat_2017
35533022B99990464935433,East Azerbaijan,92399257B7703489128470,Heris,,Valilu,5,5,,,,,,Bastami_And_Soghrat_2017
