STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
C11O,C11O,-30.696,-70.959,seismic,Stations_CSN,0.8300810212,2.6583432503,0.9947963929,0.2915687147,0.0,0.0,0.0,0.0,0.8300810212,2.6583432503,0.9947963929,0.2915687147,0.7120332975,1.4639900213,0.343348312,0.1708753996,0.4753587736,0.4514107494,0.2162838658,0.1853504565,626.0,inferred,,,,,,
C23O,C23O,-31.784,-70.97,seismic,Stations_CSN,0.7262588081,1.0044337979,0.6194997119,0.1818707066,0.0,0.0,0.0,0.0,0.5517276015,1.0044337979,0.3869099414,0.1818707066,0.7262588081,0.9687896535,0.6194997119,0.1716334213,0.2501226653,0.3037784422,0.1510195705,0.0930038715,751.0,inferred,,,,,,
C32O,C32O,-30.855,-70.707,seismic,Stations_CSN,0.5422392708,0.4627793401,0.2267482893,0.1558185388,0.0,0.0,0.0,0.0,0.4451750872,0.4343445518,0.2267482893,0.1298138382,0.5422392708,0.4627793401,0.1968702039,0.1558185388,0.332719604,0.2357908007,0.2077134205,0.1248013961,,,,,,,,
C18O,C18O,-30.278,-70.669,seismic,Stations_CSN,0.5058544474,0.8083225404,0.2032837577,0.1013330869,0.0,0.0,0.0,0.0,0.480462437,0.4827094002,0.1499295347,0.1013330869,0.5058544474,0.8083225404,0.2032837577,0.0686231499,0.2320932516,0.2417596046,0.1610542206,0.084456055,,,,,,,,
C26O,C26O,-30.259,-71.49,seismic,Stations_CSN,0.3642979462,0.6228409708,0.5826164189,0.5562145586,0.0,0.0,0.0,0.0,0.3642979462,0.4033220459,0.5826164189,0.5562145586,0.2342886105,0.6228409708,0.5712426323,0.2291554777,0.1337958485,0.3612301968,0.1163909852,0.0932198345,364.0,inferred,,,,,,
CO06,CO06,-30.674,-71.635,seismic,Stations_CSN,0.3611214105,0.8582448348,0.2727648347,0.1383999152,0.0,0.0,0.0,0.0,0.3420645333,0.659982306,0.2567966991,0.1088564866,0.3611214105,0.8582448348,0.2727648347,0.1383999152,0.196819678,0.2487012522,0.1066117501,0.0520830864,,,,,,,,
CO03,CO03,-30.839,-70.689,seismic,Stations_CSN,0.3474626676,0.5528324984,0.2416848611,0.1402944236,0.0,0.0,0.0,0.0,0.3474626676,0.5528324984,0.2416848611,0.1402944236,0.2881752288,0.4966126344,0.1893910453,0.1302543127,0.2005895821,0.2202429289,0.1444157215,0.1042459567,704.0,inferred,,,,,,
GO04,GO04,-30.173,-70.799,seismic,Stations_CSN,0.3435304427,0.6076120309,1.0795238527,0.7410768329,0.0,0.0,0.0,0.0,0.2376054089,0.5880069832,0.5652509226,0.5739770042,0.3435304427,0.6076120309,1.0795238527,0.7410768329,0.1584182468,0.5076575859,0.2759187619,0.1310386618,405.0,inferred,,,,,,
C10O,C10O,-30.234,-71.082,seismic,Stations_CSN,0.3120393559,0.3342701627,0.2067691093,0.096193076,0.0,0.0,0.0,0.0,0.3120393559,0.2437861162,0.1437465924,0.096193076,0.2949000729,0.3342701627,0.2067691093,0.0828613796,0.1868521522,0.1528258348,0.093836202,0.0790590443,,,,,,,,
C14O,C14O,-30.123,-70.491,seismic,Stations_CSN,0.2979508712,0.581781452,0.7580870314,0.1294836332,0.0,0.0,0.0,0.0,0.2979508712,0.4521554602,0.7580870314,0.1168043214,0.1752450472,0.581781452,0.5521469311,0.1294836332,0.1645784196,0.2213277635,0.1835398782,0.0600650527,,,,,,,,
