# 20000617_M5.87_Iceland median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
t_0,-18.654930000000007,63.51065,0.0033280947,0.002056022,0.0053872066,0.0018203596,0.0060846303
t_1,-18.8193,63.51927,0.0027447236,0.0016956283,0.0044429004,0.0015558992,0.0048418995
t_10,-19.045709999999985,63.54588,0.0033731847,0.0020838773,0.005460194,0.0020121892,0.005654724
t_100,-19.854770000000002,63.77909,0.00738716,0.004563621,0.011957639,0.0053423485,0.010214633
t_1000,-20.064670000000007,63.87785,0.009554546,0.0059025832,0.015466001,0.007247987,0.012595133
t_1001,-19.961780000000005,63.88769,0.008078824,0.0049909153,0.01307724,0.005995917,0.010885307
t_1002,-20.024400000000014,63.90544,0.008695754,0.005372041,0.014075868,0.0065437406,0.011555491
t_1003,-19.921459999999996,63.91527,0.0075061326,0.0046371194,0.012150221,0.0055259564,0.010195887
t_1004,-20.087050000000005,63.92318,0.013309355,0.0082222195,0.021543931,0.010153701,0.017445752
t_1005,-19.98409000000001,63.93302,0.008420422,0.0052019465,0.013630186,0.0062839147,0.0112833325
t_1006,-19.881100000000004,63.94283,0.0062376144,0.0038534575,0.010096863,0.004553256,0.008545057
t_1007,-20.43583000000001,63.8658,0.016694548,0.010313515,0.027023561,0.013712039,0.02032578
t_1008,-20.498559999999998,63.88346,0.0149263665,0.009221173,0.024161397,0.012430257,0.017923718
t_1009,-20.395730000000015,63.89344,0.013057137,0.008066405,0.021135665,0.010638276,0.016025983
t_101,-19.752009999999984,63.78889,0.0068383273,0.0042245644,0.01106924,0.0048392103,0.009663295
t_1010,-20.561319999999995,63.90112,0.014767202,0.009122844,0.023903755,0.012468599,0.017489554
t_1011,-20.458470000000005,63.91111,0.01404331,0.0086756395,0.022731988,0.011600801,0.01700008
t_1012,-20.355590000000007,63.92107,0.011535778,0.0071265437,0.018673033,0.009322557,0.014274429
t_1013,-20.52125000000001,63.92876,0.015163075,0.009367405,0.02454456,0.012697904,0.018106833
t_1014,-20.418360000000007,63.93874,0.013285768,0.008207648,0.02150575,0.010882968,0.01621907
t_1015,-20.481150000000014,63.95639,0.013468053,0.00832026,0.021800818,0.011179756,0.016224723
t_1016,-20.378199999999993,63.96634,0.01305504,0.008065109,0.02113227,0.010598576,0.016080843
t_1017,-20.12729999999999,63.89558,0.010678781,0.00659711,0.017285807,0.008213721,0.013883643
t_1018,-20.292869999999994,63.90339,0.013018213,0.008042359,0.02107266,0.010377069,0.016331576
