STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,REFERENCES
KTP,KTP,85.27259,27.68216,seismic,0.25972,0.0,CESMD
TVU,TVU,85.28825,27.68179,seismic,0.23318,0.0,CESMD
PTN,PTN,85.31896,27.6815,seismic,0.1536,0.0,CESMD
THM,THM,85.37705,27.6813,seismic,0.15342,0.0,CESMD
DMG,DMG,85.3166,27.7193,seismic,0.17707,0.0,Bhattarai_et_al_2015
Those1,Those1,86.2558,27.553,macroseismic,0.79957,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri4,Jiri4,86.2435,27.622,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_10,Gaunkharka (Intensity IX),85.4578,27.9371,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_4,Barpak Village (Intensity IX),84.7429,28.201,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_8,Chautara (Intensity IX),85.7222,27.7707,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Melamchi1,Melamchi1,85.5292,27.847,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_7,Pipaldanda (Intensity IX),85.6869,27.7791,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Jiri3,Jiri3,86.2538,27.602,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
Chautrara8,Chautrara8,85.7246,27.75,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_6,Phulkharka (Intensity IX),84.9198,28.0646,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_5,Laprak Village (Intensity IX),84.8008,28.2189,macroseismic,0.56002,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_13,Battar Bazaar (Intensity IX),85.1463,27.8969,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_14,Near Trishuli Bazaar (Intensity IX),85.1303,27.9236,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
OBS_12,Betrawati (Intensity IX),85.1857,27.9737,macroseismic,0.39223,0.52,Stations_USGS_PanjamaniEtAl2016
