# 20000617_M5.87_Iceland median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
s_0,-19.099999999999994,64.16,0.041122,0.041122,0.041122,0.041122,0.041122
s_1,-21.187000000000012,64.002,0.109184,0.109184,0.109184,0.109184,0.109184
s_10,-21.00200000000001,63.937,0.072041,0.072041,0.072041,0.072041,0.072041
s_11,-21.789999999999992,64.133,0.046327,0.046327,0.046327,0.046327,0.046327
s_12,-19.619,64.167,0.041735,0.041735,0.041735,0.041735,0.041735
s_13,-19.569999999999993,64.19,0.024388,0.024388,0.024388,0.024388,0.024388
s_14,-20.47399999999999,64.004,0.626531,0.626531,0.626531,0.626531,0.626531
s_15,-21.905,64.135,0.038776,0.038776,0.038776,0.038776,0.038776
s_16,-20.649,63.931,0.518367,0.518367,0.518367,0.518367,0.518367
s_17,-19.945999999999998,63.941,0.278571,0.278571,0.278571,0.278571,0.278571
s_18,-21.382000000000005,63.854,0.070612,0.070612,0.070612,0.070612,0.070612
s_19,-20.641999999999996,64.065,0.4,0.4,0.4,0.4,0.4
s_2,-19.239000000000004,64.201,0.015816,0.015816,0.015816,0.015816,0.015816
s_20,-19.840000000000003,64.1,0.090306,0.090306,0.090306,0.090306,0.090306
s_21,-20.159999999999997,64.05,0.156122,0.156122,0.156122,0.156122,0.156122
s_22,-20.389999999999986,63.84,0.477551,0.477551,0.477551,0.477551,0.477551
s_23,-19.125,64.174,0.011327,0.011327,0.011327,0.011327,0.011327
s_3,-21.76400000000001,64.075,0.044286,0.044286,0.044286,0.044286,0.044286
s_4,-21.960000000000008,64.14,0.038367,0.038367,0.038367,0.038367,0.038367
s_5,-20.26400000000001,63.991,0.337755,0.337755,0.337755,0.337755,0.337755
s_6,-20.986999999999995,63.94,0.067551,0.067551,0.067551,0.067551,0.067551
s_7,-19.674000000000007,65.225,0.003296,0.003296,0.003296,0.003296,0.003296
s_8,-21.010999999999996,64.094,0.066633,0.066633,0.066633,0.066633,0.066633
s_9,-21.007000000000005,64.088,0.042755,0.042755,0.042755,0.042755,0.042755
t_0,-18.654930000000007,63.51065,0.009956289,0.008761663,0.011313799,0.0065346407,0.015169569
t_1,-18.8193,63.51927,0.008265783,0.0072772335,0.009388618,0.0056256973,0.012144836
t_10,-19.045709999999985,63.54588,0.010342817,0.009116301,0.011734349,0.0074173487,0.014422115
t_100,-19.854770000000002,63.77909,0.049629007,0.045617245,0.053993575,0.044548307,0.055289157
t_1000,-20.064670000000007,63.87785,0.1724566,0.16687287,0.17822717,0.16716306,0.17791778
t_1001,-19.961780000000005,63.88769,0.14544608,0.14072171,0.15032904,0.14005633,0.15104322
t_1002,-20.024400000000014,63.90544,0.19178674,0.18764782,0.19601694,0.18779866,0.19585949
t_1003,-19.921459999999996,63.91527,0.16763611,0.16416517,0.17118043,0.16323654,0.17215425
t_1004,-20.087050000000005,63.92318,0.31405926,0.30906388,0.3191354,0.31010425,0.31806472
t_1005,-19.98409000000001,63.93302,0.24122544,0.23942539,0.243039,0.23962079,0.24284083
t_1006,-19.881100000000004,63.94283,0.13566718,0.13326563,0.13811198,0.13220885,0.13921595
t_1007,-20.43583000000001,63.8658,0.49726173,0.49371058,0.50083846,0.49783963,0.49668452
t_1008,-20.498559999999998,63.88346,0.41111335,0.40661332,0.41566318,0.41218406,0.41004542
t_1009,-20.395730000000015,63.89344,0.40260628,0.39975342,0.40547946,0.40197986,0.40323365
t_101,-19.752009999999984,63.78889,0.041326676,0.037817385,0.045161612,0.03634158,0.046995595
t_1010,-20.561319999999995,63.90112,0.4050379,0.4008822,0.4092367,0.40622288,0.40385643
t_1011,-20.458470000000005,63.91111,0.4429688,0.4398491,0.44611058,0.4432639,0.44267386
t_1012,-20.355590000000007,63.92107,0.35191673,0.34917134,0.35468373,0.35091472,0.3529216
t_1013,-20.52125000000001,63.92876,0.4965814,0.49384683,0.4993311,0.4972235,0.49594012
t_1014,-20.418360000000007,63.93874,0.4428908,0.4404069,0.4453887,0.44271195,0.44306967
t_1015,-20.481150000000014,63.95639,0.48490694,0.48320213,0.4866178,0.4851942,0.48461986
t_1016,-20.378199999999993,63.96634,0.43682054,0.43489972,0.43874982,0.4365014,0.4371399
t_1017,-20.12729999999999,63.89558,0.22415563,0.2188159,0.22962569,0.21970859,0.2286927
t_1018,-20.292869999999994,63.90339,0.3542234,0.3499208,0.35857892,0.3515452,0.356922
t_1019,-20.18997999999999,63.9133,0.27548158,0.27089414,0.2801467,0.2721551,0.27884868
t_102,-19.649220000000014,63.79865,0.026453853,0.024093091,0.029045934,0.02275786,0.030750092
t_1020,-20.252679999999998,63.931,0.36882776,0.3649117,0.37278584,0.36646834,0.37120235
t_1021,-20.14974000000001,63.94089,0.24995044,0.24703008,0.2529053,0.2479751,0.2519415
t_1022,-20.31541999999999,63.94868,0.38242793,0.37997055,0.38490123,0.38143274,0.3834257
t_1023,-20.212459999999993,63.95859,0.34833193,0.3458945,0.35078657,0.34690565,0.3497641
t_1024,-20.27521999999999,63.97627,0.36621383,0.36522704,0.3672033,0.36579832,0.36662984
t_1025,-20.172210000000007,63.98616,0.2823683,0.28119683,0.28354463,0.2817404,0.28299758
t_1026,-20.338009999999997,63.99393,0.42815915,0.42655304,0.42977133,0.42784962,0.4284689
t_1027,-20.046760000000006,63.95075,0.24666649,0.2446848,0.24866423,0.2453395,0.24800067
t_1028,-19.943749999999994,63.96058,0.19333743,0.19238544,0.19429412,0.19217654,0.19450532
t_1029,-20.109469999999988,63.96847,0.3189547,0.3166662,0.32125974,0.31757373,0.32034168
t_103,-19.89502999999999,63.75145,0.047045454,0.043041732,0.0514216,0.04225056,0.05238451
t_1030,-20.006439999999998,63.97831,0.25797087,0.2564777,0.25947273,0.25680217,0.25914487
t_1031,-19.90338,63.98811,0.14751104,0.14562094,0.14942567,0.14496344,0.1501034
t_1032,-20.06916000000001,63.99602,0.28418264,0.28259617,0.285778,0.2831229,0.2852463
t_1033,-19.966080000000005,64.00584,0.17408925,0.17252742,0.17566523,0.1724298,0.17576468
t_1034,-20.028819999999996,64.02355,0.1830698,0.18169913,0.18445079,0.1819184,0.18422846
t_1035,-19.92568,64.03335,0.14137347,0.13973247,0.14303374,0.13949446,0.1432778
t_1036,-20.091589999999997,64.04124,0.18380636,0.18279299,0.18482535,0.18305622,0.18455957
t_1037,-19.634530000000012,63.98984,0.041141864,0.03914701,0.04323837,0.037793968,0.044786323
t_1038,-19.80028999999999,63.99788,0.08476845,0.082568675,0.08702683,0.08142904,0.08824481
t_1039,-19.697159999999997,64.00762,0.04764298,0.045869365,0.049485173,0.044761006,0.05071051
t_104,-20.060190000000006,63.7594,0.07578286,0.07018496,0.08182724,0.07049788,0.08146404
t_1040,-19.86296999999999,64.01563,0.09440172,0.09283346,0.09599646,0.092215285,0.09663998
t_1041,-19.75981999999999,64.02538,0.07639946,0.07441271,0.07843924,0.07329168,0.07963901
t_1042,-19.656650000000013,64.0351,0.052376483,0.050545212,0.0542741,0.049319442,0.05562301
t_1043,-19.822519999999997,64.04312,0.10295491,0.10129151,0.10464563,0.100528285,0.10544011
t_1044,-19.719330000000014,64.05286,0.070394345,0.06870367,0.072126634,0.06766237,0.07323663
t_1045,-19.61609999999999,64.06256,0.049829926,0.04827042,0.051439814,0.047162347,0.052648388
t_1046,-19.782039999999995,64.0706,0.0762034,0.07519844,0.07722178,0.07463948,0.07780009
t_1047,-20.234980000000007,64.00384,0.34715945,0.3465565,0.34776342,0.34697995,0.34733903
t_1048,-20.131910000000005,64.01371,0.16667108,0.16615796,0.1671858,0.16637255,0.16697015
t_1049,-20.297789999999992,64.0215,0.29987228,0.29815206,0.30160242,0.29942062,0.3003246
t_105,-19.95750000000001,63.76926,0.052379243,0.04833303,0.05676418,0.047901694,0.057275325
t_1050,-20.19470000000001,64.03139,0.22039604,0.2198877,0.22090556,0.22025318,0.22053899
t_1051,-20.257530000000003,64.04904,0.21419309,0.21210359,0.21630318,0.2134362,0.21495266
t_1052,-20.154390000000006,64.05891,0.1485477,0.14785954,0.14923905,0.14813954,0.14895698
t_1053,-20.320390000000003,64.06668,0.19367102,0.19010937,0.19729939,0.19237405,0.19497673
t_1054,-20.217240000000004,64.07657,0.13587525,0.13367464,0.1381121,0.13480334,0.13695568
t_1055,-20.280110000000008,64.09421,0.13255809,0.12901607,0.13619736,0.13096695,0.13416858
t_1056,-20.176909999999992,64.10408,0.11982809,0.116684385,0.12305649,0.117983095,0.12170194
t_1057,-19.988439999999997,64.05106,0.14184953,0.140324,0.14339167,0.14050838,0.14320348
t_1058,-19.885249999999985,64.06085,0.11354767,0.11236144,0.11474643,0.112150475,0.11496227
t_1059,-20.05122,64.06875,0.103401065,0.10210438,0.10471421,0.10244031,0.104370825
t_106,-20.02000000000001,63.78706,0.07264644,0.06769237,0.07796306,0.067617364,0.07804955
t_1060,-19.948019999999985,64.07855,0.12529217,0.12376395,0.12683925,0.123984955,0.12661316
t_1061,-20.11404999999999,64.08642,0.11206241,0.11012268,0.114036314,0.110789314,0.11335014
t_1062,-20.01083,64.09624,0.07926481,0.07779001,0.08076757,0.07814439,0.080401294
t_1063,-19.907569999999993,64.10602,0.10168976,0.10049719,0.10289649,0.10069807,0.102691226
t_1064,-20.073669999999993,64.11391,0.092119366,0.089656524,0.09464986,0.090361446,0.093911484
t_1065,-19.97039000000001,64.12371,0.07475047,0.07300256,0.07654023,0.07332762,0.076200925
t_1066,-20.03325000000001,64.14138,0.0709772,0.06855286,0.07348729,0.06907114,0.072935864
t_1067,-19.678789999999992,64.08032,0.051639393,0.05053979,0.052762914,0.04982641,0.05351834
t_1068,-19.84478999999999,64.08832,0.08116,0.08084323,0.081478015,0.08075234,0.08156972
t_1069,-19.74152000000001,64.09805,0.076346286,0.07538679,0.077318,0.07485991,0.07786217
t_107,-19.917249999999996,63.79691,0.05471048,0.050773285,0.058952983,0.050068196,0.059783194
t_1070,-19.638229999999993,64.10775,0.061603833,0.060542654,0.062683605,0.059835024,0.06342493
t_1071,-19.80429000000001,64.11577,0.07711647,0.076504275,0.07773355,0.07636591,0.07787439
t_1072,-19.700970000000012,64.12549,0.06521549,0.06440977,0.06603129,0.064038135,0.0664145
t_1073,-19.86708999999999,64.13348,0.07443138,0.07322151,0.075661235,0.073279135,0.07560174
t_1074,-19.763750000000016,64.14321,0.054951657,0.054152835,0.055762257,0.0539993,0.055920806
t_1075,-19.660380000000004,64.1529,0.059990488,0.05952528,0.060459327,0.059349366,0.060638532
t_1076,-19.826570000000004,64.16091,0.061580487,0.06012989,0.06306608,0.060031507,0.063169435
t_1077,-20.383289999999988,64.0843,0.21170114,0.2063251,0.21721727,0.20987248,0.21354572
t_1078,-20.549379999999985,64.09195,0.19882306,0.19448327,0.20325972,0.19797574,0.19967404
t_1079,-20.44622000000001,64.10191,0.2234516,0.21654373,0.23057984,0.22137302,0.22554971
t_108,-20.08252999999999,63.80483,0.08889218,0.08373753,0.09436412,0.084120356,0.09393468
t_1080,-20.50918999999999,64.11949,0.1788863,0.17248851,0.18552138,0.17730877,0.18047786
t_1081,-20.40598,64.12942,0.17546064,0.16810098,0.18314251,0.17277265,0.17819045
t_1082,-20.46896000000001,64.14701,0.14093477,0.13419814,0.14800957,0.1388343,0.14306702
t_1083,-20.36569,64.15692,0.1121017,0.10628727,0.1182342,0.10954892,0.11471396
t_1084,-20.531980000000004,64.16457,0.123620704,0.11702357,0.13058975,0.12196496,0.12529893
t_1085,-20.42868999999999,64.1745,0.09646217,0.090862855,0.102406524,0.09430023,0.098673664
t_1086,-20.49172999999999,64.19207,0.08879409,0.083148114,0.09482345,0.08693547,0.090692446
t_1087,-19.858859999999993,63.8975,0.10321421,0.09912163,0.10747577,0.09762812,0.10911993
t_1088,-19.75591,63.90727,0.062677264,0.059393726,0.06614232,0.057710182,0.06807186
t_1089,-19.652929999999998,63.91701,0.040628824,0.03805864,0.043372586,0.036440086,0.045299057
t_109,-19.97976,63.8147,0.103713095,0.097289085,0.11056128,0.096716486,0.11121585
t_1090,-19.818489999999997,63.92506,0.097164616,0.093620986,0.10084239,0.09196842,0.102654405
t_1091,-19.71548999999999,63.93482,0.060882524,0.05777556,0.06415656,0.05598036,0.066213965
t_1092,-19.612449999999995,63.94454,0.03821141,0.035866622,0.04070949,0.03426266,0.04261525
t_1093,-19.77807999999999,63.9526,0.08984767,0.08652065,0.09330263,0.08474612,0.09525632
t_1094,-19.675029999999992,63.96234,0.05406981,0.05136041,0.056922134,0.04965122,0.05888162
t_1095,-19.84071,63.97036,0.09550386,0.0933226,0.097736105,0.09226548,0.098855905
t_1096,-19.73764,63.98012,0.06174456,0.05940675,0.06417436,0.058049724,0.065674566
t_1097,-19.178229999999985,63.93775,0.020913702,0.019047216,0.02296309,0.016824454,0.025996858
t_1098,-19.075109999999995,63.9473,0.013916382,0.012640028,0.015321618,0.010942734,0.017698107
t_1099,-19.240679999999998,63.95563,0.020002913,0.018343544,0.02181239,0.016492654,0.024260288
t_11,-19.107740000000007,63.56393,0.010991543,0.009694468,0.01246216,0.008009815,0.015083246
t_110,-19.87697,63.82453,0.09705839,0.0906286,0.10394436,0.08896334,0.10589006
t_1100,-18.971959999999996,63.95682,0.013123754,0.0118808765,0.0144966515,0.010056487,0.017126549
t_1101,-19.13754,63.9652,0.018071141,0.016529143,0.019756991,0.014591664,0.022380322
t_1102,-19.034369999999996,63.97473,0.013860147,0.012636881,0.015201828,0.010922799,0.017587407
t_1103,-19.19999999999999,63.98308,0.020669626,0.019053103,0.0224233,0.01714667,0.024916412
t_1104,-19.096810000000005,63.99263,0.016479513,0.015148456,0.017927524,0.013378554,0.020299226
t_1105,-19.26249999999999,64.00095,0.017980374,0.016712211,0.01934477,0.015318646,0.021104598
t_1106,-18.99359000000001,64.00215,0.01600611,0.0146514615,0.017486006,0.01264611,0.020258842
t_1107,-19.509389999999996,63.95423,0.031296223,0.029155338,0.033594318,0.02745495,0.035674937
t_1108,-19.406290000000013,63.96388,0.023591092,0.021868275,0.025449632,0.020297641,0.027418928
t_1109,-19.571940000000012,63.97204,0.04219568,0.039706126,0.044841334,0.03787911,0.047004156
t_111,-20.04231999999999,63.83247,0.12153467,0.115311354,0.12809385,0.115328886,0.12807438
t_1110,-19.30315999999999,63.9735,0.021406194,0.01977943,0.023166751,0.018088756,0.025332043
t_1111,-19.468829999999997,63.98171,0.029915238,0.02797573,0.031989206,0.026338762,0.033977352
t_1112,-19.365679999999998,63.99135,0.023275824,0.02168377,0.024984768,0.020148655,0.026888343
t_1113,-19.53139999999999,63.99953,0.043708835,0.041274425,0.046286825,0.039372668,0.048522543
t_1114,-19.428229999999985,64.00918,0.029032208,0.027285857,0.03089033,0.02572697,0.032762084
t_1115,-19.594009999999997,64.01732,0.037471145,0.035760112,0.03926405,0.034522314,0.040671863
t_1116,-19.325029999999998,64.01879,0.022572843,0.021162372,0.024077322,0.019727161,0.025829019
t_1117,-18.724670000000003,64.00313,0.011214487,0.010074644,0.012483291,0.008041916,0.01563865
t_1118,-18.890330000000006,64.01163,0.01415706,0.012884026,0.015555877,0.010823778,0.018516855
t_1119,-18.621370000000013,64.01252,0.009031108,0.008073384,0.010102443,0.0062645613,0.013019411
t_112,-19.93950000000001,63.84232,0.09638515,0.09110658,0.10196956,0.090214804,0.10297753
t_1120,-18.787049999999994,64.02108,0.011566749,0.010457864,0.012793212,0.008529979,0.015684642
t_1121,-18.952769999999987,64.02954,0.014906965,0.013695824,0.01622521,0.011797708,0.018835658
t_1122,-18.683729999999997,64.03049,0.011022245,0.009903002,0.012267984,0.007838258,0.015499602
t_1123,-18.849459999999993,64.03901,0.012443856,0.011343918,0.013650449,0.009476847,0.016339777
t_1124,-18.58037999999999,64.03987,0.01026507,0.009172948,0.0114872195,0.007050657,0.014944943
t_1125,-18.746129999999994,64.04844,0.011602648,0.010492705,0.012830003,0.008488098,0.015860023
t_1126,-18.91192000000001,64.05692,0.015429344,0.01421433,0.016748214,0.012198705,0.019515568
t_1127,-19.15929,64.01051,0.016529651,0.015332135,0.017820701,0.013834225,0.01975025
t_1128,-19.056039999999996,64.02005,0.019202903,0.017749105,0.02077578,0.01569431,0.02349587
t_1129,-19.2218,64.02838,0.022302903,0.020882508,0.02381991,0.019229496,0.025867524
t_113,-18.63551000000001,63.58401,0.009760301,0.008593672,0.011085305,0.006437791,0.014797539
t_1130,-19.118539999999996,64.03793,0.019325241,0.018056462,0.020683175,0.016363462,0.0228231
t_1131,-19.28434999999999,64.04622,0.027696222,0.026173772,0.029307228,0.024542525,0.031255167
t_1132,-19.015240000000006,64.04744,0.02045601,0.019011868,0.022009851,0.01683084,0.024862004
t_1133,-19.181070000000005,64.05579,0.019728199,0.018638894,0.020881167,0.017290618,0.022509422
t_1134,-19.07775000000001,64.06532,0.023612926,0.022239927,0.02507069,0.02026682,0.027511485
t_1135,-19.243629999999996,64.07363,0.02270162,0.021669308,0.02378311,0.020507712,0.025130231
t_1136,-18.974410000000006,64.07481,0.022661954,0.02115659,0.02427443,0.018718483,0.027436206
t_1137,-19.490819999999985,64.02699,0.032136537,0.03049155,0.033870272,0.029131738,0.03545127
t_1138,-19.387599999999992,64.03662,0.028384224,0.026847804,0.03000857,0.02540433,0.031713653
t_1139,-19.553439999999995,64.04478,0.030853214,0.029573068,0.032188773,0.028591475,0.03329387
t_114,-18.800070000000005,63.59262,0.009039684,0.007964726,0.010259724,0.0061864327,0.013208887
t_1140,-19.450199999999995,64.05443,0.027332375,0.026092798,0.028630842,0.02501546,0.029863881
t_1141,-19.346929999999986,64.06405,0.025500486,0.024313577,0.026745336,0.023148265,0.028091729
t_1142,-19.51284000000001,64.07222,0.033367846,0.0321674,0.034613088,0.031197254,0.03568946
t_1143,-19.409549999999996,64.08186,0.029138224,0.028024254,0.030296475,0.027016858,0.03142616
t_1144,-19.57552000000001,64.09,0.04680712,0.045582663,0.04806447,0.044662956,0.04905422
t_1145,-19.30623,64.09145,0.022836594,0.021988174,0.023717752,0.021129245,0.024681905
t_1146,-19.47220999999999,64.09965,0.02855332,0.027711464,0.02942075,0.026999967,0.030196039
t_1147,-19.140299999999996,64.08318,0.024393257,0.023295486,0.025542757,0.021835903,0.027250119
t_1148,-19.036930000000012,64.09269,0.025254268,0.023963926,0.026614087,0.021940792,0.02906814
t_1149,-19.202879999999993,64.10102,0.025641125,0.024780927,0.026531179,0.023769032,0.027660666
t_115,-18.697450000000003,63.60212,0.010940506,0.0096367225,0.012420683,0.0073298495,0.01632976
t_1150,-19.099490000000003,64.11054,0.02556936,0.024710393,0.026458185,0.023453154,0.027876515
t_1151,-19.26549,64.11884,0.02268278,0.022100942,0.023279937,0.021512244,0.023917008
t_1152,-18.996070000000003,64.12004,0.025841359,0.024615675,0.027128074,0.022508102,0.029668244
t_1153,-19.162090000000006,64.12838,0.030924354,0.030339515,0.031520467,0.0296311,0.032274053
t_1154,-19.05865,64.13789,0.03065753,0.02989473,0.031439792,0.028598802,0.03286446
t_1155,-19.22471999999999,64.1462,0.02201437,0.021742087,0.022290062,0.021496922,0.022544274
t_1156,-19.121260000000007,64.15573,0.03184605,0.031766325,0.031925973,0.031695634,0.031997178
t_1157,-19.368860000000012,64.10926,0.031407546,0.030464727,0.032379545,0.029596077,0.033329893
t_1158,-19.534899999999993,64.11742,0.030041348,0.02944408,0.030650735,0.028965235,0.031157443
t_1159,-19.431539999999984,64.12705,0.024317032,0.023757119,0.02489014,0.023271633,0.02540939
t_116,-18.86206999999999,63.6107,0.009470526,0.008349147,0.010742519,0.0065847244,0.013621052
t_1160,-19.597620000000006,64.13517,0.051884174,0.05134086,0.052433237,0.050943587,0.052842125
t_1161,-19.32813999999999,64.13664,0.025206795,0.02468039,0.025744427,0.024207879,0.02624693
t_1162,-19.49423999999999,64.14482,0.03261563,0.03213452,0.033103943,0.031722438,0.033533975
t_1163,-19.390829999999994,64.15443,0.02401531,0.023589848,0.024448445,0.023222862,0.024834799
t_1164,-19.55698000000001,64.16257,0.037768357,0.037592713,0.03794482,0.037427858,0.038111955
t_1165,-19.453550000000007,64.17219,0.029375557,0.028963648,0.029793322,0.028598716,0.030173497
t_1166,-19.350089999999994,64.18179,0.021770773,0.021464745,0.022081168,0.021197408,0.022359649
t_1167,-18.726650000000006,64.12102,0.011603941,0.01054713,0.012766644,0.0085411705,0.015764989
t_1168,-18.892629999999997,64.1295,0.019052548,0.01778196,0.020413926,0.015469127,0.023466067
t_1169,-18.623159999999984,64.13039,0.010472626,0.009426586,0.011634742,0.0073642447,0.014893028
t_117,-18.594799999999992,63.61158,0.010382095,0.009142415,0.011789871,0.006808582,0.01583118
t_1170,-18.789150000000006,64.13892,0.015171846,0.013919633,0.01653671,0.01156273,0.019907491
t_1171,-18.955179999999984,64.14737,0.02021846,0.019196749,0.02129455,0.017320925,0.023600707
t_1172,-18.685640000000006,64.14831,0.010541767,0.009549471,0.011637174,0.0076199058,0.01458402
t_1173,-18.851679999999988,64.15681,0.014965617,0.013889854,0.016124697,0.011870237,0.018868173
t_1174,-18.582099999999997,64.15767,0.011201667,0.01005542,0.012478578,0.0077462867,0.016198387
t_1175,-18.74815000000001,64.16622,0.017387781,0.015873795,0.019046163,0.012960547,0.023327326
t_1176,-18.91425000000001,64.17468,0.02775442,0.026112895,0.029499138,0.023019474,0.033463314
t_1177,-19.287379999999985,64.164,0.020131892,0.019908708,0.020357579,0.01973328,0.020538555
t_1178,-19.017769999999985,64.16522,0.022867398,0.022166904,0.023590028,0.020844672,0.025086407
t_1179,-19.183909999999997,64.17355,0.016970119,0.016932162,0.017008161,0.016917326,0.017023077
