# 20000617_M5.87_Iceland median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,"KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.787319","KothaEtAl2020ESHM20SlopeGeology
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = 0.175935","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100
KothaEtAl2020ESHM20SlopeGeology.dl2l
'PGA' = -0.305692"
t_0,-18.654930000000007,63.51065,0.015157829,0.009364165,0.024536068,0.01127747,0.020373344
t_1,-18.8193,63.51927,0.012774106,0.007891554,0.02067752,0.0098381685,0.016586196
t_10,-19.045709999999985,63.54588,0.016378803,0.010118456,0.026512466,0.013264247,0.020224685
t_100,-19.854770000000002,63.77909,0.056698512,0.035027064,0.09177822,0.0562522,0.057148367
t_1000,-20.064670000000007,63.87785,0.09837888,0.060776256,0.15924647,0.102642186,0.09429266
t_1001,-19.961780000000005,63.88769,0.072521806,0.044802334,0.117391475,0.07408183,0.07099463
t_1002,-20.024400000000014,63.90544,0.08547123,0.052802198,0.13835278,0.08855372,0.08249604
t_1003,-19.921459999999996,63.91527,0.06507674,0.04020294,0.1053401,0.06601155,0.06415517
t_1004,-20.087050000000005,63.92318,0.14587411,0.09011774,0.23612729,0.15327609,0.13882959
t_1005,-19.98409000000001,63.93302,0.07944665,0.04908035,0.12860076,0.08173755,0.07721996
t_1006,-19.881100000000004,63.94283,0.052460544,0.03240894,0.08491819,0.05284176,0.05208208
t_1007,-20.43583000000001,63.8658,0.5415649,0.33456656,0.8766343,0.6062169,0.4838079
t_1008,-20.498559999999998,63.88346,0.5195089,0.32094088,0.8409321,0.58309734,0.46285492
t_1009,-20.395730000000015,63.89344,0.36443272,0.22513832,0.58990943,0.40616137,0.32699126
t_101,-19.752009999999984,63.78889,0.048627608,0.030041039,0.0787138,0.047248356,0.05004712
t_1010,-20.561319999999995,63.90112,0.45042676,0.27826348,0.72910845,0.50495577,0.4017862
t_1011,-20.458470000000005,63.91111,0.50163674,0.30989987,0.81200236,0.5628995,0.44704148
t_1012,-20.355590000000007,63.92107,0.2752648,0.17005238,0.44557273,0.3051153,0.24833465
t_1013,-20.52125000000001,63.92876,0.51342875,0.31718472,0.83109015,0.57627296,0.45743787
t_1014,-20.418360000000007,63.93874,0.43644977,0.26962882,0.70648384,0.4885516,0.38990438
t_1015,-20.481150000000014,63.95639,0.47619173,0.2941805,0.77081436,0.5344781,0.42426166
t_1016,-20.378199999999993,63.96634,0.37055415,0.22892,0.59981817,0.41298515,0.3324826
t_1017,-20.12729999999999,63.89558,0.12387531,0.07652737,0.2005177,0.13106857,0.11707682
t_1018,-20.292869999999994,63.90339,0.23504162,0.14520341,0.38046327,0.2573051,0.21470453
t_1019,-20.18997999999999,63.9133,0.15572746,0.096204914,0.25207695,0.16707179,0.14515343
t_102,-19.649220000000014,63.79865,0.032759108,0.020237837,0.053027358,0.031159561,0.034440763
