FIELD,DESCRIPTION
Year,1999
Country,Greece
Region,Athens
Event_Name,Athens_1999
Local_Date,07/09/1999
Local_Time,11:56:49
Latitude,38.119
Longitude,23.605
Depth_(km),10
Mw,6
Max_Intensity_(MMI),IX
Fault_mechanism,Normal
Tectonic_region_type,Active Shallow Crust
Fatalities,143
Injured,750-2000
Displaced_Population,108
Affected_Population,113031
Affected_Units,
Damaged_Units,
Collapsed_Units,53000 Buildings
Economic_Losses,4200 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009e46/executive
Wikipedia page,https://en.wikipedia.org/wiki/1999_Athens_earthquake
