ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
63,Quindio,63001,Armenia,,,,9430,,,,,,Shaking,Garcia_2000,"Figures 15, 16, and 17 in this reference show the distribution by type of construction, building use, and age of construction for a 12,454 buildings sample in the center part of the city of Pereira."
66,Risaralda,66001,Pereira,,,,9870,,,,,,Shaking,Garcia_2000,"Figures 15, 16, and 17 in this reference show the distribution by type of construction, building use, and age of construction for a 12,454 buildings sample in the center part of the city of Pereira."
17,Caldas,17174,Chinchiná,,,,154,,,,21.0,,Shaking,CEPAL_1999,
63,Quindio,63001,Armenia,,,,20129,,,,11303.0,,Shaking,CEPAL_1999,
63,Quindio,63111,Buenavista,,,,111,,,,36.0,,Shaking,CEPAL_1999,
63,Quindio,63130,Calarcá,,,,4812,,,,2153.0,,Shaking,CEPAL_1999,
63,Quindio,63190,Circasia,,,,759,,,,223.0,,Shaking,CEPAL_1999,
63,Quindio,63212,Córdoba,,,,216,,,,201.0,,Shaking,CEPAL_1999,
63,Quindio,63272,Filandia,,,,417,,,,29.0,,Shaking,CEPAL_1999,
63,Quindio,63302,Génova,,,,103,,,,1.0,,Shaking,CEPAL_1999,
63,Quindio,63401,La Tebaida,,,,1848,,,,1763.0,,Shaking,CEPAL_1999,
63,Quindio,63470,Montenegro,,,,1236,,,,357.0,,Shaking,CEPAL_1999,
63,Quindio,63548,Pijao,,,,573,,,,217.0,,Shaking,CEPAL_1999,
63,Quindio,63594,Quimbaya,,,,1339,,,,159.0,,Shaking,CEPAL_1999,
63,Quindio,63690,Salento,,,,200,,,,17.0,,Shaking,CEPAL_1999,
66,Risaralda,66001,Pereira,,,,6308,,,,760.0,,Shaking,CEPAL_1999,
66,Risaralda,66170,Dosquebradas,,,,754,,,,64.0,,Shaking,CEPAL_1999,
66,Risaralda,66440,Marsella,,,,173,,,,5.0,,Shaking,CEPAL_1999,
66,Risaralda,66682,Santa Rosa de Cabal,,,,209,,,,30.0,,Shaking,CEPAL_1999,
73,Tolima,73124,Cajamarca,,,,1048,,,,83.0,,Shaking,CEPAL_1999,
73,Tolima,73622,Roncesvalles,,,,49,,,,,,Shaking,CEPAL_1999,
76,Valle del Cauca,76020,Alcalá,,,,334,,,,24.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76054,Argelia,,,,51,,,,9.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76100,Bolívar,,,,79,,,,1.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76122,Caicedonia,,,,976,,,,46.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76043,La Victoria,,,,214,,,,16.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76497,Obando,,,,392,,,,6.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76736,Sevilla,,,,712,,,,21.0,,Shaking,CEPAL_1999,
76,Valle del Cauca,76845,Ulloa,,,,278,,,,6.0,,Shaking,CEPAL_1999,
