# 20120905_M7.6_Nicoya median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
t_0,-85.13534,9.5982,0.22554816,0.18437405,0.23888566
t_1,-83.83278,9.24372,0.034615688,0.019165622,0.034052487
t_10,-83.96753,9.33237,0.056524932,0.03426876,0.052039012
t_100,-84.37177,9.5982,0.078443505,0.054342452,0.096994944
t_1000,-83.47345,9.81956,0.028572084,0.014547081,0.026149938
t_1001,-83.42854,9.81956,0.02884883,0.014567665,0.024881456
t_1002,-83.51837,9.81956,0.027904332,0.014247565,0.02749647
t_1003,-83.42854,9.86382,0.033126794,0.017097935,0.031411324
t_1004,-83.51837,9.86382,0.03348222,0.017715069,0.034712255
t_1005,-83.47345,9.86382,0.031316467,0.01621505,0.026150998
t_1006,-83.47345,9.90806,0.03348094,0.017507728,0.032971125
t_1007,-83.42854,9.90806,0.026356198,0.013045116,0.024852617
t_1008,-82.93446,9.5982,0.024933867,0.010670799,0.018410368
t_1009,-82.97938,9.5982,0.021554502,0.009122399,0.01525806
t_101,-84.28194,9.5982,0.0762578,0.051602446,0.08588135
t_1010,-82.88955,9.64248,0.019738533,0.008016207,0.014005684
t_1011,-82.97938,9.64248,0.021494677,0.009104698,0.015329496
t_1012,-82.93446,9.64248,0.02175952,0.009115955,0.018494409
t_1013,-82.93446,9.68676,0.023696987,0.010083409,0.018562416
t_1014,-82.88955,9.68676,0.022037996,0.00913891,0.017743958
t_1015,-82.97938,9.68676,0.024577005,0.010663014,0.01942464
t_1016,-82.93446,9.73103,0.02094093,0.008729319,0.014745222
t_1017,-82.88955,9.73103,0.02392746,0.010067728,0.017792188
t_1018,-82.66497,9.64248,0.01765848,0.006557198,0.014175634
t_1019,-82.84463,9.68676,0.022511961,0.009241314,0.01696634
t_102,-84.32685,9.5982,0.07580426,0.051929444,0.09123494
t_1020,-82.79972,9.68676,0.023265472,0.009470938,0.01622752
t_1021,-82.7548,9.68676,0.018726159,0.0072376593,0.015524943
t_1022,-82.7548,9.73103,0.018757053,0.0072575966,0.015564342
t_1023,-82.79972,9.73103,0.019307612,0.007615122,0.016269632
t_1024,-82.84463,9.73103,0.023577824,0.009761462,0.017011387
t_1025,-82.79972,9.7753,0.019329939,0.007629709,0.01629836
t_1026,-82.84463,9.7753,0.01990551,0.008008007,0.017042087
t_1027,-82.97938,9.73103,0.023994252,0.010378458,0.01948007
t_1028,-82.88955,9.7753,0.029710598,0.012979789,0.018022181
t_1029,-82.93446,9.7753,0.021647738,0.009083174,0.018649248
t_103,-84.28194,9.64248,0.06955697,0.04709159,0.087147966
t_1030,-82.97938,9.7753,0.024744077,0.010762329,0.019517737
t_1031,-82.88955,9.81956,0.020519763,0.008416402,0.01784233
t_1032,-82.97938,9.81956,0.026227785,0.011515965,0.019537477
t_1033,-82.93446,9.81956,0.023828214,0.010165628,0.018667722
t_1034,-82.88955,9.86382,0.02052107,0.008417278,0.017844042
t_1035,-82.97938,9.86382,0.029028403,0.012951093,0.019755326
t_1036,-82.93446,9.86382,0.021149596,0.0088399155,0.018669447
t_1037,-82.84463,9.81956,0.019918015,0.008016274,0.017058313
t_1038,-83.0243,9.5982,0.022512821,0.009728279,0.020157993
t_1039,-83.11413,9.5982,0.02265247,0.010050382,0.01750547
t_104,-84.32685,9.64248,0.07372205,0.050555073,0.09266774
t_1040,-83.0243,9.64248,0.022821216,0.009898715,0.020254849
t_1041,-83.06921,9.64248,0.02309995,0.01017118,0.021206645
t_1042,-83.11413,9.64248,0.021004772,0.009186319,0.01759423
t_1043,-83.06921,9.68676,0.019924758,0.008523413,0.016865646
t_1044,-83.0243,9.68676,0.023858314,0.01043923,0.020333212
t_1045,-83.11413,9.68676,0.023157708,0.010341581,0.017666029
t_1046,-83.0243,9.73103,0.028943531,0.0130635835,0.020392718
t_1047,-83.11413,9.73103,0.02320701,0.010376137,0.017720517
t_1048,-83.24887,9.5982,0.027043214,0.012841193,0.02542872
t_1049,-83.20396,9.5982,0.024798097,0.011461572,0.019216042
t_105,-84.37177,9.64248,0.08609227,0.059739184,0.098620996
t_1050,-83.15904,9.64248,0.020872215,0.009219862,0.018433211
t_1051,-83.24887,9.64248,0.02686291,0.012759622,0.025569204
t_1052,-83.20396,9.64248,0.022567442,0.010250069,0.019319136
t_1053,-83.24887,9.68676,0.022375349,0.010262778,0.020344753
t_1054,-83.20396,9.68676,0.02163671,0.009747663,0.019402526
t_1055,-83.15904,9.68676,0.022918161,0.010339944,0.018510547
t_1056,-83.15904,9.73103,0.021524256,0.009584622,0.01856922
t_1057,-83.20396,9.73103,0.024550298,0.0113638,0.019465774
t_1058,-83.33871,9.64248,0.035399158,0.017914064,0.02813825
t_1059,-83.38362,9.64248,0.02868875,0.014273616,0.023396464
t_106,-84.28194,9.68676,0.068794,0.046591293,0.06985733
t_1060,-83.33871,9.68676,0.024208115,0.011525064,0.02239508
t_1061,-83.29379,9.68676,0.024862856,0.011796329,0.021341095
t_1062,-83.38362,9.68676,0.029067758,0.0145107955,0.023510505
t_1063,-83.38362,9.73103,0.026888717,0.0132476045,0.023596926
t_1064,-83.33871,9.73103,0.026125384,0.012662999,0.022474864
t_1065,-83.29379,9.73103,0.027254626,0.013160154,0.021414844
t_1066,-83.33871,9.7753,0.02407291,0.011464153,0.02252873
t_1067,-83.29379,9.7753,0.023248175,0.010877575,0.021464674
t_1068,-83.24887,9.73103,0.022428699,0.010300171,0.02041301
t_1069,-83.15904,9.7753,0.021011194,0.009315391,0.018608954
t_107,-84.4616,9.64248,0.092582405,0.065811984,0.111975536
t_1070,-83.20396,9.7753,0.021720054,0.009805538,0.019508572
t_1071,-83.24887,9.7753,0.033124547,0.016257124,0.025827266
t_1072,-83.24887,9.81956,0.029996904,0.014532875,0.025857305
t_1073,-83.20396,9.81956,0.022164362,0.010048244,0.019530695
t_1074,-83.15904,9.81956,0.021027468,0.00932659,0.018629547
t_1075,-83.24887,9.86382,0.023122543,0.010694298,0.020484278
t_1076,-83.20396,9.86382,0.027238503,0.012844639,0.024656884
t_1077,-83.15904,9.86382,0.022304632,0.010022693,0.018630907
t_1078,-83.06921,9.73103,0.021414226,0.009314974,0.0169163
t_1079,-83.06921,9.7753,0.021444103,0.009335527,0.016950661
t_108,-84.50652,9.64248,0.09040529,0.06484704,0.094629906
t_1080,-83.11413,9.7753,0.020336166,0.008853228,0.017757447
t_1081,-83.0243,9.7753,0.02408676,0.010570823,0.02043312
t_1082,-83.06921,9.81956,0.024949834,0.011162231,0.021420805
t_1083,-83.0243,9.81956,0.021495903,0.009248442,0.016202893
t_1084,-83.11413,9.81956,0.021723082,0.009598339,0.01777664
t_1085,-83.06921,9.86382,0.02618425,0.011805021,0.021422543
t_1086,-83.0243,9.86382,0.024432834,0.010751418,0.02045597
t_1087,-83.11413,9.86382,0.025402958,0.011547553,0.022442631
t_1088,-83.38362,9.7753,0.024941785,0.012087651,0.023655232
t_1089,-83.33871,9.81956,0.029058548,0.014362436,0.028474735
t_109,-84.41668,9.64248,0.092826664,0.06496071,0.10504273
t_1090,-83.29379,9.81956,0.023268087,0.010891673,0.021490298
t_1091,-83.38362,9.81956,0.024964744,0.012104198,0.023685068
t_1092,-83.29379,9.86382,0.023269089,0.010892383,0.021491589
t_1093,-83.33871,9.86382,0.02409524,0.011480107,0.022557613
t_1094,-83.38362,9.86382,0.025722148,0.012550337,0.023686267
t_1095,-83.29379,9.90806,0.023550177,0.011045998,0.021468554
t_1096,-83.38362,9.90806,0.024944564,0.012089653,0.023658842
t_1097,-83.33871,9.90806,0.024571422,0.011749218,0.022532491
t_1098,-83.06921,9.90806,0.027883098,0.012687726,0.021403417
t_1099,-83.11413,9.90806,0.023688432,0.010637367,0.017761564
t_11,-83.83278,9.33237,0.052406598,0.030644143,0.045244187
t_110,-84.4616,9.68676,0.09363351,0.06673965,0.11372658
t_1100,-83.0243,9.90806,0.030671151,0.013980944,0.0206644
t_1101,-83.0243,9.95231,0.03213244,0.01476033,0.020627063
t_1102,-83.11413,9.95231,0.030061902,0.014004858,0.022378711
t_1103,-83.06921,9.95231,0.028255764,0.012875793,0.021363514
t_1104,-83.0243,9.99654,0.02241177,0.009702164,0.020345382
t_1105,-83.11413,9.99654,0.033988137,0.016128402,0.022560205
t_1106,-83.06921,9.99654,0.028443528,0.0129636405,0.021303052
t_1107,-83.11413,10.04078,0.023808932,0.0106759025,0.022226222
t_1108,-83.20396,9.90806,0.029206863,0.013913932,0.024632359
t_1109,-83.24887,9.90806,0.02816361,0.013515053,0.02583228
t_111,-84.41668,9.68676,0.083967924,0.05915356,0.10657108
t_1110,-83.15904,9.90806,0.023894211,0.010880055,0.01861304
t_1111,-83.24887,9.95231,0.031516246,0.015359255,0.025777362
t_1112,-83.15904,9.95231,0.026825095,0.012449876,0.023450037
t_1113,-83.20396,9.95231,0.025879595,0.01209218,0.024581732
t_1114,-83.15904,9.99654,0.028536,0.013356384,0.023379425
t_1115,-83.24887,9.99654,0.026607102,0.012633629,0.025694566
t_1116,-83.20396,9.99654,0.029154886,0.013866135,0.02450531
t_1117,-83.20396,10.04078,0.036579818,0.017961599,0.024673363
t_1118,-83.33871,9.95231,0.030243998,0.015028251,0.028379772
t_1119,-83.38362,9.95231,0.026138356,0.012795093,0.02360295
t_112,-84.50652,9.68676,0.099318326,0.07155956,0.12147282
t_1120,-83.29379,9.95231,0.025917042,0.012404036,0.021421313
t_1121,-83.29379,9.99654,0.032675523,0.016189871,0.026952067
t_1122,-83.33871,9.99654,0.030596847,0.015216106,0.02828226
t_1123,-83.38362,9.99654,0.029599134,0.014821499,0.029689921
t_1124,-83.38362,10.04078,0.029339634,0.014653966,0.029549047
t_1125,-83.33871,10.04078,0.039655723,0.02037483,0.028463965
t_1126,-83.29379,10.04078,0.039241396,0.01991936,0.027129333
t_1127,-83.38362,10.085,0.033574607,0.017069982,0.029374251
t_1128,-83.15904,10.04078,0.03512627,0.016938863,0.023542786
t_1129,-83.24887,10.04078,0.037479542,0.018679874,0.025867267
t_113,-84.50652,9.73103,0.11382991,0.08033185,0.1230248
t_1130,-83.24887,10.085,0.038395453,0.019196529,0.025728658
t_1131,-83.15904,10.085,0.02450189,0.0111657195,0.023168005
t_1132,-83.20396,10.085,0.034604657,0.016816393,0.024545252
t_1133,-83.15904,10.12922,0.02439933,0.011092953,0.023028271
t_1134,-83.24887,10.12922,0.036584333,0.018111812,0.025563626
t_1135,-83.20396,10.12922,0.025202582,0.011665306,0.024125785
t_1136,-83.24887,10.17343,0.03744648,0.018580267,0.025373068
t_1137,-83.74295,9.7753,0.03765113,0.021343902,0.035563197
t_1138,-83.69803,9.7753,0.044231158,0.025309352,0.0425834
t_1139,-83.74295,9.81956,0.035590682,0.019938463,0.035621542
t_114,-84.4616,9.73103,0.08506549,0.06044011,0.0911552
t_1140,-83.69803,9.81956,0.03917013,0.022133283,0.042650715
t_1141,-83.78786,9.81956,0.035475977,0.019977175,0.03757942
t_1142,-83.74295,9.86382,0.042322066,0.024406727,0.044968173
t_1143,-83.69803,9.86382,0.03262938,0.017797308,0.033786293
t_1144,-83.78786,9.86382,0.0422041,0.024586456,0.047439437
t_1145,-83.78786,9.90806,0.03924211,0.022600602,0.037515182
t_1146,-83.69803,9.90806,0.03426116,0.01889951,0.033733755
t_1147,-83.51837,9.90806,0.02894363,0.014895568,0.027461495
t_1148,-83.47345,9.95231,0.03478288,0.018269645,0.03288723
t_1149,-83.51837,9.95231,0.028774563,0.014781107,0.027388884
t_115,-84.41668,9.73103,0.080931365,0.056896448,0.085349284
t_1150,-83.42854,9.95231,0.025923515,0.012782996,0.024791708
t_1151,-83.42854,9.99654,0.02934713,0.014840555,0.024700306
t_1152,-83.47345,9.99654,0.031673588,0.016402133,0.032761477
t_1153,-83.51837,9.99654,0.028511,0.014603575,0.027280163
t_1154,-83.51837,10.04078,0.029369585,0.015143283,0.027136015
t_1155,-83.42854,10.04078,0.033152293,0.01706146,0.031027988
t_1156,-83.47345,10.04078,0.02921257,0.014902257,0.025819939
t_1157,-83.6082,9.90806,0.031395044,0.016727036,0.030404003
t_1158,-83.6082,9.95231,0.034536675,0.018742105,0.030316945
t_1159,-83.65312,9.95231,0.03705614,0.020540297,0.040296942
t_116,-84.4616,9.7753,0.076860696,0.05318562,0.09187499
t_1160,-83.56329,9.95231,0.033588633,0.017958615,0.028808637
t_1161,-83.6082,9.99654,0.036791548,0.020136286,0.038107365
t_1162,-83.65312,9.99654,0.035599574,0.019593496,0.031778783
t_1163,-83.56329,9.99654,0.033918045,0.018147046,0.03621749
t_1164,-83.56329,10.04078,0.031787712,0.016804319,0.02853239
t_1165,-83.6082,10.04078,0.03370107,0.018178316,0.030014718
t_1166,-83.65312,10.04078,0.03248728,0.017544666,0.031590194
t_1167,-83.74295,9.90806,0.04261425,0.02458567,0.04489496
t_1168,-83.74295,9.95231,0.034214724,0.01897143,0.035448037
t_1169,-83.78786,9.95231,0.03533219,0.01986642,0.03738758
t_117,-84.59635,9.64248,0.089628115,0.063663974,0.107921354
t_1170,-83.69803,9.95231,0.03763838,0.021125175,0.03362872
t_1171,-83.74295,9.99654,0.033748265,0.018650778,0.03527581
t_1172,-83.69803,9.99654,0.032393184,0.017617738,0.033472154
t_1173,-83.78786,9.99654,0.03990741,0.023016103,0.037197787
t_1174,-83.78786,10.04078,0.035002235,0.019612504,0.036947418
t_1175,-83.74295,10.04078,0.033577546,0.018520264,0.035048407
t_1176,-83.69803,10.04078,0.032237563,0.017499546,0.03326524
t_1177,-83.74295,10.085,0.03336693,0.01835939,0.03476792
t_1178,-83.78786,10.085,0.03702882,0.02101837,0.036638882
