# 20120905_M7.6_Nicoya median gmf, Stations:Seismic, gmlt:GEM, Rupture:GFZ
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
m_104,-84.127,9.9839,0.052281957,0.051011797,0.054689538
m_105,-84.1278,9.8936,0.058537383,0.05750913,0.055837467
m_106,-84.0359,9.983,0.09518347,0.09533774,0.09936487
m_109,-84.0367,9.8927,0.07173122,0.07382128,0.07510078
m_113,-84.2205,9.7136,0.06389114,0.07200582,0.067108065
m_114,-84.1262,10.0742,0.09799866,0.10094647,0.09001681
m_120,-84.219,9.8943,0.0794386,0.078657925,0.081458524
m_123,-84.3975,10.3475,0.0803692,0.08796396,0.080712594
m_131,-84.1317,9.4419,0.045210976,0.045350764,0.045426596
m_133,-85.8548,11.2602,0.07128273,0.10556476,0.08955798
m_139,-83.9457,9.892,0.05706564,0.057446,0.055993795
m_143,-86.3106,12.166,0.024722956,0.027677568,0.025407104
m_145,-86.2195,11.8944,0.035161603,0.044319402,0.035319775
m_74,-85.4938,10.1737,0.29304245,0.33943707,0.31194162
m_75,-85.5846,10.2645,0.52393055,0.59479135,0.52320683
m_76,-85.6748,10.5361,0.19149841,0.28245184,0.22442116
m_80,-85.6774,9.9032,0.25036123,0.32424206,0.29081455
m_81,-85.7665,10.4461,0.24227588,0.3629439,0.280543
m_83,-84.2174,10.075,0.13613433,0.13801244,0.14729232
m_84,-85.4951,9.9024,0.25177193,0.37146857,0.24293227
m_94,-84.9445,10.4419,0.14752716,0.18449669,0.16645445
m_95,-84.4909,10.0771,0.24623927,0.25025338,0.24741964
m_96,-85.3118,10.0824,0.20663403,0.27894434,0.21596465
m_97,-84.2182,9.9847,0.11480493,0.11558416,0.1113757
m_98,-84.4005,9.9861,0.13689384,0.14618844,0.14819285
m_99,-83.6778,9.3476,0.028173735,0.02882883,0.028453687
s_0,-85.648,9.979,1.58,1.58,1.58
s_1,-85.59,10.286,0.563,0.563,0.563
s_10,-84.623,9.609,0.157,0.157,0.157
s_100,-84.1613,9.79912,0.09028,0.09028,0.09028
s_101,-83.8687,9.82729,0.08602,0.08602,0.08602
s_102,-85.01,10.8981,0.08407,0.08407,0.08407
s_103,-84.0706,9.93624,0.08402,0.08402,0.08402
s_107,-84.4315,10.3242,0.0784,0.0784,0.0784
s_108,-84.0967,9.91474,0.07161,0.07161,0.07161
s_11,-85.091,10.428,0.146,0.146,0.146
s_110,-84.7176,11.0311,0.06128,0.06128,0.06128
s_111,-84.0561,9.75095,0.06123,0.06123,0.06123
s_112,-83.9177,9.83255,0.0598,0.0598,0.0598
s_115,-83.9417,9.89729,0.05511,0.05511,0.05511
s_116,-84.0359,9.86917,0.05479,0.05479,0.05479
s_117,-84.1394,10.3907,0.05278,0.05278,0.05278
s_118,-84.0768,9.93359,0.05197,0.05197,0.05197
s_119,-85.6182,10.837,0.05083,0.05083,0.05083
s_12,-84.214,10.025,0.139,0.139,0.139
s_121,-83.8935,9.82064,0.04712,0.04712,0.04712
s_122,-84.1218,9.99894,0.04709,0.04709,0.04709
s_124,-84.1369,9.44267,0.04578,0.04578,0.04578
s_125,-83.6866,9.90297,0.04512,0.04512,0.04512
s_126,-84.1595,9.42838,0.04372,0.04372,0.04372
s_127,-83.3457,10.0849,0.04212,0.04212,0.04212
s_128,-82.8562,9.6235,0.04046,0.04046,0.04046
s_129,-83.9003,9.86731,0.03776,0.03776,0.03776
s_13,-85.178,10.349,0.132,0.132,0.132
s_130,-83.3357,9.17238,0.03698,0.03698,0.03698
s_132,-83.8036,9.84079,0.03363,0.03363,0.03363
s_134,-83.7353,10.3615,0.03027,0.03027,0.03027
s_135,-83.7031,9.37215,0.028,0.028,0.028
s_136,-83.7055,9.36981,0.02754,0.02754,0.02754
s_137,-83.076,10.003,0.02734,0.02734,0.02734
s_138,-83.1735,9.01749,0.02643,0.02643,0.02643
s_14,-84.266,10.007,0.122,0.122,0.122
s_140,-83.0893,9.98577,0.02618,0.02618,0.02618
s_141,-83.0271,9.99983,0.02605,0.02605,0.02605
s_142,-82.9573,8.43256,0.02127,0.02127,0.02127
s_144,-83.305,8.5304,0.02063,0.02063,0.02063
s_146,-82.967,8.82155,0.01798,0.01798,0.01798
s_147,-82.9376,8.63224,0.01598,0.01598,0.01598
s_148,-82.9417,8.64783,0.01376,0.01376,0.01376
s_149,-83.1713,8.6443,0.00494,0.00494,0.00494
s_15,-84.013,10.45,0.121,0.121,0.121
s_16,-83.976,9.936,0.118,0.118,0.118
s_17,-84.522,9.912,0.117,0.117,0.117
s_18,-84.242,9.915,0.117,0.117,0.117
s_19,-85.461,10.621,0.117,0.117,0.117
s_2,-84.936,9.82,0.428,0.428,0.428
s_20,-85.618,10.837,0.115,0.115,0.115
s_21,-84.296,10.005,0.114,0.114,0.114
s_22,-85.632,11.073,0.11,0.11,0.11
s_23,-84.036,9.995,0.1,0.1,0.1
s_24,-84.161,9.799,0.0887,0.0887,0.0887
s_25,-84.077,9.933,0.0851,0.0851,0.0851
s_26,-83.869,9.827,0.0844,0.0844,0.0844
s_27,-84.113,9.943,0.0829,0.0829,0.0829
s_28,-83.907,9.854,0.0827,0.0827,0.0827
s_29,-85.01,10.898,0.0826,0.0826,0.0826
s_3,-84.193,10.137,0.361,0.361,0.361
s_30,-84.071,9.936,0.0823,0.0823,0.0823
s_31,-84.65,10.552,0.081,0.081,0.081
s_32,-84.432,10.324,0.0769,0.0769,0.0769
s_33,-84.097,9.915,0.0701,0.0701,0.0701
s_34,-84.056,9.751,0.0601,0.0601,0.0601
s_35,-84.718,11.031,0.0601,0.0601,0.0601
s_36,-83.918,9.832,0.0587,0.0587,0.0587
s_37,-83.941,9.897,0.054,0.054,0.054
s_38,-84.036,9.869,0.0537,0.0537,0.0537
s_39,-84.184,9.934,0.0532,0.0532,0.0532
s_4,-84.485,10.087,0.263,0.263,0.263
s_40,-84.139,10.391,0.0518,0.0518,0.0518
s_41,-83.927,9.864,0.0468,0.0468,0.0468
s_42,-84.122,9.999,0.0462,0.0462,0.0462
s_43,-83.894,9.821,0.0458,0.0458,0.0458
s_44,-84.137,9.443,0.0442,0.0442,0.0442
s_45,-83.687,9.903,0.0442,0.0442,0.0442
s_46,-84.265,10.03,0.0441,0.0441,0.0441
s_47,-84.16,9.428,0.0429,0.0429,0.0429
s_48,-83.346,10.085,0.0413,0.0413,0.0413
s_49,-82.856,9.623,0.0397,0.0397,0.0397
s_5,-85.453,10.145,0.241,0.241,0.241
s_50,-83.9,9.867,0.037,0.037,0.037
s_51,-83.673,9.902,0.037,0.037,0.037
s_52,-83.336,9.172,0.0362,0.0362,0.0362
s_53,-83.804,9.841,0.033,0.033,0.033
s_54,-83.972,9.649,0.0317,0.0317,0.0317
s_55,-83.735,10.361,0.0298,0.0298,0.0298
s_56,-83.703,9.372,0.0275,0.0275,0.0275
