# 20120905_M7.6_Nicoya median gmf, Stations:Seismic, gmlt:GEM, Rupture:SCARDEC
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
m_104,-84.127,9.9839,0.052176595,0.050946712,0.0546899
m_105,-84.1278,9.8936,0.058343235,0.05731126,0.055895682
m_106,-84.0359,9.983,0.09504912,0.09524704,0.09936416
m_109,-84.0367,9.8927,0.07208173,0.074133664,0.075106606
m_113,-84.2205,9.7136,0.06495529,0.07269146,0.068439476
m_114,-84.1262,10.0742,0.09710842,0.09968202,0.08951716
m_120,-84.219,9.8943,0.079514615,0.07875174,0.08173982
m_123,-84.3975,10.3475,0.07812989,0.08462969,0.078355305
m_131,-84.1317,9.4419,0.045254398,0.04535817,0.04548256
m_133,-85.8548,11.2602,0.057434414,0.079054564,0.0701394
m_139,-83.9457,9.892,0.057126727,0.057496246,0.05600096
m_143,-86.3106,12.166,0.021054758,0.021284329,0.020421581
m_145,-86.2195,11.8944,0.029563626,0.033891093,0.028074916
m_74,-85.4938,10.1737,0.29568914,0.3400624,0.3155098
m_75,-85.5846,10.2645,0.52541953,0.5934146,0.52670616
m_76,-85.6748,10.5361,0.17925115,0.2561161,0.21025857
m_80,-85.6774,9.9032,0.2889013,0.37408853,0.332817
m_81,-85.7665,10.4461,0.22649384,0.3253452,0.25376952
m_83,-84.2174,10.075,0.13555482,0.13731694,0.14704332
m_84,-85.4951,9.9024,0.31877708,0.47098392,0.30204424
m_94,-84.9445,10.4419,0.13333538,0.16322704,0.1510499
m_95,-84.4909,10.0771,0.24665484,0.25045973,0.24777813
m_96,-85.3118,10.0824,0.21924089,0.2917221,0.2292312
m_97,-84.2182,9.9847,0.11502137,0.11573866,0.11135147
m_98,-84.4005,9.9861,0.13788827,0.1470452,0.15000011
m_99,-83.6778,9.3476,0.028320083,0.02887523,0.028659618
s_0,-85.648,9.979,1.58,1.58,1.58
s_1,-85.59,10.286,0.563,0.563,0.563
s_10,-84.623,9.609,0.157,0.157,0.157
s_100,-84.1613,9.79912,0.09028,0.09028,0.09028
s_101,-83.8687,9.82729,0.08602,0.08602,0.08602
s_102,-85.01,10.8981,0.08407,0.08407,0.08407
s_103,-84.0706,9.93624,0.08402,0.08402,0.08402
s_107,-84.4315,10.3242,0.0784,0.0784,0.0784
s_108,-84.0967,9.91474,0.07161,0.07161,0.07161
s_11,-85.091,10.428,0.146,0.146,0.146
s_110,-84.7176,11.0311,0.06128,0.06128,0.06128
s_111,-84.0561,9.75095,0.06123,0.06123,0.06123
