# 20030521_M6.8_Boumerdes median gmf, Stations:None, gmlt:GEM, Rupture:BelabbesEtAl2009
custom_site_id,lon,lat,AkkarEtAlRjb2014,ChiouYoungs2014
t_0,7.7128,31.87739,0.0033701141,0.00021501459
t_1,7.61152,31.89105,0.0036981767,0.00025292372
t_10,7.30727,31.93159,0.003298099,0.00024509223
t_100,8.11723,31.82197,0.0029931152,0.00015608282
t_1000,5.37521,34.13109,0.007733733,0.004111485
t_1001,5.83771,33.71856,0.0059377393,0.0021653876
t_1002,5.73336,33.73134,0.006452066,0.002484695
t_1003,5.85309,33.80573,0.0064404677,0.0025092594
t_1004,5.74864,33.81855,0.0055382913,0.0021287631
t_1005,5.86853,33.89289,0.0064116,0.0025961313
t_1006,5.76398,33.90576,0.0065010795,0.0027220007
t_1007,5.88404,33.98005,0.0065115225,0.00275501
t_1008,5.77939,33.99295,0.007115864,0.0031911621
t_1009,5.79487,34.08015,0.006860356,0.0031562366
t_101,8.01623,31.83594,0.0029529748,0.00016020858
t_1010,5.81041,34.16733,0.0059516835,0.0027357922
t_1011,5.7055,34.18024,0.007437789,0.0037487277
t_1012,5.60052,34.19306,0.00667321,0.0033490183
t_1013,5.61593,34.28032,0.008586451,0.0048682303
t_1014,5.684,34.36113,0.008659164,0.005021601
t_1015,5.6314,34.36757,0.007973959,0.0045329053
t_1016,5.57878,34.37399,0.008004214,0.0046161227
t_1017,5.69179,34.40474,0.008264306,0.0047728186
t_1018,5.63916,34.41119,0.0087565025,0.0052439393
t_1019,5.58652,34.41762,0.009339712,0.005855711
t_102,7.91516,31.84983,0.0032875703,0.00019167834
t_1020,5.6996,34.44835,0.008305299,0.0048827673
t_1021,5.49547,34.20579,0.0073247673,0.0038756614
t_1022,5.39035,34.21844,0.008091754,0.0045332727
t_1023,5.51078,34.29309,0.00824733,0.004704559
t_1024,5.40556,34.30578,0.008423872,0.004960102
t_1025,5.52615,34.38039,0.008075112,0.004730951
t_1026,5.4735,34.38676,0.009029495,0.005592471
t_1027,5.42083,34.39312,0.008689801,0.0053526084
