ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,SLIGHT/LIGHT,MODERATE,HEAVY/MAJOR,NONE,INSIGNIFICANT,MODERATE,HEAVY,MAJOR,ND, CRD,VD,FD,PC,CC,GREEN,YELLOW,RED
3,Canterbury_Region,13,Christchurch,Timber/Bamboo ,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,83,233,192,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Steel Frame ,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,74,38,20,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Tilt-up Concrete,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,35,131,29,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Concrete Frame,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,39,153,71,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,RC Frame with Masonry Infill,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,36,23,8,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Concrete Shear Wall,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,72,67,17,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Unreinforced Masonry ,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,24,183,338,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Concrete Masonry Unit,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,87,129,27,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Other,,,,,,,,,Buildings,Ground_shaking,Lin_et_al_2014 + Cambridge Earthquake Impact Database,Damage Scale: ATC-13. 2185 buildings investigated.,52,20,4,,,,,,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Unreinforced Masonry ,,,,,,,,31,Buildings,Ground_shaking,Moon_et_al_2014,Damage Scale: ATC-13. 340 URM buildings investigated.,,,,,45,86,98,80,,,,,,,,,
3,Canterbury_Region,13,Christchurch,Timber/Bamboo ,,,,,,,,,Buildings,Ground_shaking,EEFIT report + Cambridge Earthquake Impact Database,"ND: No damage; CRD: Chimney or roof tile damage	; VD: Damage to veneer; FD: Foundation damage; PC: Partial collapse; CC: Complete collapse. Survey areas: Riccarton High School recording station (RHSH), Christchurch Cashmere High School recording station (CCHS), and Heathcote Valley School recording station (HVSC). 204 URM buildings investigated.",,,,,,,,,136,37,13,14,2,2,,,
3,Canterbury_Region,13,Christchurch,Unreinforced Masonry ,,,,,,,,28,Buildings,Ground_shaking,Ingham_and_Griffith_2011,The damage level observed is classified according the ATC-13 damage scale. 368 buildings investigated.,,,,0,48,101,107,84,,,,,,,,,
3,Canterbury_Region,13,Christchurch,RC frames,,,,,,,,,Buildings,Ground_shaking,Kam_et_al_2011,"Local authorities carried out the Building Safety Evaluation (BSE) procedure (i.e., tagging). 833 RC buildings investigated.",,,,,,,,,,,,,,,179,102,76
3,Canterbury_Region,13,Christchurch,RC shear walls,,,,,,,,,Buildings,Ground_shaking,Kam_et_al_2011,"Local authorities carried out the Building Safety Evaluation (BSE) procedure (i.e., tagging). 833 RC buildings investigated.",,,,,,,,,,,,,,,44,29,18
3,Canterbury_Region,13,Christchurch,RC frames with masonry infills,,,,,,,,,Buildings,Ground_shaking,Kam_et_al_2011,"Local authorities carried out the Building Safety Evaluation (BSE) procedure (i.e., tagging). 833 RC buildings investigated.",,,,,,,,,,,,,,,98,86,25
3,Canterbury_Region,13,Christchurch,Tilt up concrete,,,,,,,,,Buildings,Ground_shaking,Kam_et_al_2011,"Local authorities carried out the Building Safety Evaluation (BSE) procedure (i.e., tagging). 833 RC buildings investigated.",,,,,,,,,,,,,,,120,40,16
