# 20010113_M7.7_Subduction median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
t_0,-88.07562,13.1642,0.080180645,0.11406823,0.1415154
t_1,-88.03968,13.1642,0.07764759,0.10997446,0.13639696
t_10,-87.91392,13.1642,0.09700675,0.12350914,0.12921397
t_100,-87.96782,13.3216,0.07198896,0.098680146,0.11467784
t_1000,-88.27325,13.5837,0.0795696,0.1071369,0.11603032
t_1001,-88.29121,13.60116,0.072660826,0.09962837,0.11557446
t_1002,-88.27325,13.60116,0.087847896,0.11445962,0.115458876
t_1003,-88.41698,13.5837,0.08322639,0.11408967,0.12796165
t_1004,-88.39901,13.5837,0.08224321,0.112639464,0.12638305
t_1005,-88.38104,13.5837,0.07782239,0.107486054,0.124830365
t_1006,-88.38104,13.60116,0.08604945,0.1155184,0.12281169
t_1007,-88.39901,13.60116,0.08008524,0.10981927,0.124331295
t_1008,-88.41698,13.60116,0.08128173,0.1114895,0.12587608
t_1009,-88.38104,13.61862,0.081832275,0.110741496,0.120836124
t_101,-87.94985,13.3216,0.06942267,0.095395155,0.112813435
t_1010,-88.39901,13.61862,0.080356486,0.10959611,0.12232359
t_1011,-88.41698,13.61862,0.078300625,0.107769154,0.12383553
t_1012,-88.39901,13.63608,0.07623868,0.104681276,0.12035868
t_1013,-88.34511,13.5837,0.07297044,0.101364814,0.12180134
t_1014,-88.36308,13.60116,0.07770625,0.106509954,0.12131755
t_1015,-88.34511,13.60116,0.080350585,0.108947486,0.11984669
t_1016,-88.32715,13.60116,0.08493303,0.11313589,0.118400216
t_1017,-88.34511,13.61862,0.08139081,0.10950602,0.11793335
t_1018,-88.36308,13.61862,0.0836479,0.11216685,0.119373426
t_1019,-88.32715,13.61862,0.07372832,0.10102432,0.11651701
t_102,-87.93189,13.3216,0.0678896,0.09326909,0.110972345
t_1020,-88.34511,13.63608,0.07775749,0.105259396,0.11606018
t_1021,-88.36308,13.63608,0.07258598,0.09997103,0.117470324
t_1022,-88.32715,13.63608,0.06600354,0.09184772,0.09083873
t_1023,-88.30918,13.60116,0.07483455,0.10234568,0.11697603
t_1024,-88.29121,13.61862,0.07763828,0.10454661,0.11374965
t_1025,-88.30918,13.61862,0.0694995,0.09597412,0.11512233
t_1026,-88.27325,13.61862,0.07562698,0.10209633,0.112399265
t_1027,-88.27325,13.63608,0.073882714,0.09981197,0.11063939
t_1028,-88.30918,13.63608,0.069675386,0.095786415,0.11330716
t_1029,-88.29121,13.63608,0.06917342,0.0949317,0.111962594
t_103,-88.02172,13.28663,0.07769765,0.107014805,0.12343848
t_1030,-88.27325,13.65354,0.06164908,0.08562957,0.08627307
t_1031,-88.29121,13.65354,0.06736938,0.09251915,0.11021117
t_1032,-88.30918,13.65354,0.061143868,0.085508905,0.08834846
t_1033,-88.41698,13.63608,0.077926315,0.106875524,0.121838704
t_1034,-88.38104,13.63608,0.08022529,0.10856988,0.11890246
t_1035,-88.39901,13.65354,0.070102684,0.09736435,0.118435375
t_1036,-88.41698,13.65354,0.07896856,0.107505836,0.11988437
t_1037,-88.38104,13.65354,0.07009336,0.097051814,0.11700952
t_1038,-88.38104,13.671,0.06678261,0.092852235,0.09122138
t_1039,-88.39901,13.671,0.06964179,0.09643891,0.116552494
t_104,-88.00375,13.28663,0.07411421,0.102566704,0.12139903
t_1040,-88.41698,13.671,0.0729943,0.10054004,0.11797133
t_1041,-88.41698,13.68846,0.07173048,0.098707505,0.116098434
t_1042,-88.39901,13.68846,0.06629062,0.09218992,0.090867095
t_1043,-88.32715,13.65354,0.07545535,0.10202935,0.11286752
t_1044,-88.34511,13.65354,0.06540849,0.09106368,0.09048459
t_1045,-88.36308,13.65354,0.065081075,0.090946764,0.09157857
t_1046,-88.32715,13.671,0.080581926,0.1068076,0.11109912
t_1047,-88.34511,13.671,0.07096791,0.09704338,0.112429954
t_1048,-88.36308,13.671,0.066386566,0.09211709,0.09013334
t_1049,-88.34511,13.68846,0.066732064,0.09188657,0.1106706
t_105,-88.00375,13.30411,0.073118076,0.10111867,0.11993629
t_1050,-88.36308,13.68846,0.06630945,0.09166948,0.111995935
t_1051,-88.32715,13.68846,0.0669832,0.0919041,0.10936303
t_1052,-88.36308,13.70591,0.07500108,0.10090401,0.110246085
t_1053,-88.21935,13.49636,0.080804765,0.10979274,0.121268176
t_1054,-88.23731,13.49636,0.07761841,0.106764376,0.12275913
t_1055,-88.25528,13.49636,0.074318945,0.103443846,0.12427545
t_1056,-88.21935,13.51383,0.07922604,0.10763455,0.11932178
t_1057,-88.23731,13.51383,0.0778847,0.106571406,0.12078132
t_1058,-88.25528,13.51383,0.07815371,0.10722618,0.12226552
t_1059,-88.23731,13.5313,0.07000391,0.09733718,0.11884551
t_106,-87.98579,13.30411,0.083304346,0.111429915,0.11797658
t_1060,-88.25528,13.5313,0.078884505,0.1075213,0.1202985
t_1061,-88.21935,13.5313,0.070432946,0.09752603,0.117416516
t_1062,-88.21935,13.54877,0.067658685,0.0939489,0.11555123
t_1063,-88.09358,13.51383,0.07496058,0.10067491,0.10949213
t_1064,-88.11155,13.5313,0.07163295,0.09704913,0.109214276
t_1065,-88.12952,13.5313,0.07408222,0.10000852,0.11057014
t_1066,-88.09358,13.5313,0.0724241,0.09758645,0.107851535
t_1067,-88.12952,13.54877,0.08084326,0.10641888,0.110063076
t_1068,-88.11155,13.54877,0.06774259,0.09237977,0.10754325
t_1069,-88.09358,13.54877,0.078911476,0.10380498,0.106220275
t_107,-88.02172,13.30411,0.090588905,0.1194462,0.12326773
t_1070,-88.12952,13.56623,0.07527858,0.1004206,0.10716123
t_1071,-88.09358,13.56623,0.072436966,0.096823364,0.10460039
t_1072,-88.11155,13.56623,0.06869418,0.09308008,0.105884574
t_1073,-88.14748,13.5313,0.07445902,0.10073569,0.11191714
t_1074,-88.18342,13.5313,0.0785861,0.105755225,0.11462536
t_1075,-88.20138,13.5313,0.070822604,0.097665675,0.11600944
t_1076,-88.16545,13.5313,0.08448143,0.111156374,0.11451504
t_1077,-88.20138,13.54877,0.07127595,0.09777299,0.11417325
t_1078,-88.16545,13.54877,0.07469963,0.100887395,0.11148247
t_1079,-88.14748,13.54877,0.07368421,0.0994862,0.11016608
t_108,-88.00375,13.3216,0.0752959,0.10320208,0.11847001
t_1080,-88.18342,13.54877,0.08234868,0.109012924,0.112817645
t_1081,-88.14748,13.56623,0.06797078,0.092826776,0.108440936
t_1082,-88.18342,13.56623,0.07090552,0.09666646,0.11104817
t_1083,-88.25528,13.54877,0.0817076,0.10994679,0.11837317
t_1084,-88.23731,13.54877,0.0759484,0.10354983,0.116950534
t_1085,-88.21935,13.56623,0.067666836,0.09358527,0.11372587
t_1086,-88.25528,13.56623,0.08107471,0.108792886,0.116489455
t_1087,-88.23731,13.56623,0.07319279,0.10010758,0.11509631
t_1088,-88.25528,13.5837,0.07947833,0.106675945,0.11464406
t_1089,-88.21935,13.5837,0.08472672,0.110967554,0.11317538
t_109,-88.02172,13.3216,0.074453056,0.10271802,0.120397404
t_1090,-88.23731,13.5837,0.07171711,0.09806476,0.11327961
t_1091,-88.23731,13.60116,0.08328328,0.109506086,0.11273476
t_1092,-88.25528,13.60116,0.08089981,0.107608706,0.112838015
t_1093,-88.20138,13.56623,0.08162481,0.10818657,0.11237617
t_1094,-88.16545,13.56623,0.06664822,0.09159946,0.109736785
t_1095,-88.16545,13.5837,0.07176878,0.09692008,0.10801795
t_1096,-88.18342,13.5837,0.06656197,0.091413215,0.109308854
t_1097,-88.14748,13.5837,0.06480198,0.08888108,0.10674246
t_1098,-88.20138,13.5837,0.07507966,0.10107776,0.11061454
t_1099,-88.16545,13.60116,0.07119322,0.09590657,0.10632763
t_11,-87.91392,13.18169,0.09038362,0.11814103,0.11994153
t_110,-87.98579,13.3216,0.07322939,0.100483425,0.116563946
t_1100,-88.20138,13.60116,0.07805304,0.103692874,0.108883515
t_1101,-88.14748,13.60116,0.07196659,0.09643916,0.105072305
t_1102,-88.18342,13.60116,0.06975642,0.09462948,0.10759824
t_1103,-88.11155,13.5837,0.07235916,0.09665365,0.10423738
t_1104,-88.09358,13.5837,0.07561134,0.09967446,0.102991074
t_1105,-88.12952,13.5837,0.08133522,0.105873674,0.10664969
t_1106,-88.12952,13.60116,0.07853849,0.1027676,0.104981296
t_1107,-88.11155,13.60116,0.07037224,0.09416071,0.102607705
t_1108,-88.09358,13.60116,0.06988029,0.093353376,0.101395115
t_1109,-88.12952,13.61862,0.07981127,0.10348155,0.10334006
t_111,-87.98579,13.33908,0.06658339,0.09261895,0.09121637
t_1110,-88.09358,13.61862,0.078290716,0.101363115,0.100917384
t_1111,-88.11155,13.61862,0.07273078,0.09624387,0.10100409
t_1112,-88.11155,13.63608,0.0785712,0.101505555,0.10052652
t_1113,-88.21935,13.60116,0.08028422,0.10625875,0.110185
t_1114,-88.25528,13.61862,0.07654151,0.10272199,0.1110692
t_1115,-88.23731,13.61862,0.07996105,0.10582252,0.10975705
t_1116,-88.21935,13.61862,0.07457887,0.10001901,0.1084612
t_1117,-88.25528,13.63608,0.08002172,0.105761975,0.109332144
t_1118,-88.23731,13.63608,0.078005634,0.10341786,0.10804045
t_1119,-88.21935,13.63608,0.06926303,0.09390129,0.10676492
t_112,-88.02172,13.33908,0.08520612,0.1135392,0.11887617
t_1120,-88.25528,13.65354,0.06935735,0.09419472,0.10762268
t_1121,-88.21935,13.65354,0.07162188,0.09607797,0.10509589
t_1122,-88.23731,13.65354,0.07316028,0.09800994,0.10635128
t_1123,-88.20138,13.61862,0.07978456,0.104920134,0.10836559
t_1124,-88.14748,13.61862,0.07759276,0.10174333,0.10457322
t_1125,-88.16545,13.61862,0.07501635,0.09951247,0.10466457
t_1126,-88.18342,13.61862,0.072491325,0.09719736,0.10591506
t_1127,-88.14748,13.63608,0.0740107,0.09775565,0.10181288
t_1128,-88.20138,13.63608,0.06959061,0.093979664,0.10550402
t_1129,-88.16545,13.63608,0.07224825,0.09624378,0.10302847
t_113,-88.03968,13.28663,0.074184716,0.103563644,0.1255001
t_1130,-88.18342,13.63608,0.07306387,0.097397186,0.10425904
t_1131,-88.18342,13.65354,0.074270174,0.09822929,0.10262988
t_1132,-88.20138,13.65354,0.07532078,0.09961077,0.10385501
t_1133,-88.12952,13.63608,0.07711852,0.100493625,0.10172565
t_1134,-88.09358,13.63608,0.069636755,0.092358574,0.098255366
t_1135,-88.12952,13.65354,0.06767585,0.09045095,0.09904228
t_1136,-88.09358,13.65354,0.07906224,0.101110145,0.09779294
t_1137,-88.11155,13.65354,0.07081823,0.09349846,0.09787549
t_1138,-88.12952,13.671,0.06645041,0.088781886,0.09749766
t_1139,-88.11155,13.671,0.0742774,0.09657245,0.097415544
t_114,-88.05765,13.28663,0.07351445,0.10325035,0.12758532
t_1140,-88.09358,13.671,0.06739247,0.0892802,0.09521628
t_1141,-88.12952,13.68846,0.05970944,0.080952585,0.09597858
t_1142,-88.11155,13.68846,0.06397397,0.08550843,0.09484952
t_1143,-88.14748,13.65354,0.075867526,0.09917886,0.10133152
t_1144,-88.16545,13.65354,0.07159927,0.09517388,0.10141902
t_1145,-88.20138,13.671,0.059380516,0.081733845,0.08098404
t_1146,-88.18342,13.671,0.062255967,0.08483689,0.10102727
t_1147,-88.14748,13.671,0.063636824,0.085926294,0.098659195
t_1148,-88.16545,13.671,0.064436786,0.087063015,0.0998359
t_1149,-88.20138,13.68846,0.06420908,0.08697267,0.10063696
t_115,-88.07562,13.30411,0.073497444,0.103318356,0.12799098
t_1150,-88.16545,13.68846,0.060356442,0.082130894,0.098278806
t_1151,-88.18342,13.68846,0.06332512,0.08573714,0.0994509
t_1152,-88.14748,13.68846,0.06292511,0.08481618,0.0971212
t_1153,-88.84817,13.26914,0.13529555,0.20803222,0.24995552
t_1154,-88.7763,13.25166,0.15902062,0.21901831,0.24245642
t_1155,-88.79427,13.25166,0.15679397,0.2215191,0.2462457
t_1156,-88.81224,13.25166,0.16133027,0.22524218,0.25009286
t_1157,-88.7763,13.26914,0.15458727,0.21486285,0.23752168
t_1158,-88.81224,13.26914,0.13131681,0.20097844,0.24232575
t_1159,-88.79427,13.26914,0.158451,0.21802853,0.24123481
t_116,-88.03968,13.30411,0.071492665,0.100126475,0.12392235
t_1160,-88.79427,13.28663,0.15807498,0.21364757,0.23632337
t_1161,-88.8302,13.26914,0.1575442,0.22350396,0.24611102
t_1162,-88.8841,13.28663,0.13666849,0.21047471,0.2525812
t_1163,-88.8302,13.28663,0.16234972,0.21918777,0.24376948
t_1164,-88.86613,13.28663,0.16224867,0.22636919,0.251448
t_1165,-88.84817,13.28663,0.16042817,0.2231998,0.24758084
t_1166,-88.84817,13.30411,0.1597806,0.21900222,0.24254587
t_1167,-88.86613,13.30411,0.16362838,0.22119926,0.24633728
t_1168,-88.8302,13.30411,0.15964387,0.215445,0.23881063
t_1169,-88.8841,13.30411,0.13398825,0.20571049,0.24745196
t_117,-88.05765,13.30411,0.072489984,0.1017124,0.12594698
t_1170,-88.7763,13.28663,0.1576492,0.20997356,0.23268658
t_1171,-88.81224,13.28663,0.15528834,0.2167981,0.24001837
t_1172,-88.81224,13.30411,0.1566734,0.21296448,0.23513573
t_1173,-88.79427,13.30411,0.15641467,0.20952785,0.23151706
t_1174,-88.7763,13.30411,0.15411638,0.20701194,0.2279682
t_1175,-88.81224,13.3216,0.15821359,0.20568813,0.2458244
t_1176,-88.7763,13.3216,0.15304708,0.2028156,0.22338209
t_1177,-88.79427,13.3216,0.15255687,0.20637631,0.22682972
t_1178,-88.79427,13.33908,0.15284215,0.2017053,0.23720738
t_1179,-88.81224,13.33908,0.15372868,0.20490408,0.22570345
t_118,-88.05765,13.3216,0.101084195,0.12798022,0.13412403
t_1180,-88.90207,13.30411,0.16909535,0.22521067,0.2540985
t_1181,-88.92003,13.30411,0.13806075,0.21295595,0.25524014
t_1182,-88.90207,13.3216,0.16727823,0.21947722,0.26565316
t_1183,-88.938,13.3216,0.16874793,0.22946371,0.2567747
t_1184,-88.92003,13.3216,0.16761623,0.22554536,0.25282487
t_1185,-88.92003,13.33908,0.16554944,0.22097053,0.24768956
t_1186,-88.90207,13.33908,0.16143627,0.21978211,0.24387527
t_1187,-88.938,13.33908,0.16785361,0.22327365,0.25156426
t_1188,-88.92003,13.35656,0.16095231,0.21876384,0.2426553
t_1189,-88.90207,13.35656,0.15937442,0.2156872,0.23891719
t_119,-88.03968,13.3216,0.09304713,0.12167443,0.123696305
t_1190,-88.8841,13.3216,0.16365145,0.2197025,0.2451009
t_1191,-88.86613,13.3216,0.1608979,0.21741731,0.24132523
t_1192,-88.8302,13.3216,0.15586154,0.21206653,0.23395112
t_1193,-88.84817,13.3216,0.15916736,0.2144379,0.23761001
t_1194,-88.8302,13.33908,0.15680936,0.2063726,0.24459454
t_1195,-88.8841,13.33908,0.15976544,0.21672286,0.24011734
t_1196,-88.86613,13.33908,0.15900889,0.21323697,0.23641793
t_1197,-88.84817,13.33908,0.15643404,0.21081084,0.23277901
t_1198,-88.8841,13.35656,0.15967913,0.21108611,0.25103378
t_1199,-88.84817,13.35656,0.15634742,0.20537424,0.24337716
t_12,-87.89595,13.18169,0.06782246,0.09432392,0.11646215
t_120,-88.07562,13.3216,0.097624764,0.12672748,0.1276878
t_1200,-88.7763,13.33908,0.15060984,0.19954197,0.2189289
t_1201,-88.79427,13.35656,0.14979759,0.19886169,0.21785788
t_1202,-88.7763,13.35656,0.14822406,0.19633156,0.21460088
t_1203,-88.81224,13.35656,0.15074067,0.20171565,0.22118574
t_1204,-88.7763,13.37404,0.14501852,0.19338195,0.21039319
t_1205,-88.81224,13.37404,0.14947557,0.19794297,0.21679568
t_1206,-88.79427,13.37404,0.14815511,0.19530669,0.22790286
t_1207,-88.7763,13.39152,0.14262097,0.19022435,0.20630127
t_1208,-88.81224,13.39152,0.14677921,0.19488637,0.21252833
t_1209,-88.79427,13.39152,0.14346938,0.19263844,0.209382
t_121,-88.07562,13.33908,0.097830676,0.12616582,0.12597337
t_1210,-88.86613,13.35656,0.15564342,0.20997393,0.23161253
t_1211,-88.8302,13.35656,0.15467349,0.20270218,0.23966761
t_1212,-88.86613,13.37404,0.1535603,0.20621225,0.22692771
t_1213,-88.8302,13.37404,0.15260407,0.19914146,0.23488103
t_1214,-88.8841,13.37404,0.15616858,0.20853305,0.23045696
t_1215,-88.84817,13.37404,0.15347199,0.20258623,0.23848574
t_1216,-88.8302,13.39152,0.15040301,0.19594486,0.23022932
t_1217,-88.8841,13.39152,0.15182692,0.20559548,0.22580603
t_1218,-88.86613,13.39152,0.15103647,0.20273015,0.22237706
t_1219,-88.84817,13.39152,0.15033735,0.19977991,0.21902384
t_122,-88.03968,13.33908,0.09444275,0.12217066,0.12210135
t_1220,-88.938,13.35656,0.16522618,0.21958677,0.24645412
t_1221,-88.92003,13.37404,0.15898468,0.21465138,0.23772264
t_1222,-88.90207,13.37404,0.15635657,0.21205886,0.23406087
t_1223,-88.938,13.37404,0.16022307,0.2178539,0.24144515
t_1224,-88.90207,13.39152,0.15318143,0.20841666,0.22931114
t_1225,-88.938,13.39152,0.15768388,0.2139949,0.23653774
t_1226,-88.92003,13.39152,0.15598777,0.21107528,0.23289168
t_1227,-88.92003,13.409,0.15362947,0.20735556,0.22817299
t_1228,-88.90207,13.409,0.15253411,0.20443624,0.22469372
t_1229,-88.938,13.409,0.15430918,0.21035385,0.23173198
t_123,-87.94985,13.33908,0.08378502,0.10997048,0.11273278
t_1230,-88.84817,13.409,0.14372447,0.19647643,0.21469559
t_1231,-88.8302,13.409,0.14387938,0.19426456,0.21150295
t_1232,-88.86613,13.409,0.14636618,0.1993024,0.21795534
t_1233,-88.8841,13.409,0.14714436,0.20181274,0.22128792
t_1234,-88.84817,13.42647,0.13782455,0.19149837,0.21049002
t_1235,-88.8841,13.42647,0.14531505,0.19836274,0.21689993
t_1236,-88.86613,13.42647,0.14073619,0.19473957,0.21365993
t_1237,-88.8302,13.42647,0.13707797,0.18938498,0.20738468
t_1238,-88.84817,13.44395,0.1348884,0.1876497,0.20639774
t_1239,-88.8302,13.44395,0.13094059,0.18359649,0.20115158
t_124,-87.96782,13.33908,0.07316454,0.09966576,0.113314696
t_1240,-88.79427,13.409,0.14040086,0.18931143,0.20531829
t_1241,-88.81224,13.409,0.14207765,0.19175953,0.20837899
t_1242,-88.7763,13.409,0.14171588,0.18700589,0.20232075
t_1243,-88.81224,13.42647,0.13627367,0.18727168,0.20434545
t_1244,-88.79427,13.42647,0.13832705,0.18616687,0.20136715
t_1245,-88.7763,13.42647,0.13379112,0.1827414,0.19844969
t_1246,-88.7763,13.44395,0.12887797,0.17800677,0.19467969
t_1247,-88.79427,13.44395,0.12798649,0.17876436,0.19535916
t_1248,-88.81224,13.44395,0.13254352,0.18315187,0.20041889
t_1249,-88.7763,13.46142,0.12383244,0.17277084,0.18892172
t_125,-87.93189,13.33908,0.06465973,0.08930514,0.10970595
t_1250,-88.90207,13.42647,0.14655477,0.20093264,0.22021031
t_1251,-88.92003,13.42647,0.1461044,0.2030159,0.22359133
t_1252,-88.938,13.42647,0.14972322,0.20640539,0.22704896
t_1253,-88.90207,13.44395,0.14126568,0.1962667,0.2158507
t_1254,-88.92003,13.44395,0.14307596,0.19903451,0.21913722
t_1255,-88.938,13.44395,0.14531054,0.2020236,0.22249742
