# 20010113_M7.7_Subduction median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInterHigh,MontalvaEtAl2017SInter,ZhaoEtAl2006SInter
s_18,-89.85012,13.91647,0.11254198,0.11275022,0.11885193
s_26,-89.49795,14.32681,0.095184095,0.093667984,0.09658277
t_0,-88.07562,13.1642,0.19290443,0.21674304,0.23897798
t_1,-88.03968,13.1642,0.18434112,0.20617631,0.2277875
t_10,-87.91392,13.1642,0.1971886,0.18897833,0.20168425
t_100,-87.96782,13.3216,0.13036504,0.13738947,0.1461971
t_1000,-88.27325,13.5837,0.18119563,0.18312721,0.18545352
t_1001,-88.29121,13.60116,0.17250915,0.17817536,0.19042516
t_1002,-88.27325,13.60116,0.19538145,0.18944225,0.18358104
t_1003,-88.41698,13.5837,0.28197354,0.2827381,0.2891235
t_1004,-88.39901,13.5837,0.2671544,0.26920217,0.27590793
t_1005,-88.38104,13.5837,0.24191573,0.24772243,0.2615194
t_1006,-88.38104,13.60116,0.24862768,0.24590883,0.24303325
t_1007,-88.39901,13.60116,0.24238466,0.24516954,0.25338733
t_1008,-88.41698,13.60116,0.2532775,0.25490397,0.26229718
t_1009,-88.38104,13.61862,0.22461513,0.22492822,0.22671601
t_101,-87.94985,13.3216,0.12203041,0.12892307,0.13895299
t_1010,-88.39901,13.61862,0.22713143,0.2287423,0.23407203
t_1011,-88.41698,13.61862,0.22649695,0.22968589,0.23996244
t_1012,-88.39901,13.63608,0.20366849,0.20741947,0.21765652
t_1013,-88.34511,13.5837,0.20509574,0.21335372,0.23288849
t_1014,-88.36308,13.60116,0.21801952,0.22240004,0.23204753
t_1015,-88.34511,13.60116,0.21507227,0.21718839,0.22098924
t_1016,-88.32715,13.60116,0.21591242,0.21381995,0.21023932
t_1017,-88.34511,13.61862,0.2092033,0.20946486,0.2099417
t_1018,-88.36308,13.61862,0.22177906,0.22035015,0.21851468
t_1019,-88.32715,13.61862,0.18475033,0.189881,0.20135714
t_102,-87.93189,13.3216,0.114920385,0.12122875,0.1311439
t_1020,-88.34511,13.63608,0.19358192,0.1956318,0.19984508
t_1021,-88.36308,13.63608,0.18670596,0.19223453,0.20643005
t_1022,-88.32715,13.63608,0.16186036,0.16975509,0.15292779
t_1023,-88.30918,13.60116,0.18485093,0.18985704,0.20000704
t_1024,-88.29121,13.61862,0.18027711,0.18213996,0.18501659
t_1025,-88.30918,13.61862,0.16881835,0.17565277,0.19299312
t_1026,-88.27325,13.61862,0.1702189,0.17287365,0.1775413
t_1027,-88.27325,13.63608,0.16494066,0.16780084,0.17342497
t_1028,-88.30918,13.63608,0.16543555,0.1713338,0.18627807
t_1029,-88.29121,13.63608,0.15968244,0.16536681,0.17969301
t_103,-88.02172,13.28663,0.15571335,0.16570081,0.17523645
t_1030,-88.27325,13.65354,0.13786265,0.14524464,0.13410452
t_1031,-88.29121,13.65354,0.1532838,0.15900744,0.1745198
t_1032,-88.30918,13.65354,0.14312622,0.15149294,0.14252666
t_1033,-88.41698,13.63608,0.21035697,0.2130682,0.22145587
t_1034,-88.38104,13.63608,0.20924337,0.21001014,0.21249425
t_1035,-88.39901,13.65354,0.17842051,0.18479659,0.20374769
t_1036,-88.41698,13.65354,0.20023346,0.2015821,0.20611234
t_1037,-88.38104,13.65354,0.17629376,0.18248434,0.20017543
t_1038,-88.38104,13.671,0.1613586,0.16821985,0.15012963
t_1039,-88.39901,13.671,0.16890942,0.17474267,0.19194518
t_104,-88.00375,13.28663,0.14647819,0.15691733,0.16916387
t_1040,-88.41698,13.671,0.17666699,0.18103103,0.1933291
t_1041,-88.41698,13.68846,0.16591887,0.17029774,0.18259043
t_1042,-88.39901,13.68846,0.15451375,0.16105616,0.14407764
t_1043,-88.32715,13.65354,0.17807478,0.18043867,0.18537438
t_1044,-88.34511,13.65354,0.15943071,0.16708302,0.15107177
t_1045,-88.36308,13.65354,0.161783,0.16986471,0.1550488
t_1046,-88.32715,13.671,0.18378949,0.1818469,0.17832448
t_1047,-88.34511,13.671,0.16664594,0.17107432,0.18249305
t_1048,-88.36308,13.671,0.15876879,0.16554467,0.14757428
t_1049,-88.34511,13.68846,0.1528478,0.15847972,0.17511974
t_105,-88.00375,13.30411,0.14178215,0.15153435,0.16381578
t_1050,-88.36308,13.68846,0.15331407,0.15939772,0.17797758
t_1051,-88.32715,13.68846,0.15167147,0.15688573,0.17187925
t_1052,-88.36308,13.70591,0.16663507,0.16781533,0.17063504
t_1053,-88.21935,13.49636,0.14889963,0.15247929,0.15726024
t_1054,-88.23731,13.49636,0.1551847,0.16137779,0.17133369
t_1055,-88.25528,13.49636,0.16102828,0.16987559,0.18648587
t_1056,-88.21935,13.51383,0.14867659,0.15228426,0.15754789
t_1057,-88.23731,13.51383,0.15676786,0.16193782,0.17010185
t_1058,-88.25528,13.51383,0.16873527,0.17471614,0.18402103
t_1059,-88.23731,13.5313,0.14386526,0.15172209,0.16962637
t_106,-87.98579,13.30411,0.15465236,0.1577761,0.15745895
t_1060,-88.25528,13.5313,0.1707462,0.17533863,0.18208155
t_1061,-88.21935,13.5313,0.13649821,0.14333111,0.15866223
t_1062,-88.21935,13.54877,0.1342309,0.14151993,0.1597247
t_1063,-88.09358,13.51383,0.13066126,0.13298723,0.13628374
t_1064,-88.11155,13.5313,0.12561248,0.12916371,0.1360476
t_1065,-88.12952,13.5313,0.1281151,0.13095729,0.13593036
t_1066,-88.09358,13.5313,0.1283777,0.13125697,0.13630013
t_1067,-88.12952,13.54877,0.14180997,0.14042842,0.13913979
t_1068,-88.11155,13.54877,0.12179633,0.12633882,0.13698943
t_1069,-88.09358,13.54877,0.14057083,0.13941948,0.13666306
t_107,-88.02172,13.30411,0.17276357,0.17274366,0.1715825
t_1070,-88.12952,13.56623,0.13654742,0.1376683,0.13908869
t_1071,-88.09358,13.56623,0.132588,0.13430789,0.13711669
t_1072,-88.11155,13.56623,0.12587366,0.12958936,0.13791895
t_1073,-88.14748,13.5313,0.1279853,0.13100888,0.13643822
t_1074,-88.18342,13.5313,0.13783288,0.13979153,0.14259954
t_1075,-88.20138,13.5313,0.13040306,0.13633701,0.14947844
t_1076,-88.16545,13.5313,0.14348544,0.14148642,0.13989854
t_1077,-88.20138,13.54877,0.13501805,0.14032596,0.15177462
t_1078,-88.16545,13.54877,0.13365896,0.13647406,0.14145933
t_1079,-88.14748,13.54877,0.13085027,0.13371077,0.1389377
t_108,-88.00375,13.3216,0.1428377,0.15062182,0.15898396
t_1080,-88.18342,13.54877,0.1485364,0.14763421,0.14566228
t_1081,-88.14748,13.56623,0.12497599,0.12966613,0.1409135
t_1082,-88.18342,13.56623,0.1338325,0.13826036,0.14781803
t_1083,-88.25528,13.54877,0.17677043,0.17860726,0.18026848
