STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
201711130228AALA.lis,201711130228AALA.lis,10.013,-84.213,seismic,Stations_LIS_UCR,0.026148949,0.071404913,0.071015134,0.026644561,0,0,0,0,0.026148949,0.071404913,0.049653946,0.025048383,0.021770636,0.05346448,0.071015134,0.026644561,0.016079002,0,0,0
201711130228AANG.lis,201711130228AANG.lis,10.2528,-84.1803,seismic,Stations_LIS_UCR,0.0175637,0.053431592,0.036596691,0.013993545,0,0,0,0,0.015526058,0.053431592,0.023796772,0.013993545,0.0175637,0.035600736,0.036596691,0.012869435,0.011421674,0,0,0
201711130228AATN.lis,201711130228AATN.lis,9.9774,-84.384,seismic,Stations_LIS_UCR,0.022676752,0.047059722,0.065132692,0.021160504,0,0,0,0,0.022676752,0.047059722,0.065132692,0.019925699,0.022481119,0.0420271,0.030180688,0.021160504,0.014098404,0,0,0
201711130228AAZR.lis,201711130228AAZR.lis,10.3744,-84.3467,seismic,Stations_LIS_UCR,0.005145769,0.011736927,0.015133784,0.013011155,0,0,0,0,0.005145769,0.010969555,0.013624595,0.011498257,0.00478508,0.011736927,0.015133784,0.013011155,0.003755905,0,0,0
201711130228ABJT.lis,201711130228ABJT.lis,10.2151,-84.2972,seismic,Stations_LIS_UCR,0.084190414,0.162991436,0.192715799,0.05000668,0,0,0,0,0.053507336,0.123877988,0.192715799,0.030959713,0.084190414,0.162991436,0.120335732,0.05000668,0.024398151,0,0,0
201711130228ACLH.lis,201711130228ACLH.lis,11.0288,-84.711,seismic,Stations_LIS_UCR,0.008860568,0.017892483,0.035680391,0.021171977,0,0,0,0,0.008860568,0.015576822,0.027441973,0.021171977,0.008789736,0.017892483,0.035680391,0.017970875,0.00357593,0,0,0
201711130228ACLS.lis,201711130228ACLS.lis,11.0311,-84.7176,seismic,Stations_LIS_UCR,0.010591684,0.018666679,0.042935171,0.02741234,0,0,0,0,0.010591684,0.017448708,0.042935171,0.02741234,0.009470368,0.018666679,0.03744557,0.020904459,0.002892055,0,0,0
201711130228ACOY.lis,201711130228ACOY.lis,9.9948,-84.2748,seismic,Stations_LIS_UCR,0.058515465,0.218835768,0.075669281,0.034262357,0,0,0,0,0.058515465,0.217686622,0.075669281,0.028599026,0.047678879,0.218835768,0.050780739,0.034262357,0.030617807,0,0,0
201711130228AFBR.lis,201711130228AFBR.lis,10.0072,-84.2658,seismic,Stations_LIS_UCR,0.043151325,0.137736985,0.090666822,0.045372218,0,0,0,0,0.0333414,0.115382376,0.090666822,0.045372218,0.043151325,0.137736985,0.079714879,0.04176359,0.017191753,0,0,0
201711130228AFRA.lis,201711130228AFRA.lis,10.1373,-84.1931,seismic,Stations_LIS_UCR,0.092594635,0.372983513,0.099564715,0.064452719,0,0,0,0,0.048405727,0.179934402,0.075944269,0.041268533,0.092594635,0.372983513,0.099564715,0.064452719,0.022680885,0,0,0
201711130228AGRE.lis,201711130228AGRE.lis,10.072,-84.313,seismic,Stations_LIS_UCR,0.042145947,0.113156739,0.127321958,0.065326748,0,0,0,0,0.042145947,0.113156739,0.127321958,0.053279702,0.033105511,0.083917286,0.113606139,0.065326748,0.021188751,0,0,0
201711130228AGRH.lis,201711130228AGRH.lis,10.0717,-84.317,seismic,Stations_LIS_UCR,0.046570045,0.127405321,0.209814564,0.082344177,0,0,0,0,0.042308353,0.127405321,0.209814564,0.082344177,0.046570045,0.079933638,0.147973907,0.07964545,0.027808388,0,0,0
201711130228AGTS.lis,201711130228AGTS.lis,10.6697,-84.8205,seismic,Stations_LIS_UCR,0.015710533,0.044700193,0.065728971,0.020542165,0,0,0,0,0.015710533,0.025765151,0.064279795,0.020542165,0.01518357,0.044700193,0.065728971,0.01732708,0.004433511,0,0,0
201711130228ALCA.lis,201711130228ALCA.lis,10.0247,-84.2821,seismic,Stations_LIS_UCR,0.03074427,0.074856381,0.033975691,0.017673718,0,0,0,0,0.030621357,0.074856381,0.027709409,0.015771867,0.03074427,0.070095496,0.033975691,0.017673718,0.012446231,0,0,0
201711130228AMTR.lis,201711130228AMTR.lis,10.5519,-84.6501,seismic,Stations_LIS_UCR,0.019875145,0.028835946,0.051773703,0.054653517,0,0,0,0,0.017318169,0.023960632,0.046861543,0.038932745,0.019875145,0.028835946,0.051773703,0.054653517,0.005958104,0,0,0
