# 20110918_M6.9_Sikkim median gmf, Stations:Seismic, gmlt:USGS, Rupture:ISC
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,ZhaoEtAl2016SSlab
m_20,88.56939999999997,27.5198,0.22114411,0.5209515,0.49015412,0.36086315
m_21,88.56690000000003,27.3393,0.17964157,0.27294105,0.26588875,0.23129474
m_22,88.45769999999999,26.7087,0.19864085,0.24698469,0.24314994,0.21234344
m_23,87.75350000000003,26.6239,0.16725357,0.45081958,0.41616425,0.21423542
m_24,88.26060000000001,27.0716,0.20841457,0.6603427,0.6128265,0.42217147
m_25,89.37709999999998,27.4181,0.07278252,0.17363594,0.16025008,0.13428272
m_26,89.4547,26.334,0.064157374,0.06714156,0.06636205,0.06260596
m_27,87.25080000000003,26.4451,0.1178687,0.22512363,0.20769742,0.12261694
m_28,91.84649999999999,26.0928,0.009591498,0.012304182,0.0113529805,0.013301677
m_29,85.53059999999999,27.6112,0.03463465,0.06916797,0.063816875,0.059223823
m_30,91.75049999999999,26.1862,0.010281028,0.013772953,0.0127076125,0.014420576
m_31,85.32659999999998,27.6992,0.036391135,0.061761014,0.05698431,0.049938355
m_32,85.428,27.7004,0.03726616,0.06915939,0.06380868,0.054329816
m_33,83.99439999999998,28.2179,0.010589079,0.014293053,0.013186514,0.014808041
m_34,85.28789999999998,23.3653,0.005344155,0.0038598822,0.0035610562,0.0058374153
m_35,88.41110000000003,22.6458,0.00512753,0.0040136534,0.0037029227,0.0060006683
m_36,85.15750000000003,25.621,0.013913433,0.018911816,0.01744771,0.018114958
m_37,85.3492,26.1649,0.030664487,0.035512008,0.032763977,0.030400585
m_38,91.8245,25.5529,0.008376318,0.009913998,0.009147362,0.0113926185
m_39,88.41200000000003,22.7361,0.005362021,0.004341077,0.0040049977,0.006342467
m_40,88.31299999999999,22.5564,0.0049231965,0.0037260312,0.0034375677,0.00569379
m_41,93.5992,27.1023,0.004837974,0.00371792,0.003430254,0.0056839744
m_42,91.8021,22.3098,0.0027562457,0.0013644615,0.001258827,0.0028079713
m_43,92.656,26.3334,0.013992348,0.019339308,0.018991077,0.019873811
s_0,88.42000000000002,26.71,0.20612,0.20612,0.20612,0.20612
s_1,88.62,27.35,0.16122,0.16122,0.16122,0.16122
s_10,80.09000000000003,29.33,0.00204,0.00204,0.00204,0.00204
s_11,79.39999999999998,28.99,0.00204,0.00204,0.00204,0.00204
s_12,79.32,30.41,0.00204,0.00204,0.00204,0.00204
s_13,88.62700000000001,27.352,0.36735,0.36735,0.36735,0.36735
s_14,88.428,26.712,0.20612,0.20612,0.20612,0.20612
s_15,89.44,26.319,0.05918,0.05918,0.05918,0.05918
s_16,88.14600000000002,25.0,0.02347,0.02347,0.02347,0.02347
s_17,80.207,29.579,0.00408,0.00408,0.00408,0.00408
s_18,79.32,30.412,0.00204,0.00204,0.00204,0.00204
s_19,80.09500000000003,29.334,0.00204,0.00204,0.00204,0.00204
s_2,89.44,26.31,0.05918,0.05918,0.05918,0.05918
