FIELD,DESCRIPTION
Year,2015
Country,Nepal
Region,South Asia
Event Name,Gorkha 2015
Local Date,25/04/2015
Local Time,11:56:25
Longitude (decimal degrees),84.7314
Latitude (decimal degrees),28.2305
Depth (km),8.22
Mw,7.8
Max Intensity (MMI),IX
Fault mechanism,Thrust/reverse
Tectonic region type,Subduction interface
Fatalities,8659-9094
Injured,17932-24000
Displaced population,95100-649815
Affected population,27723-5621790
Affected units,~8000000
Damaged units,256697-288856
Collapsed units,498852-604930
Economic losses,6000-7000 M USD
Insured losses,100 M USD
Earthquake-triggered effects,"Avalanches on Mount Everest, landslides"
USGS event ID,us20002926
Wikipedia page,https://en.wikipedia.org/wiki/April 2015 Nepal earthquake
