FIELD,DESCRIPTION
Year,2011
Country,Turkey
Region,Europe
Event Name,Van 2011
Local Date,23/10/2011
Local Time,13:41:23
Latitude (decimal degrees),38.721
Longitude (decimal degrees),43.508
Depth (km),18
Mw,7.1
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Active Shallow Crust
Fatalities,~604
Injured,2608-4152
Displaced population,22000-150000
Affected population,32938-700000
Affected units,4882-40300 Buildings
Damaged units,5739-33016 Buildings
Collapsed units,2262-2309 Buildings
Economic losses,1500 M USD
Insured losses,90 M USD
Earthquake-triggered effects,
USGS event ID,usp000j9rr
Wikipedia page,https://en.wikipedia.org/wiki/2011 Van earthquakes
