STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE
TEH91,TEH91,35.7406,51.3637,seismic,BHRC,0.0013013496,0.0013253174,0.0016136597,0.0021070357,0,0,0,0,0.0013013496,0.0013253174,0.0016136597,0.0021070357,0.0010773802,0.0011129338,0.0014035725,0.0020539862,0.0009380765,0.0009715136,0.0010192529,0.0013250504,,
MTL2,MTL2,38.471,46.711,seismic,BHRC,0.00392779,0.0050580542,0.0064007634,0.01238707,0,0,0,0,0.0037261397,0.0043410431,0.0059014128,0.01238707,0.00392779,0.0050580542,0.0064007634,0.0115553806,0.0020197003,0.0020677029,0.0032114517,0.0035847782,,
SPZ,SPZ,34.4598,45.8686,seismic,BHRC,0.697676,1.7195242333,0.8933081768,0.711955804,0,0,0,0,0.564345,1.7195242333,0.8933081768,0.5425391253,0.697676,1.4758249285,0.4702463912,0.711955804,0.392701,0.3608616382,0.2623793138,0.2295872793,619,inferred
EBH,EBH,35.9723,46.8333,seismic,BHRC,0.0177127003,0.0253928688,0.0191556743,0.0167627421,0,0,0,0,0.0177127003,0.0253928688,0.0155763825,0.0167627421,0.0134457003,0.0253734516,0.0191556743,0.0155986815,0.0097857105,0.0161758141,0.0134429619,0.0093572459,466,inferred
SUM,SUM,33.8805,45.6415,seismic,BHRC,0.0625841998,0.1932389946,0.0977089897,0.1180411558,0,0,0,0,0.0580543996,0.1785229239,0.0977089897,0.0833947199,0.0625841998,0.1932389946,0.0734269739,0.1180411558,0.0276333996,0.0536163267,0.0572137402,0.041745285,642,inferred
DGO,DGO,35.2752,47.4153,seismic,BHRC,0.0341978002,0.047801241,0.0791002522,0.0815443771,0,0,0,0,0.0254388002,0.047801241,0.0586399165,0.0650394343,0.0341978002,0.0447851964,0.0791002522,0.0815443771,0.0189412997,0.0553291795,0.0536868892,0.0514746508,,
BIS,BIS,32.8253,46.9739,seismic,BHRC,0.0181897003,0.0372780208,0.0265816521,0.0229926842,0,0,0,0,0.0181897003,0.0372780208,0.0206323687,0.0229926842,0.0133069001,0.0301258149,0.0265816521,0.0202470854,0.0129372997,0.0179741292,0.0229299575,0.0150794272,873,inferred
SAN2,SAN2,35.3049,46.9995,seismic,BHRC,0.0142971998,0.0234144648,0.0293255516,0.0265572301,0,0,0,0,0.0110469001,0.0205225447,0.0254862644,0.0233885408,0.0142971998,0.0234144648,0.0293255516,0.0265572301,0.013479,0.0301867586,0.0556026603,0.0407657228,,
SNI,SNI,34.4048,46.859,seismic,BHRC,0.0615200999,0.1380264986,0.0971850358,0.0633923351,0,0,0,0,0.0369530999,0.1380264986,0.0611944208,0.0276643707,0.0615200999,0.1358328618,0.0971850358,0.0633923351,0.0198717003,0.0438712484,0.0439149023,0.0436088454,323,inferred
PHL,PHL,33.0088,46.8842,seismic,BHRC,0.0258831998,0.047484021,0.0643190754,0.0576386001,0,0,0,0,0.0237398002,0.035910466,0.0643190754,0.0472539821,0.0258831998,0.047484021,0.0436108559,0.0576386001,0.0155793996,0.021688858,0.0269333447,0.0236687591,844,inferred
