STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
SPZ,SPZ,34.4598,45.8686,seismic,BHRC,0.697676,1.7195242333,0.8933081768,0.711955804,0.0,0.0,0.0,0.0,0.564345,1.7195242333,0.8933081768,0.5425391253,0.697676,1.4758249285,0.4702463912,0.711955804,0.392701,0.3608616382,0.2623793138,0.2295872793,619.0,inferred,,,,,,
GRS,GRS,34.2181,45.8457,seismic,BHRC,0.315498,0.777810075,0.7179485302,0.3975049057,0.0,0.0,0.0,0.0,0.282688,0.5093683546,0.7179485302,0.3975049057,0.315498,0.777810075,0.5654194897,0.2899525117,0.2383,0.5807805332,0.320089085,0.1021325421,403.0,inferred,,,,,,
KRD,KRD,34.2796,46.2403,seismic,BHRC,0.266388,0.6302506405,0.5290377437,0.3100293475,0.0,0.0,0.0,0.0,0.266388,0.6302506405,0.5290377437,0.3100293475,0.199573,0.3710876116,0.27333428,0.250462509,0.1845,0.1221985095,0.1400790343,0.1396024539,800.0,inferred,,,,,,
JAV,JAV,34.81,46.49,seismic,BHRC,0.211946,0.4789935327,0.4766286969,0.3019294807,0.0,0.0,0.0,0.0,0.185578,0.4789935327,0.4766286969,0.1798579555,0.211946,0.4744130847,0.4582359514,0.3019294807,0.0674485005,0.1418021347,0.0959782276,0.094100391,298.0,inferred,,,,,,
LUM,LUM,33.5697,46.8159,seismic,BHRC,0.142074,0.3710712558,0.1763970854,0.1510097305,0.0,0.0,0.0,0.0,0.142074,0.3710712558,0.1763970854,0.1138140113,0.0751341998,0.1961899414,0.1515033874,0.1510097305,0.0426130999,0.1480102801,0.0791815901,0.1188470236,413.0,inferred,,,,,,
KRM2,KRM2,34.36,47.1199,seismic,BHRC,0.126696,0.1950562539,0.2544244886,0.1532782872,0.0,0.0,0.0,0.0,0.126696,0.1950562539,0.2544244886,0.1435952721,0.0694722997,0.1583969613,0.1707101377,0.1532782872,0.0340518002,0.0557068322,0.0936858065,0.0751734128,,,,,,,,
ELA,ELA,34.1101,46.53,seismic,BHRC,0.125934,0.2251266964,0.2334326361,0.3441750662,0.0,0.0,0.0,0.0,0.0974832997,0.2251266964,0.2170628535,0.2695888035,0.125934,0.2014701759,0.2334326361,0.3441750662,0.0558516004,0.1039922688,0.1988656044,0.1052613984,266.0,inferred,,,,,,
RVN,RVN,34.652,46.652,seismic,BHRC,0.1229,0.3199598419,0.2551773736,0.185556629,0.0,0.0,0.0,0.0,0.104053,0.2242860138,0.2551773736,0.185556629,0.1229,0.3199598419,0.1757773787,0.1131271536,0.039676,0.1508537688,0.0992513661,0.0666284063,267.0,inferred,,,,,,
HML,HML,33.9401,46.7711,seismic,BHRC,0.0953030999,0.3045537195,0.3273988963,0.1081372574,0.0,0.0,0.0,0.0,0.0953030999,0.1932649676,0.3273988963,0.1081372574,0.0751828002,0.3045537195,0.2322004333,0.0679174196,0.0359045005,0.0800024151,0.0963513424,0.0439094133,261.0,inferred,,,,,,
AVZ,AVZ,33.3941,46.5983,seismic,BHRC,0.093729,0.1073630155,0.1080631658,0.0942502637,0.0,0.0,0.0,0.0,0.093729,0.1073630155,0.1080631658,0.076980776,0.0888116004,0.0692950539,0.077479768,0.0942502637,0.0558437003,0.0710126554,0.0633553334,0.0407582076,325.0,inferred,,,,,,
