FIELD,DESCRIPTION
Year,2005
Region,Middle_East
Country,Iran
Event_Name,Zarand
Local_Date,22/02/2005
Local_Time,05:55:21
Longitude,56.746
Latitude,30.804
Depth_(km),14
Mw,6.5
Max_Intensity_(MMI),VIII
Fault_mechanism,Thrust
Tectonic_region_type,Active Crustal
Fatalities,400-912
Injured,1000-2000
Displaced_Population,
Affected_Population,32000-93355
Affected_Units,
Damaged_Units,7000-15087 Buildings
Collapsed_Units,8000-12449 Buildings
Economic_Losses,79-80 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000dgpx/executive
Wikipedia page,https://en.wikipedia.org/wiki/2005_Zarand_earthquake
