# 20180618_M5.5_Osaka median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,BooreEtAl2014,ChiouYoungs2014,ZhaoEtAl2016Asc
m_1,135.6015,34.8358,0.6684652,0.5795105,0.65591156
m_16,135.4916,34.7461,0.3294782,0.310719,0.31642786
m_18,135.38239999999996,34.7465,0.25023094,0.24061607,0.21980043
m_2,135.71090000000004,34.8352,0.44500843,0.3793634,0.36672986
m_21,135.7101,34.745,0.12990241,0.13742653,0.13080339
m_22,135.8211,34.9247,0.12353903,0.13650393,0.14410508
m_23,135.5996,34.5653,0.119283624,0.10889762,0.07885443
m_24,135.8202,34.8345,0.18271974,0.18760838,0.18431325
m_26,135.27279999999996,34.6566,0.094715044,0.095807366,0.10990421
m_34,135.49109999999996,34.6559,0.21777318,0.21127427,0.1931516
m_35,135.70929999999998,34.6549,0.17601044,0.18030429,0.1800362
m_39,135.382,34.6563,0.16559961,0.16657244,0.1704532
m_40,135.8193,34.7443,0.19044864,0.18968242,0.16861996
m_41,135.60019999999997,34.6554,0.21963942,0.21087565,0.18310174
m_42,135.2731,34.7468,0.09505427,0.09998001,0.104906954
m_43,135.0546,34.6569,0.0539113,0.05519319,0.06923919
m_45,135.1637,34.6568,0.10119149,0.09507869,0.064388156
m_5,135.49220000000003,34.8363,0.434868,0.46881807,0.47279063
m_50,135.7124,35.0155,0.1914913,0.1968449,0.2092285
m_52,135.81849999999997,34.6542,0.17390426,0.16929308,0.15320402
m_53,135.49059999999997,34.5658,0.1177725,0.1210195,0.11071714
m_56,135.9316,35.0141,0.10630527,0.10181659,0.08198456
m_61,135.822,35.0148,0.1170834,0.1194332,0.12073493
m_67,135.1639,34.747,0.06435059,0.066036135,0.06572136
m_7,135.60090000000002,34.7456,0.3976985,0.35966054,0.37988892
m_9,135.7117,34.9254,0.36527994,0.3816614,0.38953927
s_0,135.5958,34.8573,0.8104,0.8104,0.8104
s_10,135.72720000000004,34.7154,0.25286,0.25286,0.25286
s_100,136.4996,34.2777,0.0265,0.0265,0.0265
s_101,135.19600000000003,35.5354,0.02642,0.02642,0.02642
s_102,134.55200000000002,34.9959,0.0251,0.0251,0.0251
s_103,136.8639,34.9965,0.02503,0.02503,0.02503
s_104,135.75189999999998,35.4965,0.02458,0.02458,0.02458
s_105,134.6098,34.203,0.02384,0.02384,0.02384
s_106,135.1827,35.2759,0.02375,0.02375,0.02375
s_107,135.7552,33.938,0.02283,0.02283,0.02283
s_108,136.17430000000002,35.9067,0.02211,0.02211,0.02211
s_109,136.01369999999997,36.0386,0.02188,0.02188,0.02188
s_11,135.2713,34.9515,0.21038,0.21038,0.21038
s_110,134.79250000000002,34.4149,0.0218,0.0218,0.0218
s_111,134.33860000000004,35.1737,0.02159,0.02159,0.02159
s_112,135.11599999999999,34.0996,0.02132,0.02132,0.02132
s_113,135.90840000000003,35.5479,0.02067,0.02067,0.02067
s_114,134.6284,35.6411,0.02055,0.02055,0.02055
s_115,136.0575,35.6447,0.02048,0.02048,0.02048
s_116,134.66520000000003,35.3326,0.02032,0.02032,0.02032
s_117,134.39,34.7551,0.01996,0.01996,0.01996
s_118,136.75,35.2976,0.01974,0.01974,0.01974
s_119,133.73109999999997,35.1702,0.01937,0.01937,0.01937
s_12,135.80470000000003,34.8784,0.19909,0.19909,0.19909
s_120,133.9067,34.654,0.01933,0.01933,0.01933
s_121,134.90139999999997,34.3405,0.01896,0.01896,0.01896
s_122,137.14639999999997,35.0812,0.01838,0.01838,0.01838
s_123,135.4305,34.2755,0.01821,0.01821,0.01821
s_124,134.2804,34.5452,0.01781,0.01781,0.01781
s_125,134.005,35.0684,0.01745,0.01745,0.01745
s_126,136.3154,36.3028,0.01737,0.01737,0.01737
s_127,136.1565,36.2193,0.01724,0.01724,0.01724
s_128,136.9087,34.7788,0.01697,0.01697,0.01697
s_129,134.1884,34.7454,0.0169,0.0169,0.0169
s_13,135.3499,34.7463,0.18651,0.18651,0.18651
s_130,135.2919,35.6767,0.01644,0.01644,0.01644
s_131,136.4715,35.2834,0.01635,0.01635,0.01635
s_132,134.21979999999996,35.4853,0.01624,0.01624,0.01624
s_133,136.2065,35.5398,0.01604,0.01604,0.01604
s_134,134.32280000000003,34.9848,0.01566,0.01566,0.01566
s_135,136.22789999999998,36.0444,0.0153,0.0153,0.0153
s_136,135.586,34.216,0.01494,0.01494,0.01494
s_137,136.7568,35.4248,0.01441,0.01441,0.01441
s_138,134.54589999999996,35.1637,0.01434,0.01434,0.01434
s_139,134.20749999999998,35.3432,0.01422,0.01422,0.01422
s_14,135.39,34.9707,0.18644,0.18644,0.18644
s_140,137.53139999999996,34.7194,0.01415,0.01415,0.01415
s_141,137.2158,35.3882,0.01413,0.01413,0.01413
s_142,134.09230000000002,34.9176,0.01411,0.01411,0.01411
s_143,133.92560000000003,35.2793,0.01394,0.01394,0.01394
s_144,134.582,34.0438,0.0137,0.0137,0.0137
s_145,135.1694,34.2288,0.01367,0.01367,0.01367
s_146,135.4309,34.0841,0.01342,0.01342,0.01342
s_147,134.0548,35.4606,0.01323,0.01323,0.01323
s_148,137.0,35.4426,0.01296,0.01296,0.01296
s_149,136.9072,35.5454,0.0129,0.0129,0.0129
s_15,135.5016,35.1637,0.1656,0.1656,0.1656
s_150,136.9737,35.0632,0.01278,0.01278,0.01278
s_151,134.4192,33.6692,0.01222,0.01222,0.01222
s_152,137.04470000000003,34.9119,0.01194,0.01194,0.01194
s_153,136.62469999999996,36.1805,0.01169,0.01169,0.01169
s_154,136.19979999999998,35.7731,0.01124,0.01124,0.01124
s_155,136.48649999999998,35.9789,0.01114,0.01114,0.01114
s_156,136.73339999999996,34.4908,0.01094,0.01094,0.01094
s_157,134.45,35.6194,0.01085,0.01085,0.01085
s_158,136.74040000000002,35.1732,0.01085,0.01085,0.01085
s_159,136.9153,35.2979,0.01081,0.01081,0.01081
s_160,136.9808,35.7593,0.01077,0.01077,0.01077
s_161,133.7317,35.0098,0.01063,0.01063,0.01063
s_162,133.82529999999997,35.429,0.0106,0.0106,0.0106
s_163,135.1524,33.8908,0.01028,0.01028,0.01028
s_164,136.0822,33.8783,0.0102,0.0102,0.0102
s_165,137.42970000000003,34.9803,0.01019,0.01019,0.01019
s_166,133.7545,34.5893,0.01004,0.01004,0.01004
s_167,136.8311,35.9219,0.00986,0.00986,0.00986
s_168,135.38909999999998,35.4759,0.00971,0.00971,0.00971
s_169,133.7876,34.4462,0.00964,0.00964,0.00964
s_17,135.8352,34.6683,0.15342,0.15342,0.15342
s_170,134.7292,34.2499,0.00961,0.00961,0.00961
s_171,134.59140000000002,33.7749,0.00953,0.00953,0.00953
s_172,137.5,35.4887,0.0094,0.0094,0.0094
s_173,137.70780000000002,35.8562,0.00935,0.00935,0.00935
s_174,135.10220000000004,35.7406,0.00935,0.00935,0.00935
s_175,137.8374,35.5232,0.0093,0.0093,0.0093
s_176,137.22000000000003,34.8263,0.00901,0.00901,0.00901
s_177,135.48829999999998,33.8938,0.00876,0.00876,0.00876
s_178,134.18560000000002,34.2496,0.00865,0.00865,0.00865
s_179,134.0374,34.3473,0.00858,0.00858,0.00858
s_180,137.52949999999998,35.8132,0.00845,0.00845,0.00845
s_181,134.05,35.1787,0.00835,0.00835,0.00835
s_182,137.40390000000002,35.4495,0.00832,0.00832,0.00832
s_183,137.8164,34.8738,0.00804,0.00804,0.00804
s_184,133.90359999999998,34.8701,0.0079,0.0079,0.0079
s_185,135.7735,33.8375,0.0076,0.0076,0.0076
s_186,134.40089999999998,34.2271,0.00755,0.00755,0.00755
s_187,135.7835,33.472,0.00746,0.00746,0.00746
s_188,136.4432,36.3967,0.00734,0.00734,0.00734
s_189,135.98130000000003,33.7209,0.00719,0.00719,0.00719
s_19,135.471,34.5894,0.14842,0.14842,0.14842
s_190,134.39750000000004,35.3415,0.00717,0.00717,0.00717
s_191,138.1116,36.0454,0.00701,0.00701,0.00701
s_192,137.1617,35.6637,0.007,0.007,0.007
s_193,136.6682,35.9097,0.00669,0.00669,0.00669
s_194,136.8872,36.56,0.00649,0.00649,0.00649
s_195,134.57479999999998,35.4582,0.00648,0.00648,0.00648
s_196,137.387,35.3009,0.00643,0.00643,0.00643
s_197,137.245,35.8029,0.00641,0.00641,0.00641
s_198,136.95280000000002,36.0333,0.00633,0.00633,0.00633
s_199,137.4047,34.7549,0.00618,0.00618,0.00618
s_20,135.8188,34.9962,0.14506,0.14506,0.14506
s_200,138.476,35.041,0.00617,0.00617,0.00617
s_201,134.6039,33.8716,0.00611,0.00611,0.00611
s_202,135.37720000000002,33.7289,0.00595,0.00595,0.00595
s_203,137.82550000000003,35.9748,0.00585,0.00585,0.00585
