# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Kobayashi
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
t_0,82.93477,27.03676,0.10296976,0.07864731,0.07967848,0.074990995,0.08541918,0.07803093,0.02875352
t_1,82.93477,27.11675,0.11206797,0.08642142,0.08241348,0.0828136,0.09526427,0.08080527,0.03863678
t_10,82.93477,27.83404,0.08464411,0.068201,0.08456138,0.06274442,0.068157345,0.09383611,0.040351138
t_100,83.20426,27.59546,0.14774325,0.12119008,0.11572495,0.106904894,0.13019082,0.11723462,0.060531273
t_1000,85.80938,27.67504,0.5306912,0.54543424,0.12945345,0.35088363,0.6576631,0.2485503,0.84005195
t_1001,85.80938,27.75457,0.4939171,0.51176256,0.1290838,0.32599482,0.6164256,0.24440643,0.7998998
t_1002,85.80938,27.83404,0.48498738,0.4930284,0.12869953,0.31430188,0.608065,0.2404305,0.7631101
t_1003,85.80938,27.91345,0.4756178,0.4756873,0.12830098,0.30357146,0.5990053,0.23660229,0.7292142
t_1004,85.80938,27.9928,0.46535203,0.45912457,0.1278768,0.29340252,0.58924526,0.23280448,0.6969979
t_1005,85.80938,28.07209,0.46702155,0.4520146,0.12742765,0.28884828,0.5950491,0.22904584,0.6664329
t_1006,85.80938,28.15132,0.44266024,0.42857516,0.12696394,0.27483872,0.56864846,0.225407,0.63803583
t_1007,85.80938,28.2305,0.42220917,0.40972137,0.12630115,0.26349813,0.5054014,0.22056535,0.6019835
t_1008,85.80938,28.30962,0.38054693,0.36507264,0.124345556,0.2369568,0.3838001,0.20814657,0.5178191
t_1009,85.80938,28.38867,0.3671091,0.32855776,0.18373993,0.21921271,0.3238866,0.28832892,0.4215216
t_101,83.20426,27.67504,0.14287084,0.11719788,0.11684318,0.101035275,0.12467631,0.11855495,0.061812434
t_1010,85.80938,28.46767,0.3581775,0.300925,0.17805724,0.2154208,0.30516475,0.26455,0.44973713
t_1011,85.80938,28.54661,0.32385623,0.26525578,0.17135212,0.19533838,0.26542696,0.2418096,0.36454907
t_1012,85.80938,28.6255,0.22769168,0.19420522,0.106359854,0.13782021,0.16923252,0.14272177,0.21982154
t_1013,85.80938,28.70432,0.25588378,0.20039496,0.15597473,0.14932281,0.1959961,0.20192271,0.24443886
t_1014,85.80938,28.78308,0.25120968,0.19852771,0.1651412,0.1697942,0.20583242,0.1849398,0.14789864
t_1015,85.80938,28.86178,0.20497793,0.15491767,0.1385721,0.1191986,0.15297915,0.16977951,0.17036165
t_1016,85.80938,28.94043,0.19604953,0.1457539,0.13026096,0.115327254,0.14876586,0.15622252,0.14420712
t_1017,85.80938,29.01901,0.15764782,0.11661477,0.12233534,0.09358133,0.11441253,0.14409332,0.09018287
t_1018,85.80938,29.09753,0.12440871,0.094644204,0.074147984,0.07881284,0.08996916,0.08175935,0.07750355
t_1019,85.80938,29.176,0.117013894,0.087877095,0.0696009,0.07466641,0.08496972,0.0751909,0.06706994
t_102,83.20426,27.75457,0.10692921,0.09035829,0.10454292,0.076983616,0.08852828,0.11909535,0.06266649
t_1020,85.80938,29.2544,0.10880967,0.080993444,0.06534125,0.07042275,0.079287075,0.06932221,0.058397133
t_1021,85.80938,29.33275,0.10290773,0.07584182,0.061358336,0.067319594,0.07528734,0.06406071,0.051121328
t_1022,85.80938,29.41103,0.107002735,0.077156916,0.08927715,0.06913317,0.07965487,0.09957186,0.061464995
t_1023,85.89921,27.03676,0.4285476,0.52056295,0.1938105,0.3554281,0.45017618,0.3554339,0.77098036
t_1024,85.89921,27.11675,0.543073,0.66232616,0.19648899,0.4549542,0.58392304,0.3920568,1.0675945
t_1025,85.89921,27.19668,0.62142086,0.6567465,0.19675341,0.54006076,0.73191744,0.3973869,1.2329086
t_1026,85.89921,27.27655,0.5938717,0.6590473,0.1964509,0.44039106,0.68395686,0.39133394,1.0607413
t_1027,85.89921,27.35636,0.52743936,0.61503094,0.13056235,0.39253652,0.6303604,0.2637705,1.005039
t_1028,85.89921,27.43612,0.52031857,0.58878815,0.1302695,0.37526917,0.63286513,0.25921792,0.9526173
t_1029,85.89921,27.51582,0.5140514,0.5657764,0.12997162,0.36033547,0.63126165,0.25503135,0.90678793
t_103,83.20426,27.83404,0.09423184,0.0819474,0.06737054,0.07088132,0.07754827,0.07208553,0.062406234
t_1030,85.89921,27.59546,0.5068469,0.5438319,0.12964602,0.34626698,0.62699527,0.2508564,0.86323243
t_1031,85.89921,27.67504,0.5836911,0.54581267,0.19446786,0.38042468,0.73972666,0.36264268,0.9839874
t_1032,85.89921,27.75457,0.48986176,0.50315285,0.12891279,0.3206078,0.6127738,0.24259916,0.7829715
t_1033,85.89921,27.83404,0.4808333,0.48514867,0.12852386,0.30941516,0.6041004,0.23870917,0.747688
t_1034,85.89921,27.91345,0.4711222,0.46821705,0.12811524,0.29897553,0.5947327,0.23490699,0.7146636
t_1035,85.89921,27.9928,0.46054262,0.45205626,0.12768151,0.2890857,0.58476883,0.23113951,0.68330026
t_1036,85.89921,28.07209,0.44915912,0.4366464,0.1272232,0.27972,0.5743991,0.2274134,0.65355146
t_1037,85.89921,28.15132,0.4358644,0.42236894,0.12675494,0.27109626,0.55828446,0.22383764,0.626138
t_1038,85.89921,28.2305,0.40568095,0.39249954,0.12561731,0.2532108,0.45016822,0.2159418,0.5693048
t_1039,85.89921,28.30962,0.40559205,0.3617265,0.1863376,0.24134104,0.38220924,0.30137822,0.47495857
t_104,83.20426,27.91345,0.093416266,0.08105645,0.0668579,0.07031829,0.07680884,0.07138198,0.061373025
t_1040,85.89921,28.38867,0.33322296,0.30109528,0.119321145,0.20079686,0.28195864,0.18387356,0.38266182
t_1041,85.89921,28.46767,0.33305544,0.27753928,0.17522126,0.1961119,0.27127394,0.25438246,0.41001126
t_1042,85.89921,28.54661,0.29032472,0.23649259,0.1681786,0.16828535,0.22367379,0.2323907,0.3330097
