ID_2,NAME_2,NAME_1,POPULATION,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,INJURIES_LIGHT,SLIGHTLY_INJURED,INJURIES_SEVERLY,DISPLACED_POPULATION,AFFECTED_POPULATION,TOTAL_UNITS,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
1,,Istanbul,17738,,,,,,,,,6522,,,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
2,,Istanbul,231799,281,,,,,630,,,14030,,614,126,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
3,,Istanbul,469844,,,,40,40,,,,19690,,62,5,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
4,,Istanbul,206459,,,,450,450,14,,,10067,,49,15,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
5,,Istanbul,557588,67,,,,,85,,,36059,,339,83,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
6,,Istanbul,182864,,,,32,32,,,,28280,,,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
7,,Istanbul,234964,17,,,125,125,4,,,26468,,15,3,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
8,,Istanbul,182658,,,,,,,,,14399,,9,3,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
9,,Istanbul,34737,1,,,,,163,,,3348,,118,9,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
10,,Istanbul,237874,,,,3,3,44,,,20195,,19,8,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
12,,Istanbul,54518,,,,,,4,,,14149,,12,4,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
13,,Istanbul,232104,,,,,,,,,25718,,19,7,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
14,,Istanbul,394042,,,,64,64,753,,,31947,,40,9,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
15,,Istanbul,271874,,,,,,87,,,10655,,25,1,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
16,,Istanbul,667809,,,,151,151,,,,56484,,32,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
17,,Istanbul,660619,,,,,,6,,,38615,,4,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
18,,Istanbul,332090,,,,714,714,6,,,24295,,7,2,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
19,,Istanbul,342477,,,,29,29,,,,28737,,10,1,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
20,,Istanbul,589139,42,,,302,302,8,,,45817,,146,17,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
21,,Istanbul,345662,,,,,,,,,25313,,15,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
22,,Istanbul,372553,,,,210,210,,,,39877,,39,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
23,,Istanbul,212996,,,,5,5,,,,30781,,7,2,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
26,,Istanbul,271003,,,,602,602,,,,22576,,4,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
28,,Istanbul,100609,8,,,,,11,,,14727,,71,13,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
29,,Istanbul,443358,,,,,,6,,,43473,,18,2,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
30,,Istanbul,496402,,,,1380,1380,,,,43021,,15,1,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
32,,Istanbul,239927,,,,,,1,,,15573,,12,1,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
902,,Istanbul,388003,,,,,,11,,,22700,,11,,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
903,,Istanbul,15624,,,,3,3,2,,,2573,,10,5,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
904,,Istanbul,44432,2,,,125,125,3,,,8534,,20,1,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
