FIELD,DESCRIPTION
Year,2015
Country,Chile
Region,South America
Event Name,Illapel 2015
Local Date,16/09/2015
Local Time,19:54:33
Latitude (decimal degrees),-31.5729
Longitude (decimal degrees),-71.6744
Depth (km),22.44
Mw,8.3
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Subduction Intraslab
Fatalities,13-19
Injured,14-34
Displaced population,>16646
Affected population,688-681499
Affected units,
Damaged units,1791-10685 
Collapsed units,1069-2872 
Economic losses,600-900 M USD
Insured losses,350 M USD
Earthquake-triggered effects,"Tsunami, Landslides"
USGS event ID,us20003k7a
Wikipedia page,https://en.wikipedia.org/wiki/2015 Illapel earthquake
