custom_site_id,lon,lat,vs30
t_0,-70.12141,-28.91301,900
t_1,-70.25316,-28.88686,900
t_2,-70.38495,-28.86081,900
t_3,-69.82806,-28.84973,900
t_4,-69.95981,-28.82331,900
t_5,-70.09162,-28.797,787
t_6,-70.22347,-28.77077,900
t_7,-70.35539,-28.74464,900
t_8,-69.79798,-28.73364,808
t_9,-69.92984,-28.70715,777
t_10,-70.06176,-28.68075,514
t_11,-70.19374,-28.65445,642
t_12,-70.32577,-28.62825,542
t_13,-71.01251,-29.70603,900
t_14,-70.45941,-29.69299,900
t_15,-71.14361,-29.68096,528
t_16,-70.59041,-29.66747,900
t_17,-71.27476,-29.65598,533
t_18,-70.72146,-29.64205,560
t_19,-70.85256,-29.61672,514
t_20,-70.98372,-29.59149,753
t_21,-71.11493,-29.56634,900
t_22,-70.56122,-29.55293,900
t_23,-71.24619,-29.54129,689
t_24,-70.69238,-29.52743,900
t_25,-70.8236,-29.50203,460
t_26,-70.95487,-29.47672,430
t_27,-71.0862,-29.4515,469
t_28,-70.53198,-29.43816,900
t_29,-71.21757,-29.42638,580
t_30,-70.66325,-29.41258,900
t_31,-70.79459,-29.3871,472
t_32,-70.92597,-29.36171,691
t_33,-71.05741,-29.33642,712
t_34,-70.50268,-29.32315,800
t_35,-71.1889,-29.31122,866
t_36,-70.63407,-29.2975,466
t_37,-71.32045,-29.28612,349
t_38,-70.76552,-29.27194,781
t_39,-70.89702,-29.24648,455
t_40,-71.02857,-29.22111,580
t_41,-70.47333,-29.20791,729
t_42,-71.16018,-29.19584,900
t_43,-70.60484,-29.18219,864
t_44,-71.29184,-29.17066,579
t_45,-70.7364,-29.15655,705
t_46,-70.86801,-29.13101,341
t_47,-70.99968,-29.10557,568
t_48,-71.1314,-29.08022,747
t_49,-70.57555,-29.06664,432
t_50,-71.26318,-29.05497,551
t_51,-70.70722,-29.04093,900
t_52,-70.83895,-29.01532,450
t_53,-70.97074,-28.9898,458
t_54,-71.10257,-28.96437,511
t_55,-70.5462,-28.95086,900
t_56,-71.23446,-28.93904,643
t_57,-70.678,-28.92508,490
t_58,-70.80984,-28.89939,546
t_59,-70.94174,-28.87379,593
t_60,-71.07369,-28.84829,687
t_61,-70.51681,-28.83485,842
t_62,-71.2057,-28.82289,861
t_63,-70.64871,-28.80899,565
t_64,-70.78067,-28.78322,577
t_65,-70.91269,-28.75755,437
t_66,-71.04476,-28.73198,716
t_67,-70.48736,-28.71861,900
t_68,-71.17688,-28.7065,607
t_69,-70.61938,-28.69267,601
t_70,-71.30905,-28.68111,600
t_71,-70.75145,-28.66683,500
t_72,-70.88358,-28.64108,424
t_73,-71.01577,-28.61543,834
t_74,-70.45785,-28.60214,791
t_75,-71.14801,-28.58987,695
t_76,-70.58999,-28.57612,538
t_77,-71.2803,-28.56441,872
t_78,-70.72218,-28.5502,411
t_79,-70.85443,-28.52438,311
t_80,-70.98673,-28.49865,505
t_81,-71.11908,-28.47302,377
t_82,-71.25149,-28.44748,600
t_83,-70.03709,-29.65585,900
t_84,-70.16804,-29.62998,871
t_85,-70.29905,-29.60421,840
t_86,-70.43011,-29.57852,683
t_87,-70.0074,-29.54138,900
t_88,-70.13846,-29.51544,900
t_89,-70.26958,-29.48958,900
t_90,-70.40075,-29.46382,900
t_91,-70.10882,-29.40066,900
t_92,-70.24005,-29.37473,900
t_93,-70.37134,-29.34889,494
t_94,-70.07913,-29.28565,900
t_95,-70.21047,-29.25965,900
t_96,-70.34187,-29.23373,900
t_97,-70.04938,-29.17042,900
t_98,-70.18084,-29.14433,900
t_99,-70.31236,-29.11834,900
t_100,-70.44392,-29.09244,900
t_101,-70.01958,-29.05495,900
t_102,-70.15115,-29.02878,900
t_103,-70.28278,-29.00272,900
t_104,-70.41447,-28.97674,592
t_105,-69.85809,-28.96558,900
t_106,-69.98972,-28.93925,811
t_107,-71.52952,-30.67778,613
t_108,-71.37118,-30.58955,465
t_109,-71.50142,-30.56517,257
t_110,-71.34291,-30.47678,872
t_111,-71.47327,-30.45233,326
t_112,-71.44506,-30.33926,426
t_113,-71.41681,-30.22595,331
t_114,-71.36014,-29.99866,523
t_115,-71.40596,-29.6311,600
t_116,-71.37751,-29.51634,600
t_117,-71.349,-29.40135,600
t_118,-71.42355,-29.14558,407
t_119,-71.39501,-29.02981,294
t_120,-71.36641,-28.91381,472
t_121,-71.33776,-28.79758,352
t_122,-70.14274,-30.58868,420
t_123,-70.27274,-30.56333,900
t_124,-70.40279,-30.53807,900
t_125,-70.11336,-30.47612,900
t_126,-70.24347,-30.45069,852
t_127,-70.37363,-30.42536,900
t_128,-69.95376,-30.38893,634
t_129,-70.08393,-30.36334,846
t_130,-70.21415,-30.33783,833
t_131,-70.34442,-30.31242,617
t_132,-70.05444,-30.25032,767
t_133,-70.18477,-30.22474,587
t_134,-70.31516,-30.19926,900
t_135,-70.4456,-30.17386,900
t_136,-70.0249,-30.13708,900
t_137,-70.15534,-30.11142,900
t_138,-70.28584,-30.08586,900
t_139,-70.41639,-30.06039,900
t_140,-69.99531,-30.02361,757
t_141,-70.12586,-29.99788,900
t_142,-70.25647,-29.97224,900
t_143,-70.38714,-29.94669,900
t_144,-69.96566,-29.90991,900
t_145,-70.09633,-29.8841,513
t_146,-70.22705,-29.85838,424
t_147,-70.35783,-29.83276,900
t_148,-70.06674,-29.77009,900
t_149,-70.19757,-29.7443,900
t_150,-70.32846,-29.7186,767
t_151,-70.77825,-30.93696,682
t_152,-70.90801,-30.91226,612
t_153,-71.03782,-30.88766,617
t_154,-70.48994,-30.87482,900
t_155,-71.16768,-30.86315,483
t_156,-70.61971,-30.84987,900
t_157,-71.29759,-30.83873,462
t_158,-70.74952,-30.82501,900
t_159,-70.87939,-30.80025,879
t_160,-71.00932,-30.77557,900
t_161,-70.46094,-30.76279,750
t_162,-71.13929,-30.75099,615
t_163,-70.59082,-30.73777,700
t_164,-71.26932,-30.72649,855
t_165,-70.72075,-30.71284,900
t_166,-70.85073,-30.688,900
t_167,-70.98077,-30.66326,565
t_168,-71.11085,-30.6386,687
t_169,-70.56188,-30.62545,403
t_170,-71.24099,-30.61403,485
t_171,-70.69192,-30.60044,871
t_172,-70.82202,-30.57553,469
t_173,-70.95216,-30.55071,900
t_174,-71.08236,-30.52598,496
t_175,-70.53289,-30.5129,900
t_176,-71.21261,-30.50133,563
t_177,-70.66304,-30.48782,900
t_178,-70.79325,-30.46283,702
t_179,-70.92351,-30.43793,876
t_180,-71.05382,-30.41312,654
t_181,-70.50384,-30.40011,900
t_182,-71.18418,-30.38841,680
t_183,-70.63411,-30.37496,899
t_184,-71.3146,-30.36379,838
t_185,-70.76443,-30.3499,503
t_186,-70.8948,-30.32492,900
t_187,-71.02523,-30.30004,900
t_188,-70.47475,-30.2871,900
t_189,-71.1557,-30.27526,608
t_190,-70.60513,-30.26187,900
t_191,-71.28623,-30.25056,489
t_192,-70.73556,-30.23673,900
t_193,-70.86604,-30.21169,438
t_194,-70.99658,-30.18673,744
t_195,-71.12717,-30.16187,519
t_196,-70.57609,-30.14856,900
t_197,-71.25781,-30.1371,658
t_198,-70.70663,-30.12334,584
t_199,-70.83723,-30.09822,604
t_200,-70.96788,-30.07319,887
t_201,-71.09858,-30.04826,611
t_202,-70.547,-30.03501,900
t_203,-71.22934,-30.02341,334
t_204,-70.67766,-30.00972,900
t_205,-70.80837,-29.98453,900
t_206,-70.93913,-29.95942,900
t_207,-71.06995,-29.93441,900
t_208,-70.51786,-29.92123,900
t_209,-71.20081,-29.90949,522
t_210,-70.64863,-29.89587,900
t_211,-71.33173,-29.88466,600
t_212,-70.77945,-29.8706,550
t_213,-70.91033,-29.84542,423
t_214,-71.04126,-29.82033,791
t_215,-70.48866,-29.80723,900
t_216,-71.17224,-29.79534,514
t_217,-70.61954,-29.78179,900
t_218,-71.30327,-29.77044,604
t_219,-70.75048,-29.75644,878
t_220,-70.88147,-29.73119,545
t_221,-70.41829,-31.12306,672
t_222,-70.38928,-31.01157,900
t_223,-70.36023,-30.89985,580
t_224,-70.33112,-30.7879,900
t_225,-70.17207,-30.701,900
t_226,-70.30195,-30.67573,722
t_227,-70.43189,-30.65054,597
t_228,-71.21934,-32.12941,900
t_229,-70.677,-32.11627,814
t_230,-70.80549,-32.09204,399
t_231,-70.93404,-32.06791,802
t_232,-71.06264,-32.04386,900
t_233,-70.5199,-32.0312,900
t_234,-71.19129,-32.01989,530
t_235,-70.64846,-32.00681,765
t_236,-71.32,-31.99602,900
t_237,-70.77706,-31.98252,829
t_238,-70.90572,-31.95831,900
t_239,-71.03443,-31.93419,481
t_240,-70.4912,-31.92159,841
t_241,-71.16319,-31.91015,853
t_242,-70.61987,-31.89714,882
t_243,-71.29201,-31.88621,900
