# 19910422_M7.6_Limon median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
t_0,-82.89334,8.13196,0.03900261,0.034268197,0.05526589
t_1,-83.02808,8.26533,0.040361036,0.034173004,0.0561233
t_10,-82.84842,8.13196,0.03509176,0.031093692,0.051154215
t_100,-83.34249,8.48751,0.057560842,0.044086896,0.07051234
t_1000,-82.44418,9.19762,0.12498955,0.0984371,0.14413601
t_1001,-82.4891,9.19762,0.11620069,0.09497275,0.13888143
t_1002,-82.57893,9.19762,0.23514149,0.11844685,0.16202572
t_1003,-82.66876,9.19762,0.35481626,0.16055933,0.20156838
t_1004,-82.71367,9.19762,0.3061193,0.1458524,0.18140087
t_1005,-82.62384,9.24196,0.372649,0.16267315,0.20260738
t_1006,-82.66876,9.24196,0.3296484,0.1548735,0.18714488
t_1007,-82.71367,9.24196,0.39999843,0.19627972,0.21805556
t_1008,-82.57893,9.24196,0.22469434,0.12926961,0.17114823
t_1009,-82.57893,9.28629,0.2235273,0.14675736,0.18653192
t_101,-83.16283,8.30978,0.041228972,0.03477543,0.05694432
t_1010,-82.66876,9.28629,0.4372345,0.21481992,0.23568638
t_1011,-82.62384,9.28629,0.35257664,0.15663064,0.18930937
t_1012,-82.84842,9.19762,0.36915958,0.18448552,0.21619906
t_1013,-82.80351,9.19762,0.3302933,0.16573618,0.19552727
t_1014,-82.80351,9.24196,0.43578857,0.2456245,0.2673491
t_1015,-82.75859,9.24196,0.41693223,0.21853289,0.23137572
t_1016,-82.84842,9.24196,0.35125387,0.19504142,0.20638944
t_1017,-82.75859,9.28629,0.40015963,0.24038608,0.22412454
t_1018,-82.80351,9.28629,0.404027,0.25527707,0.22817649
t_1019,-82.84842,9.28629,0.39673215,0.25108048,0.22563136
t_102,-82.89334,8.17642,0.04454604,0.03797695,0.06070579
t_1020,-82.75859,9.33061,0.5265767,0.36975297,0.2865373
t_1021,-82.80351,9.33061,0.5321426,0.40692154,0.28970295
t_1022,-82.44418,9.24196,0.12713073,0.10136696,0.14697762
t_1023,-82.4891,9.24196,0.15885958,0.12727237,0.18330345
t_1024,-82.53401,9.24196,0.14121318,0.12016685,0.16472988
t_1025,-82.4891,9.28629,0.1177087,0.1003468,0.14409846
t_1026,-82.53401,9.28629,0.1677741,0.14479245,0.19433542
t_1027,-82.44418,9.28629,0.12620606,0.10173435,0.14669302
t_1028,-82.44418,9.33061,0.16171938,0.12592976,0.18766591
t_1029,-82.4891,9.33061,0.1540053,0.12904087,0.17781961
t_103,-82.93825,8.22088,0.0516703,0.042220194,0.06772732
t_1030,-82.53401,9.33061,0.16990556,0.14949006,0.19713844
t_1031,-82.44418,9.37493,0.17752905,0.11898456,0.23148413
t_1032,-82.71367,9.28629,0.38606256,0.21061248,0.21417052
t_1033,-82.62384,9.33061,0.43545783,0.19363353,0.2194465
t_1034,-82.66876,9.33061,0.47556612,0.24434981,0.24917829
t_1035,-82.71367,9.33061,0.42546228,0.25518754,0.22818343
t_1036,-82.57893,9.33061,0.21560548,0.1640641,0.20241354
t_1037,-82.57893,9.37493,0.21368892,0.18551956,0.2311326
t_1038,-82.62384,9.37493,0.47420228,0.21330597,0.23757483
t_1039,-82.71367,9.37493,0.54815656,0.35018858,0.2878445
t_104,-82.89334,8.22088,0.049996745,0.04128673,0.065981716
t_1040,-82.66876,9.37493,0.5144016,0.2690491,0.2620899
t_1041,-82.71367,9.41924,0.5780637,0.37288386,0.29630047
t_1042,-82.84842,9.33061,0.44225413,0.33984506,0.24324498
t_1043,-82.80351,9.37493,0.5197588,0.5024009,0.26844978
t_1044,-82.75859,9.37493,0.484796,0.39823434,0.25362727
t_1045,-82.84842,9.37493,0.5250681,0.5016057,0.27061954
t_1046,-82.75859,9.41924,0.51872796,0.4409774,0.26767057
t_1047,-82.84842,9.41924,0.5741842,0.57237977,0.28583884
t_1048,-82.80351,9.41924,0.59307474,0.5785835,0.29320595
t_1049,-82.80351,9.46355,0.6356206,0.60099673,0.34594724
t_105,-82.93825,8.26533,0.04596842,0.038348652,0.061729826
t_1050,-82.84842,9.46355,0.6318492,0.592395,0.31713638
t_1051,-82.75859,9.46355,0.6088026,0.51176924,0.30497083
t_1052,-82.53401,9.37493,0.1933171,0.16405359,0.22979684
t_1053,-82.4891,9.37493,0.1716441,0.1415868,0.19935048
t_1054,-82.53401,9.41924,0.20804694,0.16033669,0.27000982
t_1055,-82.44418,9.41924,0.17500278,0.13190837,0.20733467
t_1056,-82.4891,9.41924,0.19400552,0.14046346,0.24927293
t_1057,-82.53401,9.46355,0.21375498,0.16630334,0.27685398
t_1058,-82.44418,9.46355,0.14572932,0.11680041,0.16896963
t_1059,-82.4891,9.46355,0.1987768,0.1437075,0.2576696
t_106,-82.89334,8.26533,0.047074758,0.039115716,0.062815726
t_1060,-82.53401,9.50785,0.21959348,0.1734248,0.28210035
t_1061,-82.4891,9.50785,0.19815534,0.15568985,0.23900926
t_1062,-82.66876,9.41924,0.5364423,0.2914233,0.2943056
t_1063,-82.62384,9.41924,0.488815,0.23012812,0.2612145
t_1064,-82.57893,9.41924,0.21692748,0.19645144,0.26343107
t_1065,-82.57893,9.46355,0.23067844,0.19418617,0.30283564
t_1066,-82.66876,9.46355,0.5567154,0.29800883,0.29019147
t_1067,-82.71367,9.46355,0.55438346,0.3642685,0.28202757
t_1068,-82.62384,9.46355,0.42082798,0.23612162,0.32593918
t_1069,-82.62384,9.50785,0.36648524,0.23027408,0.36666635
t_107,-82.98317,8.26533,0.037723493,0.032055162,0.053496663
t_1070,-82.57893,9.50785,0.23823698,0.2011505,0.315242
t_1071,-82.66876,9.50785,0.44275922,0.2798108,0.41156235
t_1072,-82.75859,9.50785,0.65598094,0.5623227,0.35591778
t_1073,-82.84842,9.50785,0.65249383,0.6013202,0.35586682
t_1074,-82.80351,9.50785,0.6135947,0.56559473,0.3157914
t_1075,-82.84842,9.55215,0.58799076,0.5347128,0.3158828
t_1076,-82.80351,9.55215,0.6232606,0.55947405,0.33068672
t_1077,-82.75859,9.55215,0.58254045,0.51044464,0.31869227
t_1078,-82.75859,9.59644,0.66589975,0.58630866,0.43597323
t_1079,-82.80351,9.59644,0.6780783,0.5984575,0.4166934
t_108,-82.89334,8.30978,0.051287796,0.041748647,0.06681527
t_1080,-82.84842,9.59644,0.67824376,0.59987855,0.407102
t_1081,-82.75859,9.64072,0.69028497,0.5982276,0.44952044
t_1082,-85.13913,9.59644,0.024802621,0.0255727,0.0416704
t_1083,-85.13913,9.64072,0.029040975,0.029358214,0.04663823
t_1084,-85.09421,9.59644,0.028136501,0.028161902,0.045263585
t_1085,-85.27387,9.77354,0.020265851,0.02259355,0.037075948
t_1086,-85.09421,9.64072,0.029202143,0.029098708,0.04649336
t_1087,-85.04929,9.64072,0.026368598,0.026129711,0.04292756
t_1088,-85.00438,9.685,0.0276443,0.026863713,0.044135883
t_1089,-85.09421,9.685,0.033311777,0.032281477,0.051155057
t_109,-83.16283,8.35422,0.04357057,0.03617188,0.05916435
t_1090,-85.04929,9.685,0.030224696,0.02957784,0.047357652
t_1091,-85.09421,9.72927,0.025559982,0.025921797,0.042329565
t_1092,-85.04929,9.72927,0.025981067,0.025853094,0.042526577
t_1093,-85.00438,9.72927,0.027493125,0.026776044,0.04399286
t_1094,-85.04929,9.77354,0.028359815,0.028071508,0.04532068
t_1095,-85.00438,9.77354,0.03284652,0.03141012,0.050032657
t_1096,-84.55522,9.59644,0.051007118,0.041126862,0.066338845
t_1097,-84.55522,9.64072,0.047237944,0.038302887,0.06264476
t_1098,-84.64505,9.64072,0.053353067,0.043271653,0.06895893
t_1099,-84.60014,9.64072,0.037380975,0.03138961,0.05343356
t_11,-82.84842,8.17642,0.03705247,0.03223193,0.053000826
t_110,-83.20775,8.35422,0.043079566,0.03587837,0.058698185
t_1100,-84.95946,9.77354,0.03679118,0.034008466,0.0540068
t_1101,-84.64505,9.685,0.042776987,0.03577112,0.05843688
t_1102,-84.55522,9.685,0.04826801,0.03913813,0.063668214
t_1103,-84.60014,9.685,0.047440615,0.03892836,0.06295714
t_1104,-84.64505,9.72927,0.047092322,0.039109927,0.062776715
t_1105,-84.55522,9.72927,0.050057273,0.040533923,0.06543919
t_1106,-84.60014,9.72927,0.04017608,0.033490386,0.05592663
t_1107,-84.64505,9.77354,0.041653432,0.03491961,0.05734618
t_1108,-84.60014,9.77354,0.043765496,0.03610952,0.05933552
t_1109,-84.55522,9.77354,0.038653407,0.032048143,0.05471965
t_111,-83.25266,8.35422,0.04259612,0.03558978,0.058239546
t_1110,-84.60014,9.8178,0.046672627,0.038355008,0.062257286
t_1111,-84.68997,9.8178,0.039076664,0.03337192,0.054909933
t_1112,-84.68997,9.86206,0.049492266,0.04090348,0.06550909
t_1113,-85.13913,9.685,0.029139802,0.029464737,0.046775702
t_1114,-85.18404,9.685,0.027239442,0.028255062,0.044909462
t_1115,-85.18404,9.72927,0.025180284,0.026462685,0.04250569
t_1116,-85.22896,9.72927,0.030103702,0.030724917,0.048683215
t_1117,-85.13913,9.72927,0.025538247,0.026354568,0.04261386
t_1118,-85.22896,9.77354,0.022806508,0.024702305,0.039977834
t_1119,-85.18404,9.77354,0.02814222,0.02908513,0.046041805
t_112,-83.16283,8.39866,0.046079975,0.037683737,0.061552823
t_1120,-85.31879,9.8178,0.02163812,0.024478713,0.039212767
t_1121,-85.27387,9.8178,0.018262625,0.020616608,0.034557674
t_1122,-85.31879,9.86206,0.020597355,0.023503084,0.03793048
t_1123,-85.3637,9.86206,0.021698203,0.02500898,0.039681613
t_1124,-85.27387,9.86206,0.019613257,0.022049084,0.036321934
t_1125,-85.27387,9.9063,0.020454202,0.02295938,0.037475396
t_1126,-85.3637,9.9063,0.015968712,0.019087046,0.032135125
t_1127,-85.13913,9.77354,0.021704,0.022765137,0.038037788
t_1128,-85.18404,9.8178,0.023518384,0.025014047,0.040582094
t_1129,-85.13913,9.8178,0.019396491,0.020688329,0.03539393
t_113,-83.20775,8.39866,0.045553535,0.037365623,0.061050873
t_1130,-85.22896,9.8178,0.026722344,0.028315859,0.044771165
t_1131,-85.22896,9.86206,0.025782006,0.027579278,0.04370504
t_1132,-85.18404,9.86206,0.025454601,0.026893903,0.042976137
t_1133,-85.13913,9.86206,0.022229543,0.02337936,0.038735896
t_1134,-85.18404,9.9063,0.022075666,0.023706118,0.038903166
t_1135,-85.13913,9.9063,0.027653215,0.02843274,0.045297403
t_1136,-85.22896,9.9063,0.018357232,0.020440381,0.034543835
t_1137,-85.09421,9.77354,0.022636268,0.023252267,0.03892149
t_1138,-85.04929,9.8178,0.029193921,0.02886636,0.046318058
t_1139,-85.09421,9.8178,0.025157697,0.025674907,0.041939255
t_114,-83.25266,8.39866,0.045035377,0.03705304,0.06055729
t_1140,-85.00438,9.8178,0.026694257,0.0261835,0.043156337
t_1141,-85.04929,9.86206,0.026739314,0.026709286,0.043551482
t_1142,-85.09421,9.86206,0.02234065,0.02306018,0.038643844
t_1143,-85.00438,9.86206,0.027158374,0.026627975,0.043742407
t_1144,-85.09421,9.9063,0.023684997,0.024370685,0.04027281
t_1145,-85.04929,9.9063,0.026551837,0.026598973,0.043384902
t_1146,-85.00438,9.9063,0.02907174,0.028393872,0.045982506
t_1147,-85.31879,9.9063,0.01935944,0.022258064,0.036363672
t_1148,-85.3637,9.95055,0.018218832,0.021537393,0.035213158
t_1149,-85.27387,9.95055,0.021690933,0.024272783,0.03911958
t_115,-83.25266,8.44309,0.048523385,0.038639843,0.063053966
t_1150,-85.31879,9.95055,0.016437808,0.019259524,0.032571625
t_1151,-85.3637,9.99478,0.019150756,0.02260328,0.036531843
t_1152,-85.27387,9.99478,0.016114362,0.01865481,0.032005124
t_1153,-85.31879,9.99478,0.020814039,0.023890601,0.038386576
t_1154,-85.27387,10.03902,0.021561114,0.02427784,0.0390731
t_1155,-85.3637,10.03902,0.01639635,0.019675435,0.03281877
t_1156,-85.31879,10.03902,0.019047713,0.022133091,0.036123533
t_1157,-85.13913,9.95055,0.023611972,0.024821408,0.04054536
t_1158,-85.18404,9.95055,0.02052378,0.022223685,0.03700392
t_1159,-85.22896,9.95055,0.01705921,0.019223494,0.032984596
t_116,-83.20775,8.44309,0.04945682,0.038979515,0.06358649
t_1160,-85.13913,9.99478,0.03197584,0.031644005,0.05045588
t_1161,-85.22896,9.99478,0.018664526,0.020845667,0.034989987
t_1162,-85.18404,9.99478,0.028337335,0.029410496,0.04657722
t_1163,-85.18404,10.03902,0.021254707,0.023091244,0.038035303
t_1164,-85.22896,10.03902,0.027043989,0.028749108,0.045478728
t_1165,-85.13913,10.03902,0.022319628,0.023702094,0.039062597
t_1166,-85.13913,10.08324,0.026917392,0.028031472,0.04467633
t_1167,-85.00438,9.95055,0.026375882,0.026038358,0.04293447
t_1168,-85.09421,9.95055,0.024130251,0.024862038,0.04086517
t_1169,-85.04929,9.95055,0.020866748,0.021481236,0.03688221
t_117,-83.16283,8.44309,0.0504112,0.03932544,0.06412834
t_1170,-85.00438,9.99478,0.04140616,0.035743885,0.060046658
t_1171,-85.04929,9.99478,0.024862977,0.025164008,0.041496556
t_1172,-85.09421,9.99478,0.023656871,0.024477195,0.04034534
t_1173,-85.04929,10.03902,0.024640698,0.025025258,0.04128475
t_1174,-85.09421,10.03902,0.023446875,0.024345906,0.040144376
t_1175,-85.00438,10.03902,0.025905723,0.025742995,0.042488255
