# 19910422_M7.6_Limon median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
t_0,-82.89334,8.13196,0.027968088,0.024048258,0.03856572
t_1,-83.02808,8.26533,0.027958257,0.023019465,0.037774343
t_10,-82.84842,8.13196,0.025314815,0.021853715,0.035839032
t_100,-83.34249,8.48751,0.03718831,0.028152684,0.045167975
t_1000,-82.44418,9.19762,0.1058827,0.060307004,0.09471815
t_1001,-82.4891,9.19762,0.090589434,0.052149933,0.084364675
t_1002,-82.57893,9.19762,0.09000129,0.051744014,0.08352339
t_1003,-82.66876,9.19762,0.099220924,0.0566915,0.08957319
t_1004,-82.71367,9.19762,0.078776754,0.045931786,0.0759832
t_1005,-82.62384,9.24196,0.10674252,0.060810868,0.095396414
t_1006,-82.66876,9.24196,0.08530522,0.0495485,0.08127058
t_1007,-82.71367,9.24196,0.09744047,0.05551952,0.08840408
t_1008,-82.57893,9.24196,0.095488146,0.05484527,0.087975964
t_1009,-82.57893,9.28629,0.10779331,0.061466023,0.096707046
t_101,-83.16283,8.30978,0.02837887,0.023203898,0.03808009
t_1010,-82.66876,9.28629,0.11413153,0.065042235,0.10113904
t_1011,-82.62384,9.28629,0.095522724,0.0552432,0.08902463
t_1012,-82.84842,9.19762,0.09236202,0.05301112,0.084372334
t_1013,-82.80351,9.19762,0.080396324,0.04667925,0.07655709
t_1014,-82.80351,9.24196,0.11302748,0.06419474,0.100251116
t_1015,-82.75859,9.24196,0.09856617,0.056216337,0.089171045
t_1016,-82.84842,9.24196,0.080326624,0.046784144,0.07723124
t_1017,-82.75859,9.28629,0.088370025,0.051309343,0.08378022
t_1018,-82.80351,9.28629,0.08702491,0.05053777,0.0826766
t_1019,-82.84842,9.28629,0.085710034,0.04978933,0.08160106
t_102,-82.89334,8.17642,0.03181789,0.026449226,0.04192137
t_1020,-82.75859,9.33061,0.12012043,0.06854371,0.10584606
t_1021,-82.80351,9.33061,0.11691954,0.066681065,0.103333004
t_1022,-82.44418,9.24196,0.110840686,0.06310594,0.09867188
