# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:GEM, Rupture:SCARDEC
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
m_0,100.37191999999999,-0.94774,0.4703007,0.47097763,0.4693468,0.472925
m_1,100.32592,-0.8192,0.47578612,0.4706505,0.51121783,0.4700234
m_10,100.36379999999997,-0.92165,0.47216398,0.4729474,0.46692285,0.47317967
m_100,100.37268,-0.94786,0.46971342,0.47017172,0.46917182,0.47188652
m_1000,100.35564,-0.96029,0.46997988,0.46982893,0.4747611,0.4808683
m_1001,100.35935,-0.95935,0.45830068,0.45132095,0.47194776,0.4352706
m_1002,100.35199999999998,-0.89053,0.47391298,0.47476584,0.46925908,0.4754084
m_1003,100.46239000000003,-0.94767,0.24625318,0.24627827,0.24670032,0.24795656
m_1004,100.37,-0.31,0.2188625,0.24617922,0.26516518,0.24380402
m_1005,100.34578999999997,-0.89715,0.47678325,0.4765892,0.4776332,0.47640467
m_1006,100.36036999999999,-0.9592,0.46058768,0.45511958,0.47207132,0.4445671
m_1007,100.36658,-0.95921,0.4641409,0.4611599,0.4713766,0.45776325
m_1008,100.36511999999999,-0.91093,0.4732011,0.47396868,0.46708202,0.47425106
m_1009,100.35960999999998,-0.90013,0.4761692,0.4760587,0.4768662,0.4760633
m_101,100.36059999999998,-0.95965,0.46160445,0.4573711,0.4698922,0.4482302
m_1010,100.36025000000001,-0.9591,0.46016306,0.45425582,0.47269243,0.44298032
m_1011,100.36385999999999,-0.93464,0.4700677,0.47030738,0.4677671,0.47015896
m_1012,100.38644,-0.95402,0.44122556,0.44242218,0.43061098,0.4423718
m_1013,100.37508000000003,-0.92245,0.45074052,0.44513556,0.4719264,0.4460816
m_1014,100.36111,-0.89347,0.47366634,0.47347644,0.47480625,0.4734189
m_1015,100.20901000000003,-0.5435,0.5156206,0.51602376,0.51649594,0.51576495
m_1016,100.36131,-0.96369,0.4629467,0.46107718,0.46394473,0.45064524
m_1017,100.36768999999998,-0.95918,0.46341613,0.45928684,0.47343016,0.4540256
m_1018,100.35854999999998,-0.95942,0.45530835,0.44626963,0.4723934,0.42356738
m_1019,100.37554,-0.93499,0.45558175,0.45294687,0.46512824,0.45383468
m_102,100.46296999999998,-0.95078,0.2476166,0.24788435,0.24747384,0.25040728
m_1020,100.36203,-0.9634,0.46428782,0.46325713,0.4643589,0.45651817
m_1021,100.39677,-0.95521,0.2824386,0.2827432,0.28664947,0.28091437
m_1022,100.35242,-0.91936,0.47303078,0.47265723,0.47583815,0.47245768
m_1023,100.35161,-0.94433,0.46616945,0.4671814,0.46090332,0.4636326
m_1024,100.38458000000003,-0.93898,0.36861637,0.36774403,0.37298018,0.36820945
m_1025,100.36383999999998,-0.96162,0.46611094,0.46599495,0.465891,0.4652294
m_1026,100.28370999999999,-0.59648,0.5086353,0.5088472,0.5074169,0.5099177
m_1027,100.34305999999998,-0.87924,0.47624758,0.4767988,0.47152215,0.47661477
m_1028,100.35976,-0.96539,0.45933965,0.45491043,0.46324062,0.4331815
m_1029,100.37975,-0.9586,0.47162682,0.4645934,0.5027738,0.48540774
m_103,100.44659000000001,-1.0763,0.44587377,0.44648013,0.44566113,0.44700348
m_1030,100.46247,-0.94967,0.24699293,0.24711393,0.24704798,0.24898854
m_1031,100.38457,-0.95623,0.45726678,0.46080688,0.4407181,0.46046302
m_1032,100.33780000000002,-0.51013,0.50148666,0.503439,0.50450647,0.50170314
m_1033,100.37101999999999,-0.89352,0.46055424,0.4606856,0.45775548,0.46078146
m_1034,100.36536000000001,-0.96003,0.46539536,0.46403655,0.468517,0.46266326
m_1035,100.46242000000001,-0.94943,0.24689166,0.24699393,0.24699014,0.24881345
m_1036,100.46249,-0.94909,0.24677065,0.2468665,0.24693209,0.24865188
