# 20090930_M7.6_Padang median gmf, Stations:None, gmlt:GEM, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
t_0,97.98054000000002,2.69259,0.019095203,0.01597588,0.013822364,0.003701132
t_1,97.80087000000003,2.69259,0.017588923,0.01429028,0.012453563,0.0034768658
t_10,97.71104000000003,2.78232,0.0194846,0.016234294,0.013815703,0.003318442
t_100,99.05851999999999,2.60285,0.013247719,0.010857055,0.009988266,0.0040834527
t_1000,99.59751,0.98673,0.045701984,0.05362818,0.052317593,0.031276625
t_1001,99.50767000000002,0.98673,0.054214023,0.06565336,0.059903603,0.03140094
t_1002,99.32801,0.98673,0.043241855,0.048336536,0.048107646,0.024723787
t_1003,99.23818,1.07655,0.042000998,0.046115216,0.04524661,0.027694298
t_1004,98.96868,1.07655,0.05332655,0.060139075,0.053772822,0.02653406
t_1005,99.50767000000002,1.07655,0.042702578,0.048714098,0.047429007,0.028117813
t_1006,99.14835,1.07655,0.057670973,0.068074495,0.058527585,0.027618222
t_1007,99.32801,1.07655,0.03649168,0.039204415,0.03909299,0.022146257
t_1008,99.05851999999999,1.07655,0.045158807,0.04929235,0.047356516,0.026829608
t_1009,99.41784000000001,1.07655,0.040876772,0.045633856,0.044975374,0.02225883
t_101,99.23818,2.60285,0.01676435,0.0146732,0.013296862,0.005236166
t_1010,99.59751,1.07655,0.037753917,0.04227168,0.042068817,0.022190336
t_1011,102.29245000000003,0.26813,0.028191654,0.032267813,0.028054023,0.009936257
t_1012,102.11279000000002,0.26813,0.029258734,0.03398051,0.030043965,0.011798062
t_1013,102.38227999999998,0.26813,0.028196642,0.032196037,0.027659839,0.009121868
t_1014,102.20262000000002,0.26813,0.030439178,0.035622697,0.030708715,0.010826022
t_1015,101.93313,0.26813,0.03257811,0.03906016,0.034443945,0.014019198
t_1016,102.47210999999999,0.35796,0.026310777,0.029423848,0.025293374,0.008037378
t_1017,101.93313,0.35796,0.031964313,0.03810885,0.0334925,0.013322349
t_1018,102.02296000000001,0.35796,0.031122504,0.036774836,0.03211214,0.012243112
t_1019,102.11279000000002,0.35796,0.031718615,0.03758624,0.03220191,0.011251863
t_102,99.14835,2.69259,0.018206067,0.016145159,0.014331492,0.00475687
