# 20090930_M7.6_Padang median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
t_0,97.98054000000002,2.69259,0.026289394,0.017914513,0.02075331,0.0068968143
t_1,97.80087000000003,2.69259,0.023759378,0.015834264,0.018556245,0.0063692695
t_10,97.71104000000003,2.78232,0.026017886,0.017845144,0.020215128,0.006025068
t_100,99.05851999999999,2.60285,0.021142483,0.013378851,0.016938267,0.008616971
t_1000,99.59751,0.98673,0.09011336,0.082704745,0.11246838,0.08477518
t_1001,99.50767000000002,0.98673,0.10168757,0.096447065,0.11680524,0.08137442
t_1002,99.32801,0.98673,0.07917299,0.068118624,0.09499315,0.05945722
t_1003,99.23818,1.07655,0.074114576,0.062870346,0.08575603,0.06419378
t_1004,98.96868,1.07655,0.08447153,0.077212006,0.090712324,0.057829365
t_1005,99.50767000000002,1.07655,0.08134585,0.071904525,0.09742556,0.072247274
t_1006,99.14835,1.07655,0.09499085,0.08925232,0.098189734,0.062435906
t_1007,99.32801,1.07655,0.06678827,0.054959446,0.0770274,0.05287766
t_1008,99.05851999999999,1.07655,0.07491189,0.064647354,0.08513711,0.059422616
t_1009,99.41784000000001,1.07655,0.076255135,0.065484606,0.090308875,0.05500224
t_101,99.23818,2.60285,0.027254557,0.01858788,0.023062466,0.011502326
t_1010,99.59751,1.07655,0.074414834,0.06491349,0.09149831,0.059547044
t_1011,102.29245000000003,0.26813,0.057388693,0.055780306,0.063283145,0.03344262
t_1012,102.11279000000002,0.26813,0.06130153,0.060831763,0.071109064,0.04114237
t_1013,102.38227999999998,0.26813,0.0564651,0.0546648,0.06064287,0.030199222
t_1014,102.20262000000002,0.26813,0.062284946,0.062248137,0.069129385,0.037073474
t_1015,101.93313,0.26813,0.06967651,0.07213167,0.0833707,0.050831035
t_1016,102.47210999999999,0.35796,0.052292343,0.04949194,0.05520823,0.0263394
t_1017,101.93313,0.35796,0.06821127,0.07031792,0.08080453,0.048398692
t_1018,102.02296000000001,0.35796,0.06549421,0.066643596,0.0757361,0.043637816
t_1019,102.11279000000002,0.35796,0.0653289,0.06657197,0.0727963,0.039377827
t_102,99.14835,2.69259,0.029053774,0.020088928,0.024149405,0.010229033
t_1020,102.56195000000002,0.35796,0.05097465,0.04789157,0.05280988,0.023872651
t_1021,102.20262000000002,0.35796,0.062116437,0.062261306,0.06817351,0.035564303
