# 20100112_M7.0_Haiti median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarEtAlRjb2014,CauzziEtAl2014
t_0,-71.3417,17.7003,0.016429614,0.0169824,0.021153973
t_1,-71.34079,17.7454,0.017013961,0.017382096,0.021674152
t_10,-71.52908,17.74883,0.02557983,0.024000226,0.028991777
t_100,-71.33523,18.01601,0.021274114,0.020489002,0.025433933
t_1000,-72.34819,19.61283,0.023283556,0.022295345,0.027211891
t_1001,-72.39583,19.61352,0.019296756,0.018810073,0.023947703
t_1002,-72.44346,19.61421,0.018569268,0.018192686,0.023367565
t_1003,-72.29981,19.65725,0.02608262,0.024813905,0.0293952
t_1004,-72.34745,19.65796,0.021931777,0.021328298,0.026012195
t_1005,-72.3951,19.65866,0.019228116,0.018898882,0.023738623
t_1006,-72.63468,19.57166,0.027941102,0.026059715,0.031054098
t_1007,-72.68231,19.57228,0.028818443,0.026748164,0.03173314
t_1008,-72.72994,19.57289,0.019563017,0.018984837,0.024240673
t_1009,-72.63402,19.61681,0.02003541,0.019489178,0.024485238
t_101,-71.24,18.05929,0.015326555,0.015556704,0.02028999
t_1010,-72.68166,19.61743,0.02630518,0.024908392,0.02963226
t_1011,-72.72931,19.61804,0.020598799,0.0200159,0.024913171
t_1012,-72.63336,19.66196,0.017058956,0.017071558,0.021932099
t_1013,-72.68102,19.66258,0.027777325,0.026056768,0.030727554
t_1014,-72.72868,19.66319,0.022220692,0.021701792,0.026225707
t_1015,-72.63269,19.7071,0.017330306,0.017461292,0.022034613
t_1016,-72.20452,19.6558,0.027954105,0.02616469,0.030867813
t_1017,-72.25216,19.65653,0.030312246,0.027573388,0.032765076
t_1018,-72.15609,19.70018,0.02896146,0.02651798,0.0316524
t_1019,-72.20374,19.70093,0.029101554,0.026647385,0.03176583
t_102,-71.28715,18.0602,0.017856639,0.017590526,0.022493409
t_1020,-72.25139,19.70166,0.032483295,0.02771099,0.03457518
t_1021,-72.29905,19.70239,0.028417751,0.02637586,0.031213637
t_1022,-72.15529,19.74531,0.026319787,0.024975702,0.029497817
t_1023,-72.20296,19.74606,0.01807498,0.018373124,0.02261845
t_1024,-72.25062,19.7468,0.015454685,0.015943304,0.020376612
t_1025,-72.29829,19.74752,0.016854633,0.017178573,0.02156418
t_1026,-71.82526,19.55923,0.025421781,0.024415521,0.028793925
t_1027,-71.72916,19.60264,0.025108289,0.024206376,0.0285089
t_1028,-71.77677,19.6035,0.027494853,0.02552978,0.030466149
