ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,COMMENTS,REFERENCE
21,Puebla,21114,Puebla,11,11,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21019,Atlixco,9,9,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21021,Atzala,11,11,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21185,Tlapanalá,2,2,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21085,Izúcar de Matamoros,1,1,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21051,Chietla,1,1,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21062,Epatlán,1,1,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21087,Jolalpan,4,4,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21048,Chiautzingo,2,2,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21074,Huejotzingo,1,1,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21113,Piaxtla,2,2,,,,shaking,,Datos_Abiertos_Puebla.zip
21,Puebla,21193,Tzicatlacoyan,1,1,,,,shaking,,Datos_Abiertos_Puebla.zip
