STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,REFERENCES,STATION_TYPE,SOIL_TYPE,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
GDLC,GDLC,-43.586,172.089,Stations_GeoNet,seismic, ,1.331075421,1.405966834,0.436118,0.28908861,0.713907421,1.085092386,0.882227494,0.816230779,0.791420825,1.168557571,1.073603822,1.060935535,0.791420825,1.168557571,1.073603822,1.060935535,0.0,0.0,0.0,0.0,,,,,,,,
DFHS,DFHS,-43.49,172.102,Stations_GeoNet,seismic, ,0.365442651,0.550716131,0.337237463,0.110046991,0.475512854,0.804752072,0.544404472,0.466536087,0.518786919,1.032581362,0.672433729,0.334699501,0.518786919,1.032581362,0.672433729,0.466536087,0.0,0.0,0.0,0.0,,,,,,,,
LINC,LINC,-43.623,172.468,Stations_GeoNet,seismic, ,0.904261446,0.503715475,0.551071083,0.375908487,0.381735074,0.462558212,0.542880018,0.639272587,0.466054854,0.56391475,0.980311781,0.537936629,0.466054854,0.56391475,0.980311781,0.639272587,0.0,0.0,0.0,0.0,,,,,,,,
DSLC,DSLC,-43.667,172.198,Stations_GeoNet,seismic, ,0.315107021,0.326037064,0.271562849,0.110036731,0.256128462,0.771685312,0.428445295,0.294132357,0.261784135,0.721981206,0.513891314,0.300264415,0.261784135,0.771685312,0.513891314,0.300264415,0.0,0.0,0.0,0.0,,,,,,,,
REHS,REHS,-43.522,172.635,Stations_GeoNet,seismic, ,0.219056098,0.340479827,0.157000367,0.091590256,0.256930676,0.888153243,0.638939893,0.413099235,0.242137617,0.719250517,0.996794453,0.3751241,0.256930676,0.888153243,0.996794453,0.413099235,0.0,0.0,0.0,0.0,,,,,,,,
CMHS,CMHS,-43.566,172.624,Stations_GeoNet,seismic, ,0.291189141,0.361052005,0.185849574,0.142074531,0.229386452,0.648630823,0.580809836,0.521098641,0.246529064,0.600652192,0.622606646,0.329111006,0.246529064,0.648630823,0.622606646,0.521098641,0.0,0.0,0.0,0.0,,,,,,,,
SWNC,SWNC,-43.369,172.495,Stations_GeoNet,seismic, ,0.155263647,0.152382547,0.059298558,0.060560157,0.246467479,0.753478595,0.333166841,0.220289914,0.206193064,0.478275627,0.230644847,0.153739092,0.246467479,0.753478595,0.333166841,0.220289914,0.0,0.0,0.0,0.0,,,,,,,,
CCCC,CCCC,-43.538,172.647,Stations_GeoNet,seismic, ,0.20005878,0.221116381,0.079487325,0.100451998,0.200778106,0.435792548,0.450908867,0.396790035,0.230397653,0.898030055,0.445123438,0.312158336,0.230397653,0.898030055,0.450908867,0.396790035,0.0,0.0,0.0,0.0,,,,,,,,
PPHS,PPHS,-43.493,172.607,Stations_GeoNet,seismic, ,0.280744026,0.315335106,0.122909525,0.064122338,0.183148182,0.516346981,0.591215457,0.378681327,0.226928845,0.621824299,0.506235742,0.311427896,0.226928845,0.621824299,0.591215457,0.378681327,0.0,0.0,0.0,0.0,,,,,,,,
CRLZ,CRLZ,-43.575,172.623,Stations_GeoNet,seismic, ,0.15746383,0.362534158,0.1175285,0.071196845,0.153753274,0.367541128,0.22974348,0.120899952,0.216670406,0.29217002,0.385033162,0.278513445,0.216670406,0.367541128,0.385033162,0.278513445,0.0,0.0,0.0,0.0,,,,,,,,
