FIELD,DESCRIPTION
Year,2000
Country,Iceland
Region,Europe
Event Name,Iceland
Local Date,17/06/2000
Local Time,15:40:41
Latitude (decimal degrees),63.966
Longitude (decimal degrees),-20.487
Depth (km),10
Mw,6.5
Max Intensity (MMI),VIII
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,
Injured,
Displaced population,~36
Affected population,~108
Affected units,
Damaged units,11.0 Buildings
Collapsed units,11.0 Buildings
Economic losses,12-20 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp0009urh
Wikipedia page,https://en.wikipedia.org/wiki/2000 Iceland earthquakes
