FIELD,DESCRIPTION
Year,2017
Country,Botswana
Region,Africa
Event Name,Moijabana 2017
Local Date,03/04/2017
Local Time,19:40:18
Latitude (decimal degrees),-22.6784
Longitude (decimal degrees),25.1558
Depth (km),23.5
Mw,6.46
Max Intensity (MMI),VIII
Fault mechanism,Normal
Tectonic region type,Unknown (occurred in an area with no know previous seismicity)
Fatalities,~0
Injured,~0
Displaced population,~271
Affected population,~271
Affected units,
Damaged units,~13 
Collapsed units,
Economic losses,
Insured losses,
Earthquake-triggered effects,Stampede
USGS event ID,us10008e3k
Wikipedia page,https://en.wikipedia.org/wiki/2017 Botswana earthquake
