FIELD,DESCRIPTION
Year,2017
Country,Iran
Region,Kermanshah 
Event_Name,Sarpole-Zahab
Local_Date,12/11/2017
Local_Time,21:48:16
Latitude,34.81
Longitude,45.91
Depth_(km),18.1
Mw,7.3
Max_Intensity_(MMI),IX
Fault_mechanism,Thrust
Tectonic_region_type,Active Crustal
Fatalities,436-660
Injured,6603-15249
Displaced_Population,7000-200000
Affected_Population,200000-1645450
Affected_Units,
Damaged_Units,14500-90000 Units
Collapsed_Units,2000-18000 Units
Economic_Losses,84-750 M USD
Insured_Losses,
Induced_Effects,"Landslides, Rockfalls, Liquefaction"
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us2000bmcg/executive
Wikipedia page,https://en.wikipedia.org/wiki/2017_Iran%E2%80%93Iraq_earthquake
