FIELD,DESCRIPTION
Year,2017
Country,Iran
Region,Middle East
Event Name,Sarpole-Zahab
Local Date,12/11/2017
Local Time,21:48:16
Latitude (decimal degrees),34.81
Longitude (decimal degrees),45.91
Depth (km),18.1
Mw,7.3
Max Intensity (MMI),IX
Fault mechanism,Thrust
Tectonic region type,Active Crustal
Fatalities,436-660
Injured,6603-15249
Displaced population,7000-200000
Affected population,200000-1645450
Affected units,
Damaged units,14500-90000 
Collapsed units,2000-18000 
Economic losses,84-750 M USD
Insured losses,
Earthquake-triggered effects,"Landslides, Rockfalls, Liquefaction"
USGS event ID,us2000bmcg
Wikipedia page,https://en.wikipedia.org/wiki/2017 Iran%E2%80%93Iraq earthquake
