custom_site_id,lon,lat,vs30,vs30measured,z1pt0
s_0,-75.66,4.55,313.0,False,448.2339753654192
s_1,-75.617,4.686,327.0,False,435.81723550675565
s_2,-75.687,4.792,319.0,False,443.04554895510745
s_3,-75.314,5.043,334.0,False,429.2074393505012
s_4,-75.6455,4.7817,800.0,False,432.07232483312276
s_5,-75.161,5.393,800.0,False,11.481070606136962
s_6,-76.517,3.4941,198.0,False,509.87831577520336
s_7,-77.062,3.8869,143.0,False,519.4723258058584
s_8,-75.276,2.942,320.0,False,442.16129515133423
s_9,-74.593,5.067,800.0,False,418.3013899511523
s_10,-74.804,3.38,782.0,False,35.31117928197813
s_11,-74.89,5.56,800.0,False,284.23589660327127
s_12,-75.568,5.297,800.0,False,58.15602463429765
s_13,-76.546,5.746,800.0,False,463.3210047280187
s_14,-75.12,5.032,800.0,False,426.29503695064705
s_15,-75.897,5.663,800.0,False,279.0870993005166
s_16,-75.608,2.193,347.0,False,416.25250729605153
s_17,-73.639,4.174,800.0,False,392.4732963648951
s_18,-74.437,4.253,800.0,False,140.46128729097092
s_19,-72.627,2.545,136.0,False,520.1347627204101
s_20,-76.561,3.884,800.0,False,32.19290196036829
s_21,-72.508,7.878,800.0,False,442.16129515133423
s_22,-76.596,2.459,244.0,False,493.3413481419041
s_23,-75.91,2.387,341.0,False,422.33904091370476
s_24,-75.329,5.687,800.0,False,5.397107209625874
s_25,-75.719,5.423,800.0,False,4.74072330911371
s_26,-75.656,1.585,800.0,False,89.85528279408777
s_27,-75.438,2.708,800.0,False,476.98318051272486
s_28,-76.602,2.455,244.0,False,493.3413481419041
s_29,-74.06,4.601,984.0,False,8.815830766095846
s_30,-73.323,8.241,800.0,False,263.7360031523179
s_31,-76.705,3.655,800.0,False,7.843743271445717
s_32,-76.088,3.621,800.0,False,71.89805511410916
s_33,-74.321,4.848,800.0,False,219.28092004215566
s_34,-74.891,3.755,800.0,False,228.8850953860151
s_35,-73.074,7.072,800.0,False,38.46308844149296
s_36,-75.75,4.84,310.0,False,450.752394722168
s_37,-74.08,4.64,143.0,False,519.4723258058584
s_38,-74.081,4.641,800.0,False,519.4723258058584
m_39,-75.70517,4.413,557.24,False,396.957374361821
m_40,-75.66556,4.46,709.66,False,286.814309916521
m_41,-75.6668,4.489,432.6,False,437.6572146788686
m_42,-75.71006,4.487,379.8,False,478.22549574605983
m_43,-75.69329,4.53,472.39,False,443.04554895510745
m_44,-75.70159,4.44,489.2,False,372.716509261145
m_45,-75.6872,4.463,514.3,False,414.1839062416062
m_46,-75.60434,4.522,900.0,False,8.20709217856195
m_47,-75.62357,4.521,765.95,False,104.42743765819735
m_48,-75.65842,4.517,281.41,False,471.11546591549825
m_49,-75.77615,4.47,296.09,False,512.9828736924915
m_50,-75.68231,4.394,764.84,False,91.10188850697902
m_51,-75.67754,4.425,611.06,False,247.34795497940434
m_52,-75.69814,4.569,443.16,False,454.03111816436996
m_53,-75.72197,4.388,637.61,False,116.25589026426493
m_54,-75.70392,4.374,858.06,False,6.47447795548716
m_55,-75.68948,4.358,900.0,False,8.70157802546431
m_56,-75.72098,4.567,445.21,False,450.752394722168
m_57,-75.78099,4.497,442.43,False,456.43054095135034
m_58,-75.7102,4.599,439.8,False,428.24188737284817
m_59,-75.68103,4.33,900.0,False,11.104458039696565
m_60,-75.57308,4.518,881.99,False,333.14042817799117
m_61,-75.54421,4.492,900.0,False,13.043437913622675
m_62,-75.54177,4.462,610.4,False,212.20397443868333
m_63,-75.52379,4.504,362.98,False,145.000871749858
m_64,-75.68988,4.69,509.51,False,426.29503695064705
m_65,-75.71512,4.696,527.72,False,433.9555542282222
m_66,-75.7536,4.709,469.36,False,433.9555542282222
m_67,-76.07341,4.793,472.36,False,64.68092815697922
m_68,-75.81938,4.435,339.17,False,452.4030919507354
m_69,-75.8169,4.376,311.98,False,495.6111445941032
m_70,-75.55266,4.522,900.0,False,12.031768118026466
m_71,-75.75473,4.644,418.82,False,455.63642262593174
m_72,-75.55638,4.618,900.0,False,19.539555945726573
m_73,-75.70738,4.257,900.0,False,7.894554168129179
m_74,-75.5877,4.678,581.01,False,116.25589026426493
m_75,-75.46606,4.475,900.0,False,9.599598570408853
m_76,-75.57091,4.706,565.46,False,430.1677112585508
m_77,-75.59857,4.725,510.41,False,376.2794837238229
m_78,-75.62985,4.744,565.83,False,425.31378691850614
m_79,-75.57815,4.737,585.05,False,423.33576285312347
m_80,-75.76018,4.183,877.27,False,9.855803267037734
m_81,-75.62748,4.776,592.34,False,92.36380881299084
m_82,-75.64913,4.789,461.34,False,206.39504083810436
m_83,-75.672,4.814,449.05,False,438.5690205750705
m_84,-75.42759,4.467,900.0,False,2.5893924859417377
m_85,-75.4011,4.426,900.0,False,3.5272577823804894
m_86,-75.78044,4.035,900.0,False,3.2856735668875565
m_87,-76.06504,4.825,900.0,False,9.986690088617289
m_88,-75.5761,5.026,588.63,False,270.1115199548195
m_89,-75.60621,5.079,511.16,False,313.92715470252176
s_90,-75.42,5.02,661.37,False,54.550823889617924
s_91,-75.64,4.78,439.36,False,432.07232483312276
