calc_id,description,cal_time,gmpe,imt,nominal_bias,max_gmv,Rupture,GMLT,Recording_Stations,abs_bias
434,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",110,AbrahamsonEtAl2015SInterHigh,PGA,0.201,0.62035614,GCMT,GEM,all,0.201
434,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",110,MontalvaEtAl2017SInter,PGA,0.207,0.63501334,GCMT,GEM,all,0.207
434,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:all)",110,ZhaoEtAl2006SInter,PGA,0.252,0.6562544,GCMT,GEM,all,0.252
433,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",85,AbrahamsonEtAl2015SInterHigh,PGA,-0.102,0.37958103,GCMT,GEM,seismic,0.102
433,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",85,MontalvaEtAl2017SInter,PGA,-0.087,0.37733778,GCMT,GEM,seismic,0.087
433,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:GEM, Recording Stations:seismic)",85,ZhaoEtAl2006SInter,PGA,-0.056,0.3730414,GCMT,GEM,seismic,0.056
436,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",182,AtkinsonBoore2003SInter,PGA,0.003,0.6237811,GCMT,USGS,all,0.003
436,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",182,MontalvaEtAl2017SInter,PGA,0.207,0.63501334,GCMT,USGS,all,0.207
436,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",182,MontalvaEtAl2017SSlab,PGA,0.665,0.65909064,GCMT,USGS,all,0.665
436,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",182,ZhaoEtAl2016SInter,PGA,0.436,0.7832965,GCMT,USGS,all,0.436
436,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:all)",182,ZhaoEtAl2016SSlab,PGA,0.133,0.6958002,GCMT,USGS,all,0.133
435,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",182,AtkinsonBoore2003SInter,PGA,-0.217,0.38240156,GCMT,USGS,seismic,0.217
435,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",182,MontalvaEtAl2017SInter,PGA,-0.087,0.37733778,GCMT,USGS,seismic,0.087
435,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",182,MontalvaEtAl2017SSlab,PGA,0.383,0.426942,GCMT,USGS,seismic,0.383
435,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",182,ZhaoEtAl2016SInter,PGA,0.064,0.50970477,GCMT,USGS,seismic,0.064
435,"Median gmf - 20070815_M7.9_Pisco (Rupture:GCMT, GMPEs:USGS, Recording Stations:seismic)",182,ZhaoEtAl2016SSlab,PGA,-0.153,0.45921922,GCMT,USGS,seismic,0.153
438,"Median gmf - 20070815_M7.9_Pisco (Rupture:Hayes_2017, GMPEs:GEM, Recording Stations:all)",90,AbrahamsonEtAl2015SInterHigh,PGA,-0.393,0.6677605,Hayes_2017,GEM,all,0.393
438,"Median gmf - 20070815_M7.9_Pisco (Rupture:Hayes_2017, GMPEs:GEM, Recording Stations:all)",90,MontalvaEtAl2017SInter,PGA,-0.284,0.6783038,Hayes_2017,GEM,all,0.284
438,"Median gmf - 20070815_M7.9_Pisco (Rupture:Hayes_2017, GMPEs:GEM, Recording Stations:all)",90,ZhaoEtAl2006SInter,PGA,-0.373,0.6561531,Hayes_2017,GEM,all,0.373
