STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,PGA_VALUE_1,PGA_VALUE_2,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
Abbar,Abbar,36.92,48.97,seismic,Sarkar_et_al_2003,0.41,0.0,0.41,0.404,,,,,,,,,,,,
Abhar,Abhar,36.14,49.22,seismic,Sarkar_et_al_2003,0.188,0.0,0.127,0.188,,,,,,,,,,,,
Ghazvin,Ghazvin,36.27,50.01,seismic,Sarkar_et_al_2003,0.182,0.0,0.131,0.182,,,,,,,,,,,,
Lahijan,Lahijan,37.21,50.03,seismic,Sarkar_et_al_2003,0.174,0.0,0.111,0.174,,,,,,,,,,,,
Tonkabon,Tonkabon,36.81,50.87,seismic,Sarkar_et_al_2003,0.13,0.0,0.13,0.085,,,,,,,,,,,,
Zanjan,Zanjan,36.66,48.57,seismic,Sarkar_et_al_2003,0.124,0.0,0.124,0.059,,,,,,,,,,,,
Gachsar,Gachsar,36.11,51.31,seismic,Sarkar_et_al_2003,0.098,0.0,0.063,0.098,,,,,,,,,,,,
Roudsar,Roudsar,37.13,50.3,seismic,Sarkar_et_al_2003,0.091,0.0,0.091,0.083,,,,,,,,,,,,
Kahrizak,Kahrizak,35.51,51.36,seismic,Sarkar_et_al_2003,0.046,0.0,0.046,0.035,,,,,,,,,,,,
Ardebil,Ardebil,38.26,48.28,seismic,Sarkar_et_al_2003,0.03,0.0,0.03,0.028,,,,,,,,,,,,
Ab-Bar,Ab-Bar,36.92,48.95,seismic,Rastgoo_et_al_2018,0.648,0.0,,,660.0,measured,,,,,,,,,,
Abhar,Abhar,36.09,49.22,seismic,Rastgoo_et_al_2018,0.219,0.0,,,300.0,measured,,,,,,,,,,
Qazvin,Qazvin,36.26,50.0,seismic,Rastgoo_et_al_2018,0.188,0.0,,,,measured,,,,,,,,,,
Zanjan,Zanjan,36.66,48.5,seismic,Rastgoo_et_al_2018,0.135,0.0,,,,measured,,,,,,,,,,
Tonekabon,Tonekabon,36.81,50.88,seismic,Rastgoo_et_al_2018,0.134,0.0,,,200.0,measured,,,,,,,,,,
Roodsar,Roodsar,37.13,50.3,seismic,Rastgoo_et_al_2018,0.091,0.0,,,170.0,measured,,,,,,,,,,
Eshtehard,Eshtehard,35.72,50.37,seismic,Rastgoo_et_al_2018,0.076,0.0,,,,measured,,,,,,,,,,
Robat-Karim,Robat-Karim,35.46,51.07,seismic,Rastgoo_et_al_2018,0.066,0.0,,,,measured,,,,,,,,,,
Kahrizak,Kahrizak,35.5,51.37,seismic,Rastgoo_et_al_2018,0.049,0.0,,,323.0,measured,,,,,,,,,,
MZOBS_6,Manjil (Intensity X),36.736,49.417,macroseismic,Stations_USGS,2.060662,0.8059,,,612.46,inferred,9.5,0.3,0.875,167.0263,1.0131,2.594945,1.0822,2.145035,1.4737,0.369375
