STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,EPICENTRAL_DISTANCE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,SA(3.0)_VALUE,SA(3.0)_LN_SIGMA,SOIL_TYPE,VS30_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE
QUHS,QUHS,45.808,15.999,47,seismic,CSS,0.227036697,0,0.378931702,0,0.454666667,0,0.221342508,0,0.018744139,0,,,,,,,
QARH,QARH,45.777,15.993,44,seismic,CSS,0.191186544,0,0.25069419,0,0.255906218,0,0.192713558,0,0.029592253,0,,,,,,,
KOGS,Kog  SL,46.4481,16.2504,,seismic,ESM,0.027596874,0,0.080348908,0,0.008882218,0,0.004547238,0,,,B (inferred from topography),B (inferred from topography),,,,,
CRES,Cresnjevec  SL,45.826,15.4569,,seismic,ESM,0.010728837,0,0.023274904,0,0.008171966,0,0.004018361,0,,,A (inferred from topography),A (inferred from topography),,,,,
SABO,Monte Sabotino  Italy,45.9875,13.6336,,seismic,ESM,0.005792712,0,0.019029377,0,0.01700933,0,0.008587367,0,,,B (inferred from geology),B (inferred from geology),,,,,
VISS,Visnje  SL,45.8033,14.8393,,seismic,ESM,0.00445621,0,0.010722691,0,0.010027198,0,0.004696467,0,,,B (inferred from topography),B (inferred from topography),,,,,
BOJS,Bojanci  SL,45.5043,15.2518,,seismic,ESM,0.003423957,0,0.00669815,0,0.005517263,0,0.002214818,0,,,B (inferred from topography),B (inferred from topography),,,,,
DRE,Drenchia  Italy,46.1733,13.645,,seismic,ESM,0.001800644,0,0.004667219,0,0.003281915,0,0.001664276,0,,,B (inferred from geology),B (inferred from geology),,,,,
PLRO,Paularo  Italy,46.5491,13.1481,,seismic,ESM,0.001438983,0,0.00478648,0,0.004186211,0,0.001218361,0,,,B (inferred from geology),B (inferred from geology),,,,,
BLY,Banja Luka  Bosnia and Herzegovina,44.7488,17.1839,,seismic,ESM,0.000884647,0,0.00306702,0,0.002739411,0,0.001198124,0,,,A (inferred from topography),A (inferred from topography),,,,,
ACOM,Acomizza  Italy,46.548,13.5137,,seismic,ESM,0.000871405,0,0.002524688,0,0.001876298,0,0.00142344,0,,,A (inferred from geology),A (inferred from geology),,,,,
BAD,Bernadia  Italy,46.234,13.2438,,seismic,ESM,0.000577565,0,0.001719529,0,0.001027168,0,0.00078347,0,,,B (inferred from geology),B (inferred from geology),,,,,
BOO,Bordano  Italy,46.3195,13.0984,,seismic,ESM,0.000510223,0,0.001345456,0,0.001219998,0,0.000775001,0,,,D (inferred from geology),D (inferred from geology),,,,,
PRED,Cave del Predil  Italy,46.4428,13.565,,seismic,ESM,0.000272354,0,0.000542514,0,0.000536204,0,0.000822694,0,,,A (inferred from geology),A (inferred from geology),,,,,
UTM:(33T 0577 5074 1000),,45.8197,15.9976,,macroseismic,Stations_USGS,0.434535,0.8059,0.791035,1.0131,,,0.261471,1.0822,0.055158,1.4737,,inferred,393.29,7.4,0.3,0.875,27.8166
UTM:(33T 0576 5072 1000),,45.8018,15.9844,,macroseismic,Stations_USGS,0.421721,0.8059,0.778684,1.0131,,,0.266312,1.0822,0.056304,1.4737,,inferred,258.13,7.4,0.3,0.875,27.8166
UTM:(33T 0578 5075 1000),,45.8286,16.0107,,macroseismic,Stations_USGS,0.412434,0.8059,0.752197,1.0131,,,0.240033,1.0822,0.050745,1.4737,,inferred,395.27,7.3,0.3,0.875,25.8618
UTM:(33T 0578 5077 1000),,45.8466,16.011,,macroseismic,Stations_USGS,0.398559,0.8059,0.722059,1.0131,,,0.217937,1.0822,0.046112,1.4737,,inferred,470.17,7.2,0.3,0.875,24.0443
UTM:(33T 0576 5073 1000),,45.8108,15.9846,,macroseismic,Stations_USGS,0.355663,0.8059,0.664702,1.0131,,,0.207776,1.0822,0.044258,1.4737,,inferred,337.62,7.1,0.3,0.875,22.3546
UTM:(33T 0574 5073 1000),,45.811,15.9589,,macroseismic,Stations_USGS,0.334496,0.8059,0.629031,1.0131,,,0.191814,1.0822,0.040974,1.4737,,inferred,343.87,7,0.3,0.875,20.7836
UTM:(33T 0577 5073 1000),,45.8107,15.9975,,macroseismic,Stations_USGS,0.333287,0.8059,0.627835,1.0131,,,0.19224,1.0822,0.041076,1.4737,,inferred,270.91,7,0.3,0.875,20.7836
UTM:(33T 0576 5075 1000),,45.8288,15.9849,,macroseismic,Stations_USGS,0.324062,0.8059,0.604631,1.0131,,,0.173887,1.0822,0.037169,1.4737,,inferred,388.98,6.9,0.3,0.875,19.3231
UTM:(33T 0578 5074 1000),,45.8196,16.0105,,macroseismic,Stations_USGS,0.316978,0.8059,0.597647,1.0131,,,0.176258,1.0822,0.037737,1.4737,,inferred,327.1,6.9,0.3,0.875,19.3231
UTM:(33T 0575 5073 1000),,45.8109,15.9717,,macroseismic,Stations_USGS,0.314423,0.8059,0.595109,1.0131,,,0.177135,1.0822,0.037948,1.4737,,inferred,340.88,6.9,0.3,0.875,19.3231
UTM:(33T 0575 5078 1000),,45.8559,15.9725,,macroseismic,Stations_USGS,0.310731,0.8059,0.578035,1.0131,,,0.158635,1.0822,0.033956,1.4737,,inferred,530.88,6.8,0.3,0.875,17.9651
UTM:(33T 0582 5076 1000),,45.8371,16.0623,,macroseismic,Stations_USGS,0.296052,0.8059,0.563515,1.0131,,,0.163411,1.0822,0.035104,1.4737,,inferred,283.25,6.8,0.3,0.875,17.9651
UTM:(33T 0583 5075 1000),,45.828,16.075,,macroseismic,Stations_USGS,0.289272,0.8059,0.556692,1.0131,,,0.165748,1.0822,0.035667,1.4737,,inferred,268.09,6.8,0.3,0.875,17.9651
UTM:(33T 0576 5068 1000),,45.7658,15.9838,,macroseismic,Stations_USGS,0.256658,0.8059,0.510925,1.0131,,,0.158578,1.0822,0.034369,1.4737,,inferred,206.77,6.7,0.3,0.875,16.7026
UTM:(33T 0586 5075 1000),,45.8276,16.1136,,macroseismic,Stations_USGS,0.246803,0.8059,0.489184,1.0131,,,0.144416,1.0822,0.031337,1.4737,,inferred,358.49,6.6,0.3,0.875,15.5288
UTM:(33T 0572 5071 1000),,45.7933,15.9328,,macroseismic,Stations_USGS,0.236422,0.8059,0.467428,1.0131,,,0.131828,1.0822,0.028648,1.4737,,inferred,214.87,6.5,0.3,0.875,14.4376
UTM:(33T 0579 5073 1000),,45.8105,16.0232,,macroseismic,Stations_USGS,0.227255,0.8059,0.447446,1.0131,,,0.120084,1.0822,0.026128,1.4737,,inferred,248.77,6.4,0.3,0.875,13.423
UTM:(33T 0569 5072 1000),,45.8026,15.8944,,macroseismic,Stations_USGS,0.222066,0.8059,0.442045,1.0131,,,0.121796,1.0822,0.026546,1.4737,,inferred,212.96,6.4,0.3,0.875,13.423
UTM:(33T 0572 5070 1000),,45.7843,15.9327,,macroseismic,Stations_USGS,0.218842,0.8059,0.438659,1.0131,,,0.122893,1.0822,0.026814,1.4737,,inferred,228.17,6.4,0.3,0.875,13.423
UTM:(33T 0574 5069 1000),,45.775,15.9582,,macroseismic,Stations_USGS,0.216246,0.8059,0.435916,1.0131,,,0.123795,1.0822,0.027034,1.4737,,inferred,193.49,6.4,0.3,0.875,13.423
UTM:(33T 0569 5073 1000),,45.8116,15.8945,,macroseismic,Stations_USGS,0.211522,0.8059,0.421128,1.0131,,,0.111567,1.0822,0.024362,1.4737,,inferred,259.02,6.3,0.3,0.875,12.4797
UTM:(33T 0577 5071 1000),,45.7927,15.9972,,macroseismic,Stations_USGS,0.208987,0.8059,0.418466,1.0131,,,0.112394,1.0822,0.024565,1.4737,,inferred,209.42,6.3,0.3,0.875,12.4797
UTM:(33T 0576 5070 1000),,45.7838,15.9841,,macroseismic,Stations_USGS,0.206288,0.8059,0.415616,1.0131,,,0.113293,1.0822,0.024785,1.4737,,inferred,195.68,6.3,0.3,0.875,12.4797
UTM:(33T 0573 5074 1000),,45.8201,15.9462,,macroseismic,Stations_USGS,0.206262,0.8059,0.40618,1.0131,,,0.100737,1.0822,0.022001,1.4737,,inferred,438.18,6.2,0.3,0.875,11.6026
UTM:(33T 0569 5074 1000),,45.8206,15.8947,,macroseismic,Stations_USGS,0.201572,0.8059,0.401298,1.0131,,,0.102167,1.0822,0.022351,1.4737,,inferred,434.82,6.2,0.3,0.875,11.6026
UTM:(33T 0565 5073 1000),,45.8119,15.843,,macroseismic,Stations_USGS,0.191781,0.8059,0.390929,1.0131,,,0.105334,1.0822,0.023129,1.4737,,inferred,324.77,6.2,0.3,0.875,11.6026
UTM:(33T 0573 5073 1000),,45.8111,15.946,,macroseismic,Stations_USGS,0.190686,0.8059,0.38093,1.0131,,,0.093981,1.0822,0.02061,1.4737,,inferred,338.07,6.1,0.3,0.875,10.7873
UTM:(33T 0577 5069 1000),,45.7747,15.9968,,macroseismic,Stations_USGS,0.190488,0.8059,0.389542,1.0131,,,0.105771,1.0822,0.023237,1.4737,,inferred,240.99,6.2,0.3,0.875,11.6026
UTM:(33T 0567 5074 1000),,45.8208,15.8689,,macroseismic,Stations_USGS,0.186023,0.8059,0.376004,1.0131,,,0.095419,1.0822,0.020964,1.4737,,inferred,438.15,6.1,0.3,0.875,10.7873
UTM:(33T 0574 5074 1000),,45.82,15.959,,macroseismic,Stations_USGS,0.182457,0.8059,0.363771,1.0131,,,0.085849,1.0822,0.018856,1.4737,,inferred,445.14,6,0.3,0.875,10.0292
UTM:(33T 0569 5071 1000),,45.7936,15.8942,,macroseismic,Stations_USGS,0.181699,0.8059,0.371383,1.0131,,,0.096804,1.0822,0.021305,1.4737,,inferred,218.73,6.1,0.3,0.875,10.7873
UTM:(33T 0576 5069 1000),,45.7748,15.984,,macroseismic,Stations_USGS,0.179317,0.8059,0.368817,1.0131,,,0.09759,1.0822,0.021499,1.4737,,inferred,195.37,6.1,0.3,0.875,10.7873
UTM:(33T 0582 5075 1000),,45.8281,16.0622,,macroseismic,Stations_USGS,0.166976,0.8059,0.339342,1.0131,,,0.080592,1.0822,0.017787,1.4737,,inferred,286.94,5.9,0.3,0.875,9.3244
