# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:USGS, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,ZhaoEtAl2016SSlab
m_0,100.37191999999999,-0.94774,0.471058,0.47046494,0.47071797,0.4717565
m_1,100.32592,-0.8192,0.45187542,0.45384085,0.4493146,0.48310372
m_10,100.36379999999997,-0.92165,0.4744474,0.47291625,0.47291192,0.4734068
m_100,100.37268,-0.94786,0.47007316,0.46974954,0.4699739,0.47086403
m_1000,100.35564,-0.96029,0.4682706,0.46178532,0.4609846,0.4863972
m_1001,100.35935,-0.95935,0.4466309,0.46128213,0.46054703,0.44023183
m_1002,100.35199999999998,-0.89053,0.47671577,0.47524315,0.47524124,0.4755176
m_1003,100.46239000000003,-0.94767,0.24560598,0.24600992,0.24575254,0.24781208
m_1004,100.37,-0.31,0.19437617,0.21082851,0.19532453,0.19445229
m_1005,100.34578999999997,-0.89715,0.4763166,0.4770302,0.4770311,0.47664142
m_1006,100.36036999999999,-0.9592,0.45120212,0.46131846,0.46060082,0.44928038
m_1007,100.36658,-0.95921,0.4587637,0.46265152,0.462047,0.4618547
m_1008,100.36511999999999,-0.91093,0.47567388,0.47334582,0.47335827,0.47445476
m_1009,100.35960999999998,-0.90013,0.47585216,0.47617435,0.47619146,0.47627848
m_101,100.36059999999998,-0.95965,0.45449305,0.4627759,0.46226823,0.45133984
m_1010,100.36025000000001,-0.9591,0.44999707,0.46090668,0.46012938,0.44816437
m_1011,100.36385999999999,-0.93464,0.4707719,0.47019443,0.47015402,0.47048047
m_1012,100.38644,-0.95402,0.44438815,0.4390482,0.43935838,0.43591395
m_1013,100.37508000000003,-0.92245,0.4357199,0.44299352,0.44298354,0.44494164
m_1014,100.36111,-0.89347,0.4730151,0.47329506,0.4732837,0.4734081
m_1015,100.20901000000003,-0.5435,0.5150108,0.51004994,0.50913936,0.51510257
