# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:GEM, Rupture:IPGP
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
m_0,100.37191999999999,-0.94774,0.46979913,0.47020242,0.46882284,0.4728961
m_1,100.32592,-0.8192,0.48525754,0.48335728,0.5255457,0.47338572
m_10,100.36379999999997,-0.92165,0.4711406,0.471473,0.4653091,0.47313622
m_100,100.37268,-0.94786,0.4694296,0.46971536,0.46884495,0.47186214
m_1000,100.35564,-0.96029,0.47069523,0.47085422,0.47553694,0.48107708
m_1001,100.35935,-0.95935,0.46489513,0.46092212,0.47782943,0.43522137
m_1002,100.35199999999998,-0.89053,0.47274154,0.473104,0.4677115,0.475342
m_1003,100.46239000000003,-0.94767,0.24665341,0.24676691,0.24710143,0.24828266
m_1004,100.37,-0.31,0.20718084,0.22007385,0.23779766,0.209555
m_1005,100.34578999999997,-0.89715,0.47701624,0.4769588,0.4780699,0.47657937
m_1006,100.36036999999999,-0.9592,0.46582338,0.46275896,0.4766561,0.44450617
m_1007,100.36658,-0.95921,0.46713075,0.46553618,0.47391745,0.4577278
m_1008,100.36511999999999,-0.91093,0.47210047,0.47240064,0.46542406,0.47419548
m_1009,100.35960999999998,-0.90013,0.47629985,0.47624835,0.4769622,0.47599924
m_101,100.36059999999998,-0.95965,0.46557817,0.46319756,0.47327518,0.44817355
m_1010,100.36025000000001,-0.9591,0.4658387,0.46252596,0.4777013,0.44291884
m_1011,100.36385999999999,-0.93464,0.46974003,0.46982738,0.46701857,0.47013274
m_1012,100.38644,-0.95402,0.43954954,0.43996722,0.42850536,0.44235823
m_1013,100.37508000000003,-0.92245,0.45795503,0.45531186,0.48054603,0.44605297
m_1014,100.36111,-0.89347,0.4739411,0.47385392,0.47516674,0.47338736
m_1015,100.20901000000003,-0.5435,0.5152382,0.5153062,0.5157777,0.5148868
m_1016,100.36131,-0.96369,0.46438232,0.46323457,0.46514747,0.45071507
m_1017,100.36768999999998,-0.95918,0.46757472,0.46535003,0.4770574,0.45398968
m_1018,100.35854999999998,-0.95942,0.46382636,0.45861688,0.48019198,0.42353302
m_1019,100.37554,-0.93499,0.45869124,0.45741495,0.46903032,0.4538129
m_102,100.46296999999998,-0.95078,0.24757862,0.24776699,0.24738833,0.2505847
m_1020,100.36203,-0.9634,0.46501496,0.46436685,0.4649086,0.45656008
m_1021,100.39677,-0.95521,0.2824872,0.2827873,0.28678444,0.2808671
m_1022,100.35242,-0.91936,0.47350138,0.4733642,0.4767677,0.4725896
m_1023,100.35161,-0.94433,0.4650893,0.46567413,0.45978636,0.4644144
m_1024,100.38458000000003,-0.93898,0.36958495,0.36916155,0.37406096,0.36817572
m_1025,100.36383999999998,-0.96162,0.4661631,0.46609217,0.46581066,0.4652146
m_1026,100.28370999999999,-0.59648,0.50863844,0.5088211,0.5072562,0.50992364
m_1027,100.34305999999998,-0.87924,0.4756362,0.47598383,0.47104487,0.47732708
m_1028,100.35976,-0.96539,0.46296147,0.4602941,0.46663505,0.4334819
m_1029,100.37975,-0.9586,0.48065144,0.47740635,0.5121969,0.48534808
m_103,100.44659000000001,-1.0763,0.4457649,0.44619948,0.4457879,0.44768852
m_1030,100.46247,-0.94967,0.24711739,0.24723549,0.24713022,0.2491691
m_1031,100.38457,-0.95623,0.4531956,0.45483118,0.43655154,0.46043402
m_1032,100.33780000000002,-0.51013,0.50131106,0.50266105,0.504154,0.50071955
m_1033,100.37101999999999,-0.89352,0.46042395,0.46043763,0.45749852,0.46083277
m_1034,100.36536000000001,-0.96003,0.46673298,0.46601388,0.46954152,0.46263114
m_1035,100.46242000000001,-0.94943,0.24704914,0.24716124,0.24710804,0.24900474
