# 20090930_M7.6_Padang median gmf, Stations:None, gmlt:GEM, Rupture:IPGP
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
t_0,97.98054000000002,2.69259,0.019377396,0.017044773,0.014306247,0.003945189
t_1,97.80087000000003,2.69259,0.01745285,0.015114729,0.012776715,0.0036584346
t_10,97.71104000000003,2.78232,0.019240774,0.01710615,0.014118689,0.003475353
t_100,99.05851999999999,2.60285,0.015792634,0.01235953,0.011076611,0.0047616176
t_1000,99.59751,0.98673,0.06465233,0.067015626,0.06425643,0.040767256
t_1001,99.50767000000002,0.98673,0.07325586,0.07924853,0.070455365,0.039426778
t_1002,99.32801,0.98673,0.05498179,0.05612695,0.054668788,0.029230898
t_1003,99.23818,1.07655,0.051600482,0.052661635,0.050469484,0.032090954
t_1004,98.96868,1.07655,0.059060097,0.06617942,0.05747435,0.029447056
t_1005,99.50767000000002,1.07655,0.058091123,0.059217148,0.056548465,0.035378303
t_1006,99.14835,1.07655,0.06774802,0.07609468,0.06344788,0.03142027
t_1007,99.32801,1.07655,0.04653676,0.045647006,0.044539608,0.026255766
t_1008,99.05851999999999,1.07655,0.051817723,0.054857403,0.05134358,0.030099792
t_1009,99.41784000000001,1.07655,0.053823344,0.054183938,0.052331317,0.027123274
t_101,99.23818,2.60285,0.020560283,0.017139995,0.015142157,0.006340017
t_1010,99.59751,1.07655,0.053362686,0.052990865,0.0519436,0.028962849
t_1011,102.29245000000003,0.26813,0.059548214,0.09714589,0.08139596,0.045248218
t_1012,102.11279000000002,0.26813,0.06370476,0.106228516,0.09212541,0.05520859
t_1013,102.38227999999998,0.26813,0.0585137,0.09466562,0.07740684,0.040959574
t_1014,102.20262000000002,0.26813,0.06464321,0.10745953,0.08826231,0.049986098
t_1015,101.93313,0.26813,0.07236973,0.124230005,0.106940195,0.0672301
t_1016,102.47210999999999,0.35796,0.053716633,0.0846862,0.06953474,0.035074044
t_1017,101.93313,0.35796,0.070067525,0.11841526,0.101216994,0.062184416
t_1018,102.02296000000001,0.35796,0.06733021,0.11271593,0.0950775,0.056623947
t_1019,102.11279000000002,0.35796,0.067156546,0.11192583,0.0906945,0.051503938
t_102,99.14835,2.69259,0.02195577,0.018606497,0.016069464,0.0056603556
t_1020,102.56195000000002,0.35796,0.05231125,0.08169495,0.06623859,0.031854406
t_1021,102.20262000000002,0.35796,0.06386477,0.10517152,0.08516687,0.046811096
t_1022,102.38227999999998,0.35796,0.058428854,0.09396895,0.07557754,0.041215517
t_1023,102.29245000000003,0.35796,0.059266303,0.095970094,0.07898335,0.04252518
t_1024,102.20262000000002,0.44779,0.06283096,0.10239734,0.08204608,0.046634857
t_1025,102.29245000000003,0.44779,0.051883403,0.08139255,0.07140525,0.039404057
t_1026,102.47210999999999,0.44779,0.054185007,0.085110195,0.06847954,0.035290547
t_1027,101.93313,0.44779,0.06625688,0.10979199,0.09491925,0.0573497
t_1028,102.02296000000001,0.44779,0.070798844,0.11819869,0.09310542,0.055969708
t_1029,102.38227999999998,0.44779,0.057141483,0.090977564,0.07292406,0.038740728
t_103,99.41784000000001,2.69259,0.02484938,0.021926995,0.01866721,0.0061977445
t_1030,102.56195000000002,0.44779,0.049251642,0.07562508,0.062425785,0.030120132
t_1031,102.11279000000002,0.44779,0.06091079,0.09905195,0.08405686,0.04789882
t_1032,101.93313,0.53761,0.0709898,0.117570244,0.09316844,0.056307636
t_1033,102.47210999999999,0.53761,0.053634703,0.08360936,0.06669366,0.033180416
t_1034,102.38227999999998,0.53761,0.054310616,0.08509755,0.06904763,0.034027323
t_1035,102.56195000000002,0.53761,0.04864895,0.07412492,0.06069852,0.028400682
t_1036,102.11279000000002,0.53761,0.061351653,0.09899757,0.08140925,0.044427812
t_1037,102.29245000000003,0.53761,0.055676907,0.08788226,0.072256155,0.03722054
t_1038,102.20262000000002,0.53761,0.061906073,0.09985099,0.07915425,0.043416657
t_1039,102.02296000000001,0.53761,0.06483036,0.10575986,0.086580046,0.04845523
t_104,99.05851999999999,2.69259,0.018329522,0.014852927,0.013114163,0.005512897
t_1040,101.93313,0.62744,0.06248603,0.1002983,0.08488949,0.048449475
t_1041,102.47210999999999,0.62744,0.048653886,0.07390456,0.061040394,0.02915937
t_1042,102.02296000000001,0.62744,0.057908837,0.09169263,0.07902964,0.044671156
t_1043,102.38227999999998,0.62744,0.05203031,0.08030092,0.06558799,0.03181498
t_1044,102.20262000000002,0.62744,0.057924062,0.0915823,0.07410002,0.037786856
t_1045,102.11279000000002,0.62744,0.061185926,0.097814485,0.07866664,0.043875888
t_1046,102.56195000000002,0.62744,0.046377193,0.06956995,0.057504047,0.026711438
t_1047,102.29245000000003,0.62744,0.054580476,0.085194886,0.06950162,0.03468832
