# 20090930_M7.6_Padang median gmf, Stations:None, gmlt:GEM, Rupture:SCARDEC
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,KuehnEtAl2020SSlab,ParkerEtAl2020SSlab,ZhaoEtAl2006SSlab
t_0,97.98054000000002,2.69259,0.026761943,0.020184668,0.016979154,0.006065291
t_1,97.80087000000003,2.69259,0.024188079,0.017904235,0.015186114,0.005625964
t_10,97.71104000000003,2.78232,0.026478412,0.02019401,0.01667645,0.005337872
t_100,99.05851999999999,2.60285,0.021540467,0.01583266,0.014379486,0.0080910055
t_1000,99.59751,0.98673,0.091000736,0.09289515,0.09129451,0.07452197
t_1001,99.50767000000002,0.98673,0.1026501,0.10733131,0.09619956,0.071105264
t_1002,99.32801,0.98673,0.080006406,0.07513529,0.07499783,0.050947856
t_1003,99.23818,1.07655,0.074990675,0.06944909,0.06798393,0.055110347
t_1004,98.96868,1.07655,0.0854763,0.08311698,0.07233177,0.048228696
t_1005,99.50767000000002,1.07655,0.082258485,0.081140675,0.079318345,0.06382338
t_1006,99.14835,1.07655,0.09602739,0.097155675,0.080579735,0.053081673
t_1007,99.32801,1.07655,0.067578875,0.061277963,0.06126312,0.04584364
t_1008,99.05851999999999,1.07655,0.07582474,0.07029733,0.06681664,0.050034314
t_1009,99.41784000000001,1.07655,0.07712915,0.073465414,0.0727192,0.048160505
t_101,99.23818,2.60285,0.027763516,0.02202944,0.019690342,0.01083971
t_1010,99.59751,1.07655,0.07526072,0.07364528,0.074300244,0.05282904
t_1011,102.29245000000003,0.26813,0.05844977,0.06765458,0.056899644,0.032836776
t_1012,102.11279000000002,0.26813,0.062407907,0.07369852,0.06366041,0.040235676
t_1013,102.38227999999998,0.26813,0.057512175,0.06626146,0.05468647,0.02970185
t_1014,102.20262000000002,0.26813,0.0634042,0.0752343,0.062294587,0.036333404
t_1015,101.93313,0.26813,0.07086599,0.086917244,0.074612394,0.04945761
t_1016,102.47210999999999,0.35796,0.05328076,0.060167972,0.049795225,0.025986
t_1017,101.93313,0.35796,0.069386244,0.08485857,0.07245504,0.047203425
t_1018,102.02296000000001,0.35796,0.0666451,0.08053272,0.06805354,0.042667974
t_1019,102.11279000000002,0.35796,0.066478245,0.080319844,0.06575731,0.03858898
t_102,99.14835,2.69259,0.029591748,0.023777733,0.020690672,0.009640556
t_1020,102.56195000000002,0.35796,0.05194101,0.058211982,0.04769987,0.023581987
t_1021,102.20262000000002,0.35796,0.06323047,0.07525627,0.06159956,0.034921125
t_1022,102.38227999999998,0.35796,0.057913072,0.067133956,0.054672122,0.030580333
t_1023,102.29245000000003,0.35796,0.05869735,0.06827659,0.05661199,0.03162274
t_1024,102.20262000000002,0.44779,0.06277339,0.07480581,0.060685713,0.035691302
t_1025,102.29245000000003,0.44779,0.051831838,0.058280565,0.050808072,0.030017475
t_1026,102.47210999999999,0.44779,0.054167103,0.061703745,0.050236948,0.026713934
t_1027,101.93313,0.44779,0.066330284,0.080277205,0.06919266,0.04487713
t_1028,102.02296000000001,0.44779,0.07080166,0.08753778,0.06998072,0.04340436
t_1029,102.38227999999998,0.44779,0.05709911,0.06611656,0.05366937,0.029405832
t_103,99.41784000000001,2.69259,0.03303642,0.027927343,0.02387437,0.010517438
