STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
DURR,Durres,19.4573,41.3199,seismic,0.190016,0,0.481795256,0,0.457162818,0,0.492013434,0,C,202,C,226
KKS,Kukesi,20.4017,42.0731,seismic,0.00787,0,0.017155044,0,0.01778372,0,0.015259085,0,A,747,A,631
TIR1,IGEWE BUILDING,19.8078,41.3357,seismic,0.111443,0,0.271232727,0,0.215219916,0,0.17358213,0,C,311,C,320
ELBAS,ELBAS,20.0799,41.1161,seismic,0.019657,0,0.057279939,0,0.034285066,0,0.02808826,0,B,403,B,384
FIER,FIER,19.5669,40.7174,seismic,0.017825,0,0.05310281,0,0.03298474,0,0.034265733,0,B,374,B,363
BERA1,BERATI PRIVATE BUILDING,19.945463,40.708161,seismic,0.015076,0,0.052264602,0,0.029307068,0,0.009887477,0,A,1007,A,541
KRK1,Prefecture Veterinary Corfu Ionian Islands,19.9202,39.618861,seismic,0.006216,0,0.014378641,0,0.012501688,0,0.006608411,0,B (inferred from topography),311,inferred_USGS,311
LMS2,TownHall Laimos Florina Western Macedonia,21.141815,40.834985,seismic,0.004087,0,0.012006441,0,0.004956837,0,0.002694832,0,B (inferred from topography),605,inferred_USGS,605
MESG,Mesagne,17.850423,40.589408,seismic,0.004038,0,0.00814198,0,0.009116524,0,0.009029114,0,B (inferred from geology),712,inferred_USGS,712
VAS2,HealthCenter Vassiliki Lefkas Island,20.608081,38.630558,seismic,0.00313,0,0.006794514,0,0.007918528,0,0.010612592,0,C (inferred from topography),560,inferred_USGS,560
JAN,Ioannina  Greece,20.84874,39.65616,seismic,0.002601,0,0.004505654,0,0.004430579,0,0.003629319,0,B (inferred from topography),525,inferred_USGS,525
MSL1,Prefecture Mesologgi Western Greece,21.4243,38.3727,seismic,0.002172,0,0.003250988,0,0.00404279,0,0.006120789,0,C (inferred from topography),317,inferred_USGS,317
LTRZ,LATERZA,16.8191,40.60325,seismic,0.002169,0,0.004614493,0,0.003120324,0,0.002924636,0,B (inferred from geology),999,inferred_USGS,999
ACER,Acerenza,15.9427,40.7867,seismic,0.001896,0,0.005311291,0,0.005362484,0,0.003935761,0,B,523,B,990
MNNAM,Montana,23.2262,43.4111,seismic,0.001748,0,0.00297658,0,0.008822001,0,0.004087366,0,B (inferred from topography),334,inferred_USGS,334
ARG2,Prefecture Argostoli Cephalonia Ionian Islands,20.4878,38.1783,seismic,0.001547,0,0.002301638,0,0.001559022,0,0.001172143,0,B (inferred from topography),435,inferred_USGS,435
PATC,Patra Greece,21.76001,38.26933,seismic,0.000942,0,0.00158959,0,0.002139609,0,0.002365695,0,B (inferred from topography),476,inferred_USGS,476
SLCN,SALA CONSILINA,15.63277,40.39,seismic,0.000887,0,0.00287786,0,0.002653986,0,0.001628296,0,B (inferred from geology),825,inferred_USGS,825
MRN3,Station Marsico Nuovo  PZ   Italy,15.7296,40.4256,seismic,0.000866,0,0.002045413,0,0.002107433,0,0.001825793,0,C (inferred from geology),1000,inferred_USGS,1000
MCEL,Monticello,15.8019,40.3249,seismic,0.000843,0,0.001564553,0,0.002106528,0,0.001543108,0,A (inferred from geology),411,inferred_USGS,411
SFL3,Station San Fele  Italy,15.5782,40.7889,seismic,0.000753,0,0.001094379,0,0.001570268,0,0.001154037,0,B (inferred from geology),634,inferred_USGS,634
BLKB,Belogradchik,22.675,43.6227,seismic,0.000743,0,0.00161661,0,0.001518477,0,0.001465337,0,B (inferred from topography),405,inferred_USGS,405
PGN3,Station Pignola  Italy,15.7967,40.5722,seismic,0.000658,0,0.002118082,0,0.001695656,0,0.00146333,0,A (inferred from geology),1000,inferred_USGS,1000
ANX,UPSL NOA AnoXora Greece,21.9209,38.5933,seismic,0.000646,0,0.001851809,0,0.001849357,0,0.001781508,0,A (inferred from topography),622,inferred_USGS,622
AVG3,Station Avigliano  Italy,15.7251,40.7619,seismic,0.000613,0,0.001440864,0,0.001864426,0,0.001172305,0,B (inferred from geology),1000,inferred_USGS,1000
CAR1,CAROLEI,16.2114,39.2534,seismic,0.00058,0,0.001749863,0,0.001464933,0,0.00145927,0,B (inferred from geology),1000,inferred_USGS,1000
ART2,Hospital Arta Epirus,20.9937,39.1474,seismic,0.000557,0,0.001148779,0,0.001460264,0,0.001359069,0,A (inferred from topography),586,inferred_USGS,586
RIOA,Rio Greece,21.79118,38.29585,seismic,0.00054,0,0.000697648,0,0.001193584,0,0.001330664,0,B (inferred from topography),445,inferred_USGS,445
PLN1,TownHall Chaniotis Chalkidiki Central Macedonia,23.575,39.998,seismic,0.000533,0,0.001326288,0,0.001502267,0,0.001040089,0,B (inferred from topography),334,inferred_USGS,334
VOL2,Prefecture Volos Magnesia Thessaly,22.9506,39.366,seismic,0.000283,0,0.000881916,0,0.001026998,0,0.000847899,0,B (inferred from topography),311,inferred_USGS,311
KLV1,Health Center Kalavryta Achaea Peloponnese,22.10797,38.03256,seismic,0.000231,0,0.000847981,0,0.000699148,0,0.000957424,0,B (inferred from topography),449,inferred_USGS,449
