# 19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Sudhaus_And_Jonsson_et_al_2010
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_28,60.7756,34.74,0.42268422,0.40512112,0.4432754,0.40863234
m_29,60.91,33.5,0.12001045,0.12009319,0.11996001,0.119672224
m_30,59.75999999999999,33.62,0.59191823,0.58217424,0.56005585,0.6036709
m_31,58.680800000000005,34.3666,0.25872636,0.26203096,0.2544256,0.24556439
m_32,59.87360000000001,33.5985,0.014197095,0.014470795,0.01394892,0.014282118
m_33,59.22059999999999,32.8841,0.061973553,0.059325803,0.0666088,0.055672158
m_34,59.7047,33.8817,0.059770357,0.058647275,0.06481667,0.05330212
m_35,60.135999999999996,34.571,0.041215573,0.04122978,0.041241214,0.041115142
m_36,59.19999999999999,32.8667,0.3040565,0.2897331,0.33198532,0.28640357
m_37,60.25999999999999,32.9492,0.5926484,0.511368,0.6362831,0.5368284
m_38,58.70779999999999,34.0223,0.6457484,0.595199,0.615075,0.67719764
m_39,59.97890000000001,33.3886,0.57856864,0.5094262,0.60020334,0.52950346
m_40,60.17060000000001,33.4153,0.02449069,0.024019027,0.025349189,0.023983892
m_41,60.245000000000005,34.4024,0.2990941,0.30751368,0.28493732,0.29413533
m_42,60.0,33.6,0.029644342,0.030245451,0.029158425,0.029465312
m_43,59.77690000000001,33.5736,0.6126389,0.58177227,0.5914687,0.610064
m_44,58.867999999999995,32.7625,0.023323657,0.022530254,0.024658404,0.022692211
m_45,59.47999999999999,33.03,0.16907465,0.16995959,0.16970187,0.16677855
m_46,59.08170000000001,33.5488,0.007544954,0.007133118,0.007162368,0.008739327
m_47,59.513000000000005,32.7088,0.18487644,0.1863345,0.18024032,0.1660607
m_48,59.71000000000001,33.88,0.0073828353,0.006714153,0.007864743,0.0077656433
m_49,60.0865,33.3711,0.09329835,0.09536054,0.089922726,0.08223424
s_0,58.47,35.48,0.02759,0.02759,0.02759,0.02759
s_1,58.68000000000001,34.37,0.01333,0.01333,0.01333,0.01333
s_10,59.59,36.28,0.01367,0.01367,0.01367,0.01367
s_11,57.06999999999999,30.29,0.02529,0.02529,0.02529,0.02529
s_12,58.72,34.03,0.01996,0.01996,0.01996,0.01996
s_13,58.389999999999986,34.12,0.04076,0.04076,0.04076,0.04076
s_14,58.28,34.09,0.01149,0.01149,0.01149,0.01149
s_15,57.06999999999999,30.28,0.05235,0.05235,0.05235,0.05235
s_16,59.43000000000001,32.92,0.037521303,0.037935425,0.03580705,0.03753686
s_17,59.860000000000014,34.35,0.08441427,0.086657666,0.08204968,0.075741895
s_18,57.97,35.27,0.2689056,0.27318713,0.26260906,0.25721142
s_19,60.139999999999986,34.57,0.03515715,0.035182875,0.035120025,0.03513316
s_2,58.18000000000001,34.52,0.01323,0.01323,0.01323,0.01323
s_20,61.44999999999999,30.88,0.3915975,0.4022078,0.3907723,0.3916523
s_21,58.78,35.01,0.05020311,0.05025024,0.05022004,0.050034773
s_22,59.41,35.16,0.31235376,0.31128284,0.3194986,0.3031063
s_23,58.91,33.29,0.104738444,0.10469886,0.104950935,0.104508564
s_24,58.53,33.86,0.047359012,0.047389314,0.04742411,0.047169693
s_25,59.52000000000001,32.71,0.18032643,0.18057165,0.17508909,0.16106537
s_26,58.889999999999986,32.78,0.025591895,0.025053274,0.026350752,0.025252478
s_27,59.22,35.27,0.3421517,0.3241377,0.3808471,0.32028258
s_3,61.5,31.03,0.01056,0.01056,0.01056,0.01056
s_4,59.620000000000005,34.97,0.0564,0.0564,0.0564,0.0564
s_5,58.81,34.02,0.18725,0.18725,0.18725,0.18725
s_6,59.56,36.31,0.01208,0.01208,0.01208,0.01208
s_7,60.25,34.4,0.10624,0.10624,0.10624,0.10624
s_8,58.78,36.2,0.01649,0.01649,0.01649,0.01649
s_9,59.21000000000001,32.88,0.01513,0.01513,0.01513,0.01513
