# 19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Sudhaus_And_Jonsson_et_al_2010
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
m_28,60.7756,34.74,0.39897808,0.40512112,0.4432754,0.51060236
m_29,60.91,33.5,0.11897604,0.12009319,0.11996001,0.120040886
m_30,59.75999999999999,33.62,0.53260994,0.58217424,0.56005585,0.70823914
m_31,58.680800000000005,34.3666,0.22072773,0.26203096,0.2544256,0.31633988
m_32,59.87360000000001,33.5985,0.013679022,0.014470795,0.01394892,0.013912517
m_33,59.22059999999999,32.8841,0.051098835,0.059325803,0.0666088,0.06239544
m_34,59.7047,33.8817,0.044671983,0.058647275,0.06481667,0.071980156
m_35,60.135999999999996,34.571,0.04076081,0.04122978,0.041241214,0.04131532
m_36,59.19999999999999,32.8667,0.28379574,0.2897331,0.33198532,0.39613423
m_37,60.25999999999999,32.9492,0.5263765,0.511368,0.6362831,0.5644778
m_38,58.70779999999999,34.0223,0.55887854,0.595199,0.615075,0.80255336
m_39,59.97890000000001,33.3886,0.51777273,0.5094262,0.60020334,0.6745837
m_40,60.17060000000001,33.4153,0.022021024,0.024019027,0.025349189,0.027818125
m_41,60.245000000000005,34.4024,0.25549385,0.30751368,0.28493732,0.3698674
m_42,60.0,33.6,0.027588002,0.030245451,0.029158425,0.02878476
m_43,59.77690000000001,33.5736,0.550546,0.58177227,0.5914687,0.72034544
m_44,58.867999999999995,32.7625,0.0228961,0.022530254,0.024658404,0.027151866
m_45,59.47999999999999,33.03,0.1626885,0.16995959,0.16970187,0.16948727
m_46,59.08170000000001,33.5488,0.013343288,0.007133118,0.007162368,0.0066789966
m_47,59.513000000000005,32.7088,0.14566083,0.1863345,0.18024032,0.22537059
m_48,59.71000000000001,33.88,0.01010184,0.006714153,0.007864743,0.008944371
m_49,60.0865,33.3711,0.06534132,0.09536054,0.089922726,0.09824465
s_0,58.47,35.48,0.02759,0.02759,0.02759,0.02759
s_1,58.68000000000001,34.37,0.01333,0.01333,0.01333,0.01333
s_10,59.59,36.28,0.01367,0.01367,0.01367,0.01367
s_11,57.06999999999999,30.29,0.02529,0.02529,0.02529,0.02529
s_12,58.72,34.03,0.01996,0.01996,0.01996,0.01996
s_13,58.389999999999986,34.12,0.04076,0.04076,0.04076,0.04076
s_14,58.28,34.09,0.01149,0.01149,0.01149,0.01149
s_15,57.06999999999999,30.28,0.05235,0.05235,0.05235,0.05235
s_16,59.43000000000001,32.92,0.03033638,0.037935425,0.03580705,0.03596264
s_17,59.860000000000014,34.35,0.056876417,0.086657666,0.08204968,0.084096484
